sequence,reference_date,slot_15min,normalized_shape_factor,AIDC01_IT_equivalent_MW,AIDC02_IT_equivalent_MW,AIDC03_IT_equivalent_MW,AIDC04_IT_equivalent_MW,AIDC05_IT_equivalent_MW,AIDC06_IT_equivalent_MW,AIDC07_IT_equivalent_MW,AIDC08_IT_equivalent_MW,AIDC09_IT_equivalent_MW,AIDC10_IT_equivalent_MW,AIDC11_IT_equivalent_MW,AIDC12_IT_equivalent_MW,aggregate_IT_equivalent_MW,aggregate_PCC_equivalent_MW
0,2025-04-02,0,1.0268552650458096,5.66824106305287,0.9447068438421448,13.225895813790029,0.8902045259281749,19.83884372068504,6.376771195934476,4.251180797289653,7.085301328816087,1.1082137975840545,16.060016345316463,3.3159210218859285,17.00472318915861,95.77001964328353,124.5010255362686
1,2025-04-02,1,1.052194611289927,5.808114254320397,0.9680190423867328,13.55226659341426,0.9121717899413444,20.32839989012139,6.534128536110446,4.356085690740298,7.260142817900497,1.135560799722898,16.45632372057446,3.397746838777432,17.424342762961192,98.13330273697136,127.57329355806277
2,2025-04-02,2,1.0754707214329475,5.936598382309871,0.9894330637183116,13.852062892056365,0.9323503869653322,20.778094338084546,6.6786731800986034,4.452448786732403,7.420747977887339,1.1606810939772503,16.8203620832113,3.4729100536512743,17.809795146929613,100.30415738562222,130.39540460130888
3,2025-04-02,3,1.0688598690502187,5.900106477157208,0.9833510795262012,13.766915113366817,0.9266192864766126,20.650372670050224,6.637619786801857,4.425079857867906,7.375133096446509,1.1535464586749669,16.71696835194542,3.4515622891369664,17.700319431471623,99.68759389892232,129.593872068599
4,2025-04-02,4,1.0276246323979576,5.672487970836727,0.945414661806121,13.235805265285695,0.8908715082403833,19.85370789792854,6.381548967191316,4.254365978127545,7.090609963545909,1.1090441225033343,16.072049250704058,3.318405462939485,17.01746391251018,95.84177496161931,124.5943074501051
5,2025-04-02,5,0.9731668455216099,5.371880987279288,0.895313497879881,12.534388970318336,0.8436607960791187,18.801583455477505,6.043366110689197,4.028910740459466,6.7148512340991084,1.0502716032821682,15.22032946395798,3.1425503775583827,16.115642961837864,90.7627501989183,117.9915752585938
6,2025-04-02,6,0.9380478679542683,5.178024231107561,0.8630040385179267,12.082056539250976,0.8132153439880464,18.123084808876463,5.825277259996005,3.883518173330671,6.472530288884451,1.012370122107568,14.671068654804756,3.0291441751979233,15.534072693322685,87.48736632938504,113.73357622820056
7,2025-04-02,7,0.9366531782638429,5.170325544016413,0.8617209240027354,12.064092936038296,0.8120062553102699,18.096139404057446,5.816616237018463,3.87774415801231,6.462906930020516,1.010864930080132,14.649255708046503,3.0246404432496012,15.51097663204924,87.35729010190194,113.56447713247252
8,2025-04-02,8,0.9556293915034505,5.275074241099047,0.8791790401831744,12.308506562564443,0.828457172480299,18.462759843846666,5.934458521236427,3.956305680824286,6.593842801373809,1.0313446432918008,14.946043683113967,3.0859184310429426,15.825222723297143,89.127113344354,115.86524734766022
9,2025-04-02,9,0.9692465595424987,5.350241008674593,0.8917068347790987,12.483895686907385,0.8402622096956892,18.725843530361075,6.019021134758916,4.0126807565059455,6.687801260843242,1.0460407100293274,15.15901619124468,3.129890990074637,16.050723026023782,90.39712333989837,117.51626034186789
10,2025-04-02,10,0.9626018888146204,5.313562426256705,0.8855937377094507,12.398312327932311,0.8345017913031363,18.597468491898468,5.977757729538792,3.9851718196925288,6.641953032820881,1.0388695769283942,15.055093541060664,3.108434019360172,15.940687278770115,89.77740577327162,116.71062750525311
11,2025-04-02,11,0.9373058723252258,5.173928415235246,0.8623214025392076,12.072499635548908,0.8125720908542534,18.108749453323362,5.820669467139651,3.8804463114264354,6.4674105190440585,1.0115693375940706,14.659463843166531,3.026748122912619,15.521785245705741,87.4181638444901,113.64361299783712
12,2025-04-02,12,0.9095196631272231,5.020548540462272,0.8367580900770452,11.714613261078634,0.7884835848802926,17.571919891617952,5.648117108020054,3.765411405346704,6.27568567557784,0.981581605667303,14.22488753130977,2.937020896170429,15.061645621386816,84.82667321159512,110.27467517507365
13,2025-04-02,13,0.9030017055113265,4.9845694144225225,0.8307615690704203,11.630661966985887,0.7828330170086654,17.44599295047883,5.607640591225337,3.738427060816892,6.230711768028153,0.9745472252556855,14.122946674197147,2.9159731074371757,14.953708243267569,84.2187735881943,109.48440566465258
14,2025-04-02,14,0.920684578413628,5.082178872843227,0.8470298121405377,11.85841736996753,0.7981627075939683,17.787626054951293,5.71745123194863,3.811634154632421,6.352723591054034,0.9936311257802463,14.399506806389143,2.9730746406132877,15.246536618529683,85.867972986444,111.62836488237721
