site_id,site_name,weight,preregistered_classification,real_equivalent_IT_average_MW,real_equivalent_IT_peak_MW,real_equivalent_PCC_peak_MW,IEEE123_equivalent_PCC_peak_MW,PUE,PUE_applied_IT_to_PCC_once,source_confidence
AIDC01,Equinix ME4,0.05918596533827055,SOURCE_BACKED_IT_CAPACITY,5.5200000000000005,6.531240142955939,8.49061218584272,0.03129805883139683,1.3,True,E
AIDC02,Micron21,0.009864327556378425,SECONDARY_CRITICAL_POWER_EQUIVALENT,0.92,1.08854002382599,1.4151020309737867,0.005216343138566138,1.3,True,F
AIDC03,Fujitsu Noble Park,0.13810058578929796,SOURCE_BACKED_IT_CAPACITY,12.88,15.239560333563858,19.811428433633015,0.07302880393992593,1.3,True,A
AIDC04,AAPT / TPG Richmond,0.009295231735818131,ENGINEERING_IT_EQUIVALENT_FROM_MVA,0.8669230769230769,1.0257396378360288,1.3334615291868375,0.004915400265187322,1.3,True,F
AIDC05,NEXTDC M2,0.20715087868394694,SOURCE_BACKED_DATA_HALL_DESIGN_POWER_CAPACITY,19.32,22.859340500345787,29.71714265044952,0.1095432059098889,1.3,True,B
AIDC06,NEXTDC M3,0.06658421100555437,SOURCE_BACKED_DATA_HALL_DESIGN_POWER_CAPACITY,6.21,7.347645160825431,9.55193870907306,0.03521031618532143,1.3,True,B
AIDC07,Vocus Mitcham,0.04438947400370292,SECONDARY_CRITICAL_POWER_EQUIVALENT,4.140000000000001,4.898430107216955,6.367959139382041,0.023473544123547622,1.3,True,F
AIDC08,NEXTDC M1,0.07398245667283819,SOURCE_BACKED_IT_CAPACITY,6.9,8.164050178694923,10.6132652323034,0.03912257353924604,1.3,True,A
AIDC09,Equinix ME5,0.011571615018059306,ENGINEERING_EQUIVALENT_IT_CAPACITY_PROXY_FROM_N_PLUS_1_BACKUP,1.0792307692307692,1.2769411817958727,1.6600235363346343,0.006119171758702585,1.3,True,A
AIDC10,CDC Brooklyn BK1,0.16769356845843322,SOURCE_BACKED_OPERATING_BUILD_CAPACITY_EQUIVALENT,15.64,18.505180405041827,24.056734526554372,0.08867783335562435,1.3,True,B
AIDC11,IBM MEL01 / Digital Realty MEL11,0.03462378972288827,HISTORICAL_DIGITAL_REALTY_FACILITY_CAPACITY_PRIMARY,3.2292,3.8207754836292245,4.967008128717992,0.018309364416367144,1.3,True,B
AIDC12,STACK MEL01A,0.17755789601481167,SOURCE_BACKED_BUILT_CRITICAL_CAPACITY,16.560000000000002,19.59372042886782,25.471836557528164,0.09389417649419049,1.3,True,A
