day,slot,timestamp,violation_type,asset,phase,F0_value,F1_value,F2_value,F3_value,AIDC_contribution_F1_minus_F0,MESS_maintenance_contribution_F2_minus_F0,interaction_residual_F3_minus_F1_minus_F2_plus_F0,accounting_error,background_positive_stress,AIDC_positive_stress,MESS_positive_stress,interaction_positive_stress
2025-01-03,75,2025-01-03T19:00:00+10:00,VOLTAGE_HIGH,83.2,B,1.0522569953011691,1.0503377284905595,1.0522569953011691,1.0503377284905595,-0.00191926681060961,0.0,0.0,0.0,0.0022569953011690735,0.0,0.0,0.0
2025-01-03,75,2025-01-03T19:00:00+10:00,VOLTAGE_HIGH,mess_sta12_pcc.2,B,1.0522569650487816,1.0503376982933508,1.0522569650487816,1.0503376982933508,-0.0019192667554308596,0.0,0.0,0.0,0.0022569650487815895,0.0,0.0,0.0
2025-01-05,71,2025-01-05T18:00:00+10:00,VOLTAGE_HIGH,83.2,B,1.0524974870295154,1.0506121732400164,1.0524974870295154,1.0506121732400164,-0.0018853137894989658,0.0,0.0,0.0,0.002497487029515355,0.0,0.0,0.0
2025-01-05,71,2025-01-05T18:00:00+10:00,VOLTAGE_HIGH,mess_sta12_pcc.2,B,1.0524974567702134,1.0506121430349173,1.0524974567702134,1.0506121430349173,-0.0018853137352961014,0.0,0.0,0.0,0.002497456770213402,0.0,0.0,0.0
2025-01-05,72,2025-01-05T18:15:00+10:00,VOLTAGE_HIGH,82.2,B,1.052150089147076,1.050277622997716,1.052150089147076,1.050277622997716,-0.001872466149360097,0.0,0.0,0.0,0.0021500891470760397,0.0,0.0,0.0
2025-01-05,72,2025-01-05T18:15:00+10:00,VOLTAGE_HIGH,83.2,B,1.053295040804852,1.051420756536834,1.053295040804852,1.051420756536834,-0.001874284268017945,0.0,0.0,0.0,0.0032950408048519897,0.0,0.0,0.0
2025-01-05,72,2025-01-05T18:15:00+10:00,VOLTAGE_HIGH,mess_sta12_pcc.2,B,1.0532950105226206,1.0514207263084883,1.0532950105226206,1.0514207263084883,-0.0018742842141323823,0.0,0.0,0.0,0.0032950105226206006,0.0,0.0,0.0
2025-01-05,76,2025-01-05T19:15:00+10:00,VOLTAGE_HIGH,82.2,B,1.0520520206767525,1.0501964928051246,1.0520520206767525,1.0501964928051246,-0.0018555278716279044,0.0,0.0,0.0,0.002052020676752475,0.0,0.0,0.0
2025-01-05,76,2025-01-05T19:15:00+10:00,VOLTAGE_HIGH,83.2,B,1.0531951517845497,1.051337805365015,1.0531951517845497,1.051337805365015,-0.0018573464195346112,0.0,0.0,0.0,0.0031951517845496546,0.0,0.0,0.0
2025-01-05,76,2025-01-05T19:15:00+10:00,VOLTAGE_HIGH,mess_sta12_pcc.2,B,1.05319512150519,1.051337775139054,1.05319512150519,1.051337775139054,-0.0018573463661359924,0.0,0.0,0.0,0.0031951215051899684,0.0,0.0,0.0
2025-01-08,73,2025-01-08T18:30:00+10:00,VOLTAGE_HIGH,83.2,B,1.0529365654843195,1.0510239914232866,1.0529365654843195,1.0510239914232866,-0.0019125740610328457,0.0,0.0,0.0,0.00293656548431942,0.0,0.0,0.0
2025-01-08,73,2025-01-08T18:30:00+10:00,VOLTAGE_HIGH,mess_sta12_pcc.2,B,1.0529365352123943,1.051023961206348,1.0529365352123943,1.051023961206348,-0.0019125740060463858,0.0,0.0,0.0,0.002936535212394231,0.0,0.0,0.0
2025-01-08,77,2025-01-08T19:30:00+10:00,VOLTAGE_HIGH,83.2,B,1.0519000268117578,1.0500038055766754,1.0519000268117578,1.0500038055766754,-0.0018962212350823737,0.0,0.0,0.0,0.0019000268117577157,0.0,0.0,0.0
2025-01-08,77,2025-01-08T19:30:00+10:00,VOLTAGE_HIGH,mess_sta12_pcc.2,B,1.051899996569633,1.0500037753890668,1.051899996569633,1.0500037753890668,-0.0018962211805662044,0.0,0.0,0.0,0.0018999965696329113,0.0,0.0,0.0
2025-01-10,78,2025-01-10T19:45:00+10:00,VOLTAGE_HIGH,83.2,B,1.0523081788406499,1.050433770572936,1.0523081788406499,1.050433770572936,-0.0018744082677137897,0.0,0.0,0.0,0.0023081788406498216,0.0,0.0,0.0
2025-01-10,78,2025-01-10T19:45:00+10:00,VOLTAGE_HIGH,mess_sta12_pcc.2,B,1.0523081485867907,1.050433740372966,1.0523081485867907,1.050433740372966,-0.0018744082138246743,0.0,0.0,0.0,0.002308148586790626,0.0,0.0,0.0
2025-01-14,75,2025-01-14T19:00:00+10:00,VOLTAGE_HIGH,83.2,B,1.0526253708425615,1.0507321633325382,1.0526253708425615,1.0507321633325382,-0.0018932075100233092,0.0,0.0,0.0,0.0026253708425614253,0.0,0.0,0.0
2025-01-14,75,2025-01-14T19:00:00+10:00,VOLTAGE_HIGH,mess_sta12_pcc.2,B,1.0526253405795831,1.0507321331239896,1.0526253405795831,1.0507321331239896,-0.0018932074555935152,0.0,0.0,0.0,0.0026253405795830798,0.0,0.0,0.0
2025-01-20,74,2025-01-20T18:45:00+10:00,VOLTAGE_HIGH,83.2,B,1.0528344713518756,1.050945280385,1.0528344713518756,1.050945280385,-0.0018891909668756757,0.0,0.0,0.0,0.002834471351875534,0.0,0.0,0.0
2025-01-20,74,2025-01-20T18:45:00+10:00,VOLTAGE_HIGH,mess_sta12_pcc.2,B,1.0528344410828858,1.050945250170324,1.0528344410828858,1.050945250170324,-0.001889190912561789,0.0,0.0,0.0,0.0028344410828857747,0.0,0.0,0.0
2025-01-20,77,2025-01-20T19:30:00+10:00,VOLTAGE_HIGH,83.2,B,1.0526057298738036,1.0507286069215893,1.0526057298738036,1.0507286069215893,-0.0018771229522143162,0.0,0.0,0.0,0.002605729873803586,0.0,0.0,0.0
2025-01-20,77,2025-01-20T19:30:00+10:00,VOLTAGE_HIGH,mess_sta12_pcc.2,B,1.0526056996113897,1.050728576713143,1.0526056996113897,1.050728576713143,-0.001877122898246819,0.0,0.0,0.0,0.002605699611389678,0.0,0.0,0.0
2025-01-21,74,2025-01-21T18:45:00+10:00,VOLTAGE_HIGH,83.2,B,1.0529361225994958,1.051048407720896,1.0529361225994958,1.051048407720896,-0.0018877148785998443,0.0,0.0,0.0,0.0029361225994957163,0.0,0.0,0.0
2025-01-21,74,2025-01-21T18:45:00+10:00,VOLTAGE_HIGH,mess_sta12_pcc.2,B,1.0529360923275832,1.0510483775032553,1.0529360923275832,1.0510483775032553,-0.001887714824327924,0.0,0.0,0.0,0.002936092327583184,0.0,0.0,0.0
2025-01-21,77,2025-01-21T19:30:00+10:00,VOLTAGE_HIGH,82.2,B,1.0520033836387368,1.0501421486007159,1.0520033836387368,1.0501421486007159,-0.0018612350380209364,0.0,0.0,0.0,0.0020033836387367554,0.0,0.0,0.0
2025-01-21,77,2025-01-21T19:30:00+10:00,VOLTAGE_HIGH,83.2,B,1.0531492959830187,1.0512862169435642,1.0531492959830187,1.0512862169435642,-0.001863079039454485,0.0,0.0,0.0,0.0031492959830186074,0.0,0.0,0.0
2025-01-21,77,2025-01-21T19:30:00+10:00,VOLTAGE_HIGH,mess_sta12_pcc.2,B,1.0531492657049775,1.0512861867190864,1.0531492657049775,1.0512861867190864,-0.001863078985891109,0.0,0.0,0.0,0.003149265704977422,0.0,0.0,0.0
2025-01-27,73,2025-01-27T18:30:00+10:00,VOLTAGE_HIGH,82.2,B,1.0520649606380343,1.0501823760386144,1.0520649606380343,1.0501823760386144,-0.001882584599419923,0.0,0.0,0.0,0.0020649606380342966,0.0,0.0,0.0
2025-01-27,73,2025-01-27T18:30:00+10:00,VOLTAGE_HIGH,83.2,B,1.053210828213249,1.0513263841438871,1.053210828213249,1.0513263841438871,-0.0018844440693619458,0.0,0.0,0.0,0.0032108282132490285,0.0,0.0,0.0
2025-01-27,73,2025-01-27T18:30:00+10:00,VOLTAGE_HIGH,mess_sta12_pcc.2,B,1.0532107979334389,1.0513263539182545,1.0532107979334389,1.0513263539182545,-0.0018844440151843944,0.0,0.0,0.0,0.0032107979334388137,0.0,0.0,0.0
2025-01-27,76,2025-01-27T19:15:00+10:00,VOLTAGE_HIGH,83.2,B,1.0529480510908078,1.0510794155114502,1.0529480510908078,1.0510794155114502,-0.0018686355793575693,0.0,0.0,0.0,0.0029480510908077573,0.0,0.0,0.0
2025-01-27,76,2025-01-27T19:15:00+10:00,VOLTAGE_HIGH,mess_sta12_pcc.2,B,1.0529480208185524,1.0510793852929183,1.0529480208185524,1.0510793852929183,-0.0018686355256340992,0.0,0.0,0.0,0.002948020818552388,0.0,0.0,0.0
