slot,old_critical_rho,new_max_rho,new_witness,Vmin,Vmin_node,Vmax,Vmax_node
34,0.8439483611154927,0.8439483611154927,Line.tpx21459660c0|t2|sx3101194c.1.2|node1,0.9723006443770208,sx2748781a.2,1.0399999865976284,sourcebus.3
35,0.8439483610564421,0.8439483610564421,Line.tpx21459660c0|t2|sx3101194c.1.2|node1,0.9723006443472979,sx2748781a.2,1.0399999865976282,sourcebus.3
36,0.7704238526799136,0.7704238526799136,Line.tpx21459660c0|t2|sx3101194c.1.2|node1,0.9803181351668263,sx2802481a.1,1.040023993384091,hvmv_sub_hsb.3
37,0.7704238526341725,0.7704238526341725,Line.tpx21459660c0|t2|sx3101194c.1.2|node1,0.9803181351658634,sx2802481a.1,1.0400239933830409,hvmv_sub_hsb.3
38,0.7008839987033829,0.7008839987033829,Line.tpx21459660c0|t2|sx3101194c.1.2|node1,0.9880584952095038,sx2710504b.1,1.0402017923476963,hvmv_sub_hsb.3
39,0.7008839987248092,0.7008839987248092,Line.tpx21459660c0|t2|sx3101194c.1.2|node1,0.9880584952320265,sx2710504b.1,1.0402017923463815,hvmv_sub_hsb.3
40,0.6438355075622512,0.6438355075622512,Line.tpx21459660c0|t2|sx3101194c.1.2|node1,0.9915132417262177,sx3065696a.1,1.0405685473774655,regxfmr_hvmv_sub_lsb.3
41,0.6438355074655099,0.6438355074655099,Line.tpx21459660c0|t2|sx3101194c.1.2|node1,0.991513241708172,sx3065696a.1,1.0405685473722432,regxfmr_hvmv_sub_lsb.3
42,0.6009466015444175,0.6009466015444175,Line.tpx21459660c0|t2|sx3101194c.1.2|node1,0.989060825544169,resite_sta01_lv.1,1.041417559744903,regxfmr_hvmv_sub_lsb.3
43,0.6009466015902463,0.6009466015902463,Line.tpx21459660c0|t2|sx3101194c.1.2|node1,0.9890608255267376,resite_sta01_lv.1,1.0414175597375037,regxfmr_hvmv_sub_lsb.3
44,0.5679153659364672,0.5679153659364672,Line.tpx21459660c0|t2|sx3101194c.1.2|node1,0.9897783447744963,resite_sta01_lv.1,1.041059643751921,regxfmr_hvmv_sub_lsb.2
45,0.5679153659420277,0.5679153659420277,Line.tpx21459660c0|t2|sx3101194c.1.2|node1,0.9897783447740346,resite_sta01_lv.1,1.041059643745227,regxfmr_hvmv_sub_lsb.2
46,0.5402821694600745,0.5402821694600745,Line.tpx21459660c0|t2|sx3101194c.1.2|node1,0.9927373911100505,resite_sta01_lv.1,1.0416245240112263,regxfmr_hvmv_sub_lsb.2
47,0.5402821694510048,0.5402821694510048,Line.tpx21459660c0|t2|sx3101194c.1.2|node1,0.9927373910884694,resite_sta01_lv.1,1.0416245240074833,regxfmr_hvmv_sub_lsb.2
48,0.5307687344761062,0.5307687344761062,Line.tpx21459660c0|t2|sx3101194c.1.2|node1,0.9934429996200347,sx2802481a.1,1.0415005395293389,regxfmr_hvmv_sub_lsb.2
49,0.5307687345393736,0.5307687345393736,Line.tpx21459660c0|t2|sx3101194c.1.2|node1,0.9934429996158805,sx2802481a.1,1.0415005395236665,regxfmr_hvmv_sub_lsb.2
50,0.5308609161539456,0.5308609161539456,Line.tpx21459660c0|t2|sx3101194c.1.2|node1,0.993456451144935,sx2802481a.1,1.0415083647035703,regxfmr_hvmv_sub_lsb.2
51,0.5308609161072293,0.5308609161072293,Line.tpx21459660c0|t2|sx3101194c.1.2|node1,0.9934564511334868,sx2802481a.1,1.0415083646957177,regxfmr_hvmv_sub_lsb.2
52,0.545350145907444,0.545350145907444,Line.tpx21459660c0|t2|sx3101194c.1.2|node1,0.9919454849084686,sx2802481a.1,1.041234445134865,regxfmr_hvmv_sub_lsb.2
53,0.5453501459308745,0.5453501459308745,Line.tpx21459660c0|t2|sx3101194c.1.2|node1,0.9919454849064046,sx2802481a.1,1.0412344451297892,regxfmr_hvmv_sub_lsb.2
68,0.8844434511901829,0.8844434511901829,Line.tpx21459660c0|t2|sx3101194c.1.2|node1,0.9645115741259453,sx2748781a.2,1.0401191128139848,hvmv_sub_hsb.1
69,0.8844434512128794,0.8844434512128794,Line.tpx21459660c0|t2|sx3101194c.1.2|node1,0.9645115741732863,sx2748781a.2,1.040119112816383,hvmv_sub_hsb.1
70,0.8786707693820477,0.8803858094477985,Line.tpx260595c0|t2|sx2767340c.1.2|node2,0.9564327253615281,sx2748781a.2,1.0399999880145105,sourcebus.1
71,0.8786707676796016,0.88038580862783,Line.tpx260595c0|t2|sx2767340c.1.2|node2,0.9564327254050485,sx2748781a.2,1.0399999880145105,sourcebus.1
72,0.7157358307044368,0.8793581179398681,Line.tpx226308710b0|t2|sx2708744b.1.2|node2,0.9610360135311135,sx2802481a.1,1.0401461568789359,hvmv_sub_hsb.1
73,0.7157358441665637,0.8793581322337024,Line.tpx226308710b0|t2|sx2708744b.1.2|node2,0.96103599484067,sx2802481a.1,1.0401461562088543,hvmv_sub_hsb.1
74,0.7152573104638045,0.8793374341679222,Line.tpx226308710b0|t2|sx2708744b.1.2|node2,0.9619262296721092,sx2802481a.1,1.0401782059349411,hvmv_sub_hsb.1
75,0.7152572897627061,0.879337404427447,Line.tpx226308710b0|t2|sx2708744b.1.2|node2,0.961926268762472,sx2802481a.1,1.0401782073145565,hvmv_sub_hsb.1
76,0.8847276683486237,0.8847276683486237,Line.tpx21459660c0|t2|sx3101194c.1.2|node1,0.9563003996226359,sx2748781a.2,1.0399999883457958,sourcebus.1
77,0.8847280812739257,0.8847280812739257,Line.tpx21459660c0|t2|sx3101194c.1.2|node1,0.9561356761520786,sx2748781a.2,1.0399999877706019,sourcebus.1
78,0.8847138941049842,0.8847138941049842,Line.tpx21459660c0|t2|sx3101194c.1.2|node1,0.9562226616925662,sx2748781a.2,1.039999987502066,sourcebus.1
