Fresh_critical_asset,Fresh_rho_day,Fresh_rho_slot,P_kW,Planning_affine_rho_day,Planning_affine_rho_slot,Planning_critical_asset,Planning_polygon_rho_day,Planning_polygon_rho_slot,Q_kvar,day,electrical_PCC,scenario,service_node,slot
line.sw2::A,0.5669705642257855,0.5669705642257855,50.0,0.5670020935104622,0.5670020935104622,line.l10::A,0.5658163664921076,0.5007089191470584,0.0,2025-04-01,149,P_ONLY,IDC01,74
line.sw2::A,0.5670130641049291,0.5670130641049291,0.0,0.5670230712276833,0.5670230712276833,line.l10::A,0.5658163664921076,0.5007089191470584,50.0,2025-04-01,149,Q_ONLY,IDC01,74
line.sw2::A,0.5670131566952967,0.5670131566952967,50.0,0.5670180430360935,0.5670180430360935,line.l10::A,0.5658163664921076,0.5007089191470584,50.0,2025-04-01,149,COMBINED_PQ,IDC01,74
line.sw2::A,0.5669664558188009,0.5669664558188009,50.0,0.5669691773250526,0.5669691773250526,line.sw2::A,0.5658163664921076,0.4944252982330029,0.0,2025-04-01,300_open,P_ONLY,IDC02,74
line.sw2::A,0.5669314175328268,0.5669314175328268,0.0,0.5669558190576837,0.5669558190576837,line.l10::A,0.5658163664921076,0.5007089191470584,50.0,2025-04-01,300_open,Q_ONLY,IDC02,74
line.sw2::A,0.5668792513963697,0.5668792513963697,50.0,0.5669178746806843,0.5669178746806843,line.sw2::A,0.5658163664921076,0.4944252982330029,50.0,2025-04-01,300_open,COMBINED_PQ,IDC02,74
line.sw2::A,0.5669263125158304,0.5669263125158304,50.0,0.5669765138815915,0.5669765138815915,line.sw2::A,0.5658163664921076,0.4944252982330029,0.0,2025-04-01,35,P_ONLY,IDC03,74
line.sw2::A,0.5669313254302047,0.5669313254302047,0.0,0.5669654327913783,0.5669654327913783,line.l10::A,0.5658163664921076,0.5007089191470584,50.0,2025-04-01,35,Q_ONLY,IDC03,74
line.sw2::A,0.5668793804924248,0.5668793804924248,50.0,0.566934824970918,0.566934824970918,line.sw2::A,0.5658163664921076,0.4944252982330029,50.0,2025-04-01,35,COMBINED_PQ,IDC03,74
line.sw2::A,0.5669294057055224,0.5669294057055224,50.0,0.5669768353642592,0.5669768353642592,line.sw2::A,0.5658163664921076,0.4944252982330029,0.0,2025-04-01,50,P_ONLY,IDC04,74
line.sw2::A,0.5669313419950142,0.5669313419950142,0.0,0.5669665596279496,0.5669665596279496,line.l10::A,0.5658163664921076,0.5007089191470584,50.0,2025-04-01,50,Q_ONLY,IDC04,74
line.sw2::A,0.566879330548994,0.566879330548994,50.0,0.566936273290157,0.566936273290157,line.sw2::A,0.5658163664921076,0.4944252982330029,50.0,2025-04-01,50,COMBINED_PQ,IDC04,74
line.sw2::A,0.565811266229347,0.5501287304834138,50.0,0.5658163664921076,0.5501631342781962,line.l10::A,0.5658163664921076,0.49057245043055153,0.0,2025-04-01,61s,P_ONLY,IDC05,74
line.sw2::A,0.567823521304895,0.567823521304895,0.0,0.5676196453731976,0.5676196453731976,line.l10::A,0.5658163664921076,0.5007089191470584,50.0,2025-04-01,61s,Q_ONLY,IDC05,74
line.sw2::A,0.565811266229347,0.5510165286072881,50.0,0.5658163664921076,0.5507756579493419,line.l10::A,0.5658163664921076,0.49057245043055153,50.0,2025-04-01,61s,COMBINED_PQ,IDC05,74
line.sw2::A,0.5668922050209565,0.5668922050209565,50.0,0.5669836412724751,0.5669836412724751,line.sw2::A,0.5658163664921076,0.4944252982330029,0.0,2025-04-01,48,P_ONLY,IDC06,74
line.sw2::A,0.5669312017492913,0.5669312017492913,0.0,0.5669777635538117,0.5669777635538117,line.l10::A,0.5658163664921076,0.5007089191470584,50.0,2025-04-01,48,Q_ONLY,IDC06,74
line.sw2::A,0.5668793565634713,0.5668793565634713,50.0,0.5669542831242349,0.5669542831242349,line.sw2::A,0.5658163664921076,0.4944252982330029,50.0,2025-04-01,48,COMBINED_PQ,IDC06,74
line.sw2::A,0.5669263242716819,0.5669263242716819,50.0,0.5669754960912501,0.5669754960912501,line.sw2::A,0.5658163664921076,0.4944252982330029,0.0,2025-04-01,250,P_ONLY,IDC07,74
line.sw2::A,0.5669313659243107,0.5669313659243107,0.0,0.5669644986152963,0.5669644986152963,line.l10::A,0.5658163664921076,0.5007089191470584,50.0,2025-04-01,250,Q_ONLY,IDC07,74
line.sw2::A,0.5668789863150343,0.5668789863150343,50.0,0.5669328730044945,0.5669328730044945,line.sw2::A,0.5658163664921076,0.4944252982330029,50.0,2025-04-01,250,COMBINED_PQ,IDC07,74
line.sw2::A,0.5669301389557545,0.5669301389557545,50.0,0.5669751256271168,0.5669751256271168,line.sw2::A,0.5658163664921076,0.4944252982330029,0.0,2025-04-01,21,P_ONLY,IDC08,74
line.sw2::A,0.5669313368811864,0.5669313368811864,0.0,0.5669634596486414,0.5669634596486414,line.l10::A,0.5658163664921076,0.5007089191470584,50.0,2025-04-01,21,Q_ONLY,IDC08,74
line.sw2::A,0.5668792834544902,0.5668792834544902,50.0,0.5669314635737063,0.5669314635737063,line.sw2::A,0.5658163664921076,0.4944252982330029,50.0,2025-04-01,21,COMBINED_PQ,IDC08,74
line.sw2::A,0.565811266229347,0.550331725601386,50.0,0.5658163664921076,0.5503614541510673,line.l10::A,0.5658163664921076,0.49057245043055153,0.0,2025-04-01,152,P_ONLY,IDC09,74
line.sw2::A,0.5675202338486132,0.5675202338486132,0.0,0.5672952509930914,0.5672952509930914,line.l10::A,0.5658163664921076,0.5007089191470584,50.0,2025-04-01,152,Q_ONLY,IDC09,74
line.sw2::A,0.565811266229347,0.5508956434594432,50.0,0.5658163664921076,0.5506495834421068,line.l10::A,0.5658163664921076,0.49057245043055153,50.0,2025-04-01,152,COMBINED_PQ,IDC09,74
line.sw2::A,0.565811266229347,0.5501050963290414,50.0,0.5658163664921076,0.5501324255853642,line.l10::A,0.5658163664921076,0.49057245043055153,0.0,2025-04-01,81,P_ONLY,IDC10,74
line.sw2::A,0.5679735277392308,0.5679735277392308,0.0,0.567773357038028,0.567773357038028,line.l10::A,0.5658163664921076,0.5007089191470584,50.0,2025-04-01,81,Q_ONLY,IDC10,74
line.sw2::A,0.565811266229347,0.5511423110865135,50.0,0.5658163664921076,0.5508986609213403,line.l10::A,0.5658163664921076,0.49057245043055153,50.0,2025-04-01,81,COMBINED_PQ,IDC10,74
line.sw2::A,0.565811266229347,0.5500560847493826,50.0,0.5658163664921076,0.5501382129246715,line.l10::A,0.5658163664921076,0.49057245043055153,0.0,2025-04-01,79,P_ONLY,IDC11,74
line.sw2::A,0.5679468494538524,0.5679468494538524,0.0,0.5677626861128551,0.5677626861128551,line.l10::A,0.5658163664921076,0.5007089191470584,50.0,2025-04-01,79,Q_ONLY,IDC11,74
line.sw2::A,0.565811266229347,0.5511113435103578,50.0,0.5658163664921076,0.5508937773354746,line.l10::A,0.5658163664921076,0.49057245043055153,50.0,2025-04-01,79,COMBINED_PQ,IDC11,74
line.sw2::A,0.565811266229347,0.5500408936345659,50.0,0.5658163664921076,0.5501233534629681,line.l10::A,0.5658163664921076,0.49057245043055153,0.0,2025-04-01,108,P_ONLY,IDC12,74
