P_sensitivity_inf_norm,Q_sensitivity_inf_norm,electrical_PCC,feeder_path_A,feeder_path_B,feeder_path_C,phase_support,road_service_node,sensitivity_fingerprint_SHA256,topological_distance_edges_mean
0.00017151135791980686,3.101695197408327e-05,149,transformer.reg1a>line.sw1,transformer.reg1a>line.sw1,transformer.reg1a>line.sw1,ABC,IDC01,a16d18dc0670c09d3622c90df738c0388cd2878d333551b72181f13482b4b6ed,2.0
0.00033331324392390626,0.00015411806262964622,300_open,transformer.reg1a>line.sw1>line.l115>line.l3>line.l7>line.l10>line.l13>line.sw3>line.l114>line.l36>line.l41>line.l43>line.l45>line.l48>line.l49>line.l50>line.l51>line.sw7,transformer.reg1a>line.sw1>line.l115>line.l3>line.l7>line.l10>line.l13>line.sw3>line.l114>line.l36>line.l41>line.l43>line.l45>line.l48>line.l49>line.l50>line.l51>line.sw7,transformer.reg1a>line.sw1>line.l115>line.l3>line.l7>line.l10>line.l13>line.sw3>line.l114>line.l36>line.l41>line.l43>line.l45>line.l48>line.l49>line.l50>line.l51>line.sw7,ABC,IDC02,bf0dc6c921c565b00a55c740aa24ed9f04fb5031d5cf6c20bca2d4990596030e,18.0
0.0003257312446708238,0.0001531113490124275,35,transformer.reg1a>line.sw1>line.l115>line.l3>line.l7>line.l10>line.l13>line.sw3>line.l114,transformer.reg1a>line.sw1>line.l115>line.l3>line.l7>line.l10>line.l13>line.sw3>line.l114,transformer.reg1a>line.sw1>line.l115>line.l3>line.l7>line.l10>line.l13>line.sw3>line.l114,ABC,IDC03,0beb95b5cdc0a8956bbdc5766d30caf15a0f812d774b4685e7904a4a5b2146c0,9.0
0.0003316063570526197,0.00015406280584429332,50,transformer.reg1a>line.sw1>line.l115>line.l3>line.l7>line.l10>line.l13>line.sw3>line.l114>line.l36>line.l41>line.l43>line.l45>line.l48>line.l49,transformer.reg1a>line.sw1>line.l115>line.l3>line.l7>line.l10>line.l13>line.sw3>line.l114>line.l36>line.l41>line.l43>line.l45>line.l48>line.l49,transformer.reg1a>line.sw1>line.l115>line.l3>line.l7>line.l10>line.l13>line.sw3>line.l114>line.l36>line.l41>line.l43>line.l45>line.l48>line.l49,ABC,IDC04,ac3f3752b75612f500597a59f0142953f67ad723cfdc6d5e05e5422fc4f29527,15.0
0.0003508210811689283,0.00010874945594778769,61s,transformer.reg1a>line.sw1>line.l115>line.l3>line.l7>line.l10>line.sw2>line.l116>line.l52>line.l53>line.l55>line.l58>line.l60>line.sw6,transformer.reg1a>line.sw1>line.l115>line.l3>line.l7>line.l10>line.sw2>line.l116>line.l52>line.l53>line.l55>line.l58>line.l60>line.sw6,transformer.reg1a>line.sw1>line.l115>line.l3>line.l7>line.l10>line.sw2>line.l116>line.l52>line.l53>line.l55>line.l58>line.l60>line.sw6,ABC,IDC05,fd5758ba26df05208e7a4af263e1cd5240d331b0a988816b0e4637e2f40981bb,14.0
0.0003271233760129111,0.00015588521821494893,48,transformer.reg1a>line.sw1>line.l115>line.l3>line.l7>line.l10>line.l13>line.sw3>line.l114>line.l36>line.l41>line.l43>line.l45>line.l47,transformer.reg1a>line.sw1>line.l115>line.l3>line.l7>line.l10>line.l13>line.sw3>line.l114>line.l36>line.l41>line.l43>line.l45>line.l47,transformer.reg1a>line.sw1>line.l115>line.l3>line.l7>line.l10>line.l13>line.sw3>line.l114>line.l36>line.l41>line.l43>line.l45>line.l47,ABC,IDC06,e936e65235cb7bceac51c8acf0c4a05529635a7deb62e1c1977480a9133eba9f,14.0
0.0003302048326677716,0.00014718674376388853,250,transformer.reg1a>line.sw1>line.l115>line.l3>line.l7>line.l10>line.l13>line.l19>line.l22>line.l24>line.l26>line.l30>line.l31>line.l32,transformer.reg1a>line.sw1>line.l115>line.l3>line.l7>line.l10>line.l13>line.l19>line.l22>line.l24>line.l26>line.l30>line.l31>line.l32,transformer.reg1a>line.sw1>line.l115>line.l3>line.l7>line.l10>line.l13>line.l19>line.l22>line.l24>line.l26>line.l30>line.l31>line.l32,ABC,IDC07,129a750217264e342272d9b58d4b6e81aeed30630c5695570449b429b39b8d7c,14.0
0.00032640515010604195,0.0001470957662421335,21,transformer.reg1a>line.sw1>line.l115>line.l3>line.l7>line.l10>line.l13>line.l19,transformer.reg1a>line.sw1>line.l115>line.l3>line.l7>line.l10>line.l13>line.l19,transformer.reg1a>line.sw1>line.l115>line.l3>line.l7>line.l10>line.l13>line.l19,ABC,IDC08,0a0c5cf2720257f5cc3ede1dc8363b7d74f0764fc0cf4a59a5def94ba73f8185,8.0
0.00033291335101969243,3.792374189388603e-05,152,transformer.reg1a>line.sw1>line.l115>line.l3>line.l7>line.l10>line.sw2,transformer.reg1a>line.sw1>line.l115>line.l3>line.l7>line.l10>line.sw2,transformer.reg1a>line.sw1>line.l115>line.l3>line.l7>line.l10>line.sw2,ABC,IDC09,718c6491069895f8c4aa8150d7d6c2d9887abcc72fb24eaf0e9c43bb38a5194d,7.0
0.000351268417490791,0.0003411010297224543,81,transformer.reg1a>line.sw1>line.l115>line.l3>line.l7>line.l10>line.sw2>line.l116>line.l52>line.l53>line.l55>line.l58>line.sw4>transformer.reg4a>line.l117>line.l67>line.l73>line.l76>line.l78>line.l80>line.l81,transformer.reg1a>line.sw1>line.l115>line.l3>line.l7>line.l10>line.sw2>line.l116>line.l52>line.l53>line.l55>line.l58>line.sw4>transformer.reg4b>line.l117>line.l67>line.l73>line.l76>line.l78>line.l80>line.l81,transformer.reg1a>line.sw1>line.l115>line.l3>line.l7>line.l10>line.sw2>line.l116>line.l52>line.l53>line.l55>line.l58>line.sw4>transformer.reg4c>line.l117>line.l67>line.l73>line.l76>line.l78>line.l80>line.l81,ABC,IDC10,626bf5c25c7ff2e1a089706c50476d5118b3c19ac573b0b8b4e4d77a23786f52,21.0
0.00035118560208982077,0.0003368541789308593,79,transformer.reg1a>line.sw1>line.l115>line.l3>line.l7>line.l10>line.sw2>line.l116>line.l52>line.l53>line.l55>line.l58>line.sw4>transformer.reg4a>line.l117>line.l67>line.l73>line.l76>line.l78>line.l79,transformer.reg1a>line.sw1>line.l115>line.l3>line.l7>line.l10>line.sw2>line.l116>line.l52>line.l53>line.l55>line.l58>line.sw4>transformer.reg4b>line.l117>line.l67>line.l73>line.l76>line.l78>line.l79,transformer.reg1a>line.sw1>line.l115>line.l3>line.l7>line.l10>line.sw2>line.l116>line.l52>line.l53>line.l55>line.l58>line.sw4>transformer.reg4c>line.l117>line.l67>line.l73>line.l76>line.l78>line.l79,ABC,IDC11,c148bb26666691058d15d24ef26d0ffec384ace549f8e3a2de30160dbca9c58a,20.0
0.0003515311874830451,0.00013944271692252762,108,transformer.reg1a>line.sw1>line.l115>line.l3>line.l7>line.l10>line.sw2>line.l116>line.l52>line.l53>line.l55>line.l58>line.sw4>transformer.reg4a>line.l117>line.l68>line.sw5>line.l118>line.l101>line.l105,transformer.reg1a>line.sw1>line.l115>line.l3>line.l7>line.l10>line.sw2>line.l116>line.l52>line.l53>line.l55>line.l58>line.sw4>transformer.reg4b>line.l117>line.l68>line.sw5>line.l118>line.l101>line.l105,transformer.reg1a>line.sw1>line.l115>line.l3>line.l7>line.l10>line.sw2>line.l116>line.l52>line.l53>line.l55>line.l58>line.sw4>transformer.reg4c>line.l117>line.l68>line.sw5>line.l118>line.l101>line.l105,ABC,IDC12,77cd712eb2e6361144e816ada275b0a307f12eb7b49d535820b05682d590f539,20.0
0.0003267996514596097,0.00014711919355780978,28,transformer.reg1a>line.sw1>line.l115>line.l3>line.l7>line.l10>line.l13>line.l19>line.l22>line.l24>line.l26,transformer.reg1a>line.sw1>line.l115>line.l3>line.l7>line.l10>line.l13>line.l19>line.l22>line.l24>line.l26,transformer.reg1a>line.sw1>line.l115>line.l3>line.l7>line.l10>line.l13>line.l19>line.l22>line.l24>line.l26,ABC,STA01,28bab25894c43a99004e330a3b044404792e3e61485512d15647fa58ee813204,11.0
0.0003492026720818053,4.9231079687145354e-05,54,transformer.reg1a>line.sw1>line.l115>line.l3>line.l7>line.l10>line.sw2>line.l116>line.l52>line.l53,transformer.reg1a>line.sw1>line.l115>line.l3>line.l7>line.l10>line.sw2>line.l116>line.l52>line.l53,transformer.reg1a>line.sw1>line.l115>line.l3>line.l7>line.l10>line.sw2>line.l116>line.l52>line.l53,ABC,STA02,2aa60b83d72c1a43c82161288e18fb3cd52d884b9d9b33baa34279e3eea0da3a,10.0
0.0003518130197348701,0.00030451397510052253,95,transformer.reg1a>line.sw1>line.l115>line.l3>line.l7>line.l10>line.sw2>line.l116>line.l52>line.l53>line.l55>line.l58>line.sw4>transformer.reg4a>line.l117>line.l67>line.l73>line.l77>line.l86>line.l88>line.l90>line.l92>line.l94,transformer.reg1a>line.sw1>line.l115>line.l3>line.l7>line.l10>line.sw2>line.l116>line.l52>line.l53>line.l55>line.l58>line.sw4>transformer.reg4b>line.l117>line.l67>line.l73>line.l77>line.l86>line.l88>line.l90>line.l92>line.l94,transformer.reg1a>line.sw1>line.l115>line.l3>line.l7>line.l10>line.sw2>line.l116>line.l52>line.l53>line.l55>line.l58>line.sw4>transformer.reg4c>line.l117>line.l67>line.l73>line.l77>line.l86>line.l88>line.l90>line.l92>line.l94,ABC,STA03,b0252d1a7fc74d2804dd25fabedf7f05c1641337f83f1150660ba6405bad0772,23.0
0.0003507061467397654,0.00018123063415255574,64,transformer.reg1a>line.sw1>line.l115>line.l3>line.l7>line.l10>line.sw2>line.l116>line.l52>line.l53>line.l55>line.l58>line.l61>line.l62>line.l63,transformer.reg1a>line.sw1>line.l115>line.l3>line.l7>line.l10>line.sw2>line.l116>line.l52>line.l53>line.l55>line.l58>line.l61>line.l62>line.l63,transformer.reg1a>line.sw1>line.l115>line.l3>line.l7>line.l10>line.sw2>line.l116>line.l52>line.l53>line.l55>line.l58>line.l61>line.l62>line.l63,ABC,STA04,443da13b69dc56028915d436e677e367babbba4c9a2f765d72a942ba25819f9b,15.0
0.0003507517708710273,0.0001661992873423987,62,transformer.reg1a>line.sw1>line.l115>line.l3>line.l7>line.l10>line.sw2>line.l116>line.l52>line.l53>line.l55>line.l58>line.l61,transformer.reg1a>line.sw1>line.l115>line.l3>line.l7>line.l10>line.sw2>line.l116>line.l52>line.l53>line.l55>line.l58>line.l61,transformer.reg1a>line.sw1>line.l115>line.l3>line.l7>line.l10>line.sw2>line.l116>line.l52>line.l53>line.l55>line.l58>line.l61,ABC,STA05,81d5a55bf7c70f63b89f5399bc533f67f4390ef49fce739dde5783ae52de4e03,13.0
0.0003511447566702852,0.00013941841332053008,98,transformer.reg1a>line.sw1>line.l115>line.l3>line.l7>line.l10>line.sw2>line.l116>line.l52>line.l53>line.l55>line.l58>line.sw4>transformer.reg4a>line.l117>line.l68>line.l96,transformer.reg1a>line.sw1>line.l115>line.l3>line.l7>line.l10>line.sw2>line.l116>line.l52>line.l53>line.l55>line.l58>line.sw4>transformer.reg4b>line.l117>line.l68>line.l96,transformer.reg1a>line.sw1>line.l115>line.l3>line.l7>line.l10>line.sw2>line.l116>line.l52>line.l53>line.l55>line.l58>line.sw4>transformer.reg4c>line.l117>line.l68>line.l96,ABC,STA06,5b47b22068f7fc6cc94fdb418b10dbbed9d444b421a4d6ed9d674ae27f12bc02,17.0
