job_identifier,field,field_value_origin,available_at,used_at,permitted_or_forbidden,reason
7714188,id,Kestrel submission record,2025-03-31T07:59:54+00:00,2025-03-31T18:00:00+10:00,PERMITTED,Returned by submit_time<=tau predicate; submission-side field.
7714188,job_id,Kestrel submission record,2025-03-31T07:59:54+00:00,2025-03-31T18:00:00+10:00,PERMITTED,Returned by submit_time<=tau predicate; submission-side field.
7714188,partition,Kestrel submission record,2025-03-31T07:59:54+00:00,2025-03-31T18:00:00+10:00,PERMITTED,Returned by submit_time<=tau predicate; submission-side field.
7714188,submit_time,Kestrel submission record,2025-03-31T07:59:54+00:00,2025-03-31T18:00:00+10:00,PERMITTED,Returned by submit_time<=tau predicate; submission-side field.
7714188,nodes_req,Kestrel submission record,2025-03-31T07:59:54+00:00,2025-03-31T18:00:00+10:00,PERMITTED,Returned by submit_time<=tau predicate; submission-side field.
7714188,processors_req,Kestrel submission record,2025-03-31T07:59:54+00:00,2025-03-31T18:00:00+10:00,PERMITTED,Returned by submit_time<=tau predicate; submission-side field.
7714188,memory_req,Kestrel submission record,2025-03-31T07:59:54+00:00,2025-03-31T18:00:00+10:00,PERMITTED,Returned by submit_time<=tau predicate; submission-side field.
7714188,wallclock_req,Kestrel submission record,2025-03-31T07:59:54+00:00,2025-03-31T18:00:00+10:00,PERMITTED,Returned by submit_time<=tau predicate; submission-side field.
7714188,qos,Kestrel submission record,2025-03-31T07:59:54+00:00,2025-03-31T18:00:00+10:00,PERMITTED,Returned by submit_time<=tau predicate; submission-side field.
7714188,gpus_requested,Kestrel submission record,2025-03-31T07:59:54+00:00,2025-03-31T18:00:00+10:00,PERMITTED,Returned by submit_time<=tau predicate; submission-side field.
7714188,start_time,event comparison,2025-03-31T18:00:00+10:00,2025-03-31T18:00:00+10:00,BOOLEAN_ONLY,Numeric value discarded at state-reconstruction boundary.
7714188,end_time,event comparison,2025-03-31T18:00:00+10:00,2025-03-31T18:00:00+10:00,BOOLEAN_ONLY,Numeric value discarded at state-reconstruction boundary.
7712679,id,Kestrel submission record,2025-03-31T06:29:26+00:00,2025-03-31T18:00:00+10:00,PERMITTED,Returned by submit_time<=tau predicate; submission-side field.
