source_pu,alpha,slot,converged,control_actions_complete,solver_error,Vmin_pu,Vmin_node,Vmax_pu,Vmax_node,max_phase_line_loading_pu,line_witness,max_transformer_phase_current_pu,transformer_current_witness,max_transformer_winding_kva_pu,transformer_kva_witness,undervoltage_nodes,overvoltage_nodes,line_violations,transformer_current_violations,transformer_kva_violations,native_P_scheduled_kw,native_Q_scheduled_kvar,PV_scheduled_kw,AIDC_P_scheduled_kw,AIDC_Q_scheduled_kvar,MESS_P_scheduled_kw,MESS_Q_scheduled_kvar,feasible_slot
1.04,0.574,0,True,True,,0.9745554573563237,sx2748781a.2,1.0399999931533974,sourcebus.3,0.7275788834716593,Line.tpx21459660c0|t2|sx3101194c.1.2|node1,0.21946027607786434,Transformer.hvmv_sub|t2|regxfmr_hvmv_sub_lsb.1.2.3.0|node1,0.2240501470246796,Transformer.hvmv_sub|w1|hvmv_sub_hsb,0,0,0,0,0,4647.820656049891,1164.8536581641404,0.0,1136.5149553661693,373.554401126925,0.0,0.0,True
1.04,0.574,1,True,True,,0.9745386799318025,sx2748781a.2,1.0399999931609938,sourcebus.3,0.7275302754861507,Line.tpx21459660c0|t2|sx3101194c.1.2|node1,0.21947939261127686,Transformer.hvmv_sub|t2|regxfmr_hvmv_sub_lsb.1.2.3.0|node1,0.2240500717804775,Transformer.hvmv_sub|w1|hvmv_sub_hsb,0,0,0,0,0,4647.820656049891,1164.8536581641404,0.0,1136.5149551325344,373.55440105013287,0.0,0.0,True
1.04,0.574,2,True,True,,0.9776898743534755,sx2802481a.1,1.040003198674675,hvmv_sub_hsb.3,0.7019407794616901,Line.tpx21459660c0|t2|sx3101194c.1.2|node1,0.21322083720262847,Transformer.hvmv_sub|t2|regxfmr_hvmv_sub_lsb.1.2.3.0|node1,0.21786396840274339,Transformer.hvmv_sub|w1|hvmv_sub_hsb,0,0,0,0,0,4497.031161219307,1127.062248455271,0.0,1136.5149549020769,373.5544009743853,0.0,0.0,True
1.04,0.574,3,True,True,,0.9776990945550649,sx2802481a.1,1.0400031758652288,hvmv_sub_hsb.3,0.7019507809557403,Line.tpx21459660c0|t2|sx3101194c.1.2|node1,0.2132080619442084,Transformer.hvmv_sub|t2|regxfmr_hvmv_sub_lsb.1.2.3.0|node1,0.2178620828163153,Transformer.hvmv_sub|w1|hvmv_sub_hsb,0,0,0,0,0,4497.031161219307,1127.062248455271,0.0,1136.5149546747543,373.55440089966777,0.0,0.0,True
1.04,0.574,4,True,True,,0.9805050516392234,sx2802481a.1,1.040078149850774,hvmv_sub_hsb.3,0.6786244885763919,Line.tpx21459660c0|t2|sx3101194c.1.2|node1,0.20754354671834715,Transformer.hvmv_sub|t2|regxfmr_hvmv_sub_lsb.1.2.3.0|node1,0.2122608011801874,Transformer.hvmv_sub|w1|hvmv_sub_hsb,0,0,0,0,0,4359.007988421104,1092.47038064382,0.0,1136.5149544505225,373.5544008259665,0.0,0.0,True
1.04,0.574,5,True,True,,0.9804988277226436,sx2802481a.1,1.040078015484344,hvmv_sub_hsb.3,0.6786630156977356,Line.tpx21459660c0|t2|sx3101194c.1.2|node1,0.2075550787555211,Transformer.hvmv_sub|t2|regxfmr_hvmv_sub_lsb.1.2.3.0|node1,0.21226118540023772,Transformer.hvmv_sub|w1|hvmv_sub_hsb,0,0,0,0,0,4359.007988421104,1092.47038064382,0.0,1136.5149544375531,373.55440082170367,0.0,0.0,True
1.04,0.574,6,True,True,,0.9832388797275411,sx2802481a.1,1.0401538847025242,hvmv_sub_hsb.3,0.6617585016991271,Line.tpx21459660c0|t2|sx3101194c.1.2|node1,0.20230395932194953,Transformer.hvmv_sub|t2|regxfmr_hvmv_sub_lsb.1.2.3.0|node1,0.2070277514123541,Transformer.hvmv_sub|w1|hvmv_sub_hsb,0,0,0,0,0,4228.880413730736,1059.8573362465934,0.0,1136.5149544246508,373.5544008174629,0.0,0.0,True
1.04,0.574,7,True,True,,0.9832463889861464,sx2802481a.1,1.0401538928040137,hvmv_sub_hsb.3,0.6617609803154636,Line.tpx21459660c0|t2|sx3101194c.1.2|node1,0.20229296471319883,Transformer.hvmv_sub|t2|regxfmr_hvmv_sub_lsb.1.2.3.0|node1,0.20702780465182458,Transformer.hvmv_sub|w1|hvmv_sub_hsb,0,0,0,0,0,4228.880413730736,1059.8573362465934,0.0,1136.5149544118156,373.5544008132441,0.0,0.0,True
1.04,0.574,8,True,True,,0.9851757993807537,sx2802481a.1,1.040205168611284,hvmv_sub_hsb.3,0.6455500100780737,Line.tpx21459660c0|t2|sx3101194c.1.2|node1,0.19843301671178976,Transformer.hvmv_sub|t2|regxfmr_hvmv_sub_lsb.1.2.3.0|node1,0.20320883292212513,Transformer.hvmv_sub|w1|hvmv_sub_hsb,0,0,0,0,0,4132.78992170353,1035.774788868827,0.0,1136.5149543990472,373.5544008090473,0.0,0.0,True
1.04,0.574,9,True,True,,0.9851647364354346,sx2802481a.1,1.0402052266868507,hvmv_sub_hsb.3,0.6455276223515305,Line.tpx21459660c0|t2|sx3101194c.1.2|node1,0.19844772287260531,Transformer.hvmv_sub|t2|regxfmr_hvmv_sub_lsb.1.2.3.0|node1,0.20321034277786582,Transformer.hvmv_sub|w1|hvmv_sub_hsb,0,0,0,0,0,4132.78992170353,1035.774788868827,0.0,1136.5149544206663,373.55440081615325,0.0,0.0,True
