element_id,from_bus,to_bus,x_from,y_from,x_to,y_to,B0_top4_mean,B3_top4_mean,B0_minus_B3_top4_mean,B0_top8_mean,B3_top8_mean,B0_minus_B3_top8_mean,B0_top12_mean,B3_top12_mean,B0_minus_B3_top12_mean,B0_top16_mean,B3_top16_mean,B0_minus_B3_top16_mean
Line.hvmv_sub_connector,_hvmv_sub_lsb,hvmv_sub_48332,,,,,0.7781326687930916,0.7941783057558893,-0.016045636962797705,0.772115865526498,0.7831233210693487,-0.011007455542850653,0.7645485034730629,0.7705246096917259,-0.005976106218662958,0.756340877119315,0.7606897493167769,-0.004348872197461939
Line.ln5502549-1,m1009763,l2673322,,,,,0.0024615131263827764,0.002491138391769558,-2.9625265386781698e-05,0.002441674817487736,0.0024650189571390935,-2.3344139651357548e-05,0.002423202892339166,0.0024352927649635273,-1.2089872624361508e-05,0.0024005923485367745,0.0024100979433236175,-9.505594786842972e-06
Line.ln6259988-1,m1069148,l2673309,,,,,0.0018316847985605095,0.0018159641008705307,1.5720697689978807e-05,0.0018178137290352893,0.0018035000340236977,1.4313695011591637e-05,0.0018015514660931463,0.0017908606672785892,1.0690798814557085e-05,0.001783081171068879,0.0017745343667948013,8.546804274077793e-06
Line.ln6077796-1,m1069588,l2804270,,,,,0.002098914463983494,0.002087590846263321,1.1323617720172905e-05,0.0020824017456957263,0.002077610600352024,4.791145343702435e-06,0.0020660245895999896,0.002060409485041281,5.615104558708527e-06,0.0020467236922286007,0.002041731010422396,4.9926818062044805e-06
Line.ln5835135-2,m3036164,l2935553,,,,,0.020558799201011183,0.02065058666158459,-9.17874605734087e-05,0.020389612034791126,0.02052197169050113,-0.00013235965571000222,0.020234255429414007,0.02030765771857008,-7.340228915607427e-05,0.020044681751087066,0.020107288800227406,-6.260704914034035e-05
Line.ln5896826-1,m1209749,l2748840,,,,,0.0010509564203920838,0.0010436301711406017,7.326249251482075e-06,0.0010432003095806727,0.0010367788659243714,6.421443656301311e-06,0.0010346724681045694,0.0010280873508347495,6.585117269819864e-06,0.0010248280604044232,0.0010183465309984417,6.481529405981531e-06
Line.ln5714038-1,m1108264,m1108263,,,,,0.002755985661509252,0.002770495215087298,-1.4509553578045606e-05,0.002734613302644797,0.0027525835558643167,-1.7970253219519536e-05,0.002713096411267928,0.0027257449821285356,-1.264857086060757e-05,0.0026887012485289157,0.00269675959864445,-8.058350115534244e-06
Line.ln5653457-1,l3085398,m1026891,,,,,0.07890532331156956,0.14398914474406516,-0.0650838214324956,0.07841801104909826,0.11085852695874782,-0.03244051590964955,0.07762018543000636,0.09721152319067106,-0.019591337760664698,0.0766523091992317,0.09060902972760831,-0.013956720528376612
Line.ln5835173-1,l3216367,m1069468,,,,,0.08625698895397853,0.03401145506756047,0.05224553388641806,0.0856063025972429,0.057906715367880945,0.027699587229361958,0.08493575932699728,0.070433760873481,0.014501998453516282,0.0841059048240794,0.07880223628049111,0.005303668543588283
Line.ln6321415-1,m1142800,m1142799,,,,,0.0017747145450379836,0.0017532638470474657,2.145069799051793e-05,0.0017612143855937998,0.0017421158696261155,1.909851596768432e-05,0.001745925859376449,0.0017295150394584715,1.6410819917977602e-05,0.0017284410847005784,0.0017146742094719686,1.3766875228609764e-05
Line.ln5565092-1,m1047592,p827512,,,,,0.002749611609558196,0.0027331912226173484,1.6420386940847482e-05,0.0027288053521210393,0.0027194471954296293,9.358156691409956e-06,0.002703925386485097,0.0026995302572224884,4.395129262608783e-06,0.002675859863015821,0.002673478108130439,2.381754885382153e-06
Line.ln6073648-1,m1047339,p895104,,,,,0.0038597615378158545,0.0038615087348406866,-1.7471970248320728e-06,0.0038322252383387557,0.0038335716686181097,-1.3464302793539731e-06,0.0037979170282911204,0.003793598342810956,4.318685480164501e-06,0.0037591389399889083,0.0037517389845964436,7.399955392464741e-06
