policy,scope,artifact_role,archive_member_path,sha256_if_available,bytes,used_for_final_extraction
B0,REALIZED_OPERATION_AC,completion,independent_screening/IEEE8500_MAY01_AIDC2X_HOST_REMAP_FULL4H_20260913/actual/B0/COMPLETE.json,e8ef3151286ed98a98e9e759520675f11a2c8c9ee93e5042d9088d549835c836,1629,True
B0,REALIZED_OPERATION_AC/CONTINUOUS_VERIFICATION,official_summary,independent_screening/IEEE8500_MAY01_AIDC2X_HOST_REMAP_FULL4H_20260913/actual/B0/CONTINUOUS_VERIFICATION/AC_SUMMARY.json,,501,False
B0,REALIZED_OPERATION_AC/CONTINUOUS_VERIFICATION,phase_arrays,independent_screening/IEEE8500_MAY01_AIDC2X_HOST_REMAP_FULL4H_20260913/actual/B0/CONTINUOUS_VERIFICATION/OPENDSS_PHASE_ARRAYS.npz,,19400717,False
B0,REALIZED_OPERATION_AC/CONTINUOUS_VERIFICATION,slot_extrema,independent_screening/IEEE8500_MAY01_AIDC2X_HOST_REMAP_FULL4H_20260913/actual/B0/CONTINUOUS_VERIFICATION/SLOT_EXTREMA.json,,29851,False
B0,REALIZED_OPERATION_AC/ETA95_ACTUAL,official_summary,independent_screening/IEEE8500_MAY01_AIDC2X_HOST_REMAP_FULL4H_20260913/actual/B0/ETA95_ACTUAL/AC_SUMMARY.json,,501,False
B0,REALIZED_OPERATION_AC/ETA95_ACTUAL,phase_arrays,independent_screening/IEEE8500_MAY01_AIDC2X_HOST_REMAP_FULL4H_20260913/actual/B0/ETA95_ACTUAL/OPENDSS_PHASE_ARRAYS.npz,,19400717,False
B0,REALIZED_OPERATION_AC/ETA95_ACTUAL,slot_extrema,independent_screening/IEEE8500_MAY01_AIDC2X_HOST_REMAP_FULL4H_20260913/actual/B0/ETA95_ACTUAL/SLOT_EXTREMA.json,,29851,False
B0,REALIZED_OPERATION_AC/FINAL_ACTUAL,official_summary,independent_screening/IEEE8500_MAY01_AIDC2X_HOST_REMAP_FULL4H_20260913/actual/B0/FINAL_ACTUAL/AC_SUMMARY.json,cb8b797d491af5e5ff0364828e0c3a7c0dffbd3456ea3f01f3266b5acd0442c0,501,True
B0,REALIZED_OPERATION_AC/FINAL_ACTUAL,phase_arrays,independent_screening/IEEE8500_MAY01_AIDC2X_HOST_REMAP_FULL4H_20260913/actual/B0/FINAL_ACTUAL/OPENDSS_PHASE_ARRAYS.npz,c0dc558f12c9f217c87f18cf0545ea8e6610d8085f0ab1fc88c4690645c30a12,19400717,True
B0,REALIZED_OPERATION_AC/FINAL_ACTUAL,slot_extrema,independent_screening/IEEE8500_MAY01_AIDC2X_HOST_REMAP_FULL4H_20260913/actual/B0/FINAL_ACTUAL/SLOT_EXTREMA.json,f03012106d9902a1b1883fe89041c38e214c87691072d10ddcb06195309222ab,29851,True
B0,REALIZED_OPERATION_AC,axes_and_ratings,independent_screening/IEEE8500_MAY01_AIDC2X_HOST_REMAP_FULL4H_20260913/AXES.json,c4633676a2a23fc13690d04a357a7a381d2000241ae7946d63e5aea35f4b2938,1384831,True
B0,SOURCE_OVERLAY,pcc_coordinates,independent_screening/IEEE8500_MAY01_AIDC2X_HOST_REMAP_FULL4H_20260913/PCC_BusCoordinates.dss,2d1dddf9e5dfca19937dbd34b588352fffc9f37e87f35f60eacd57e97d0b366a,2682,True
B0,SOURCE_REFERENCE,master_reference,independent_screening/IEEE8500_MAY01_AIDC2X_HOST_REMAP_FULL4H_20260913/PCC_Master.dss,363626286c28093ace5b05a7b9a64c702c85afb31cac9992fb82e21daf68bb90,439,True
B3,REALIZED_OPERATION_AC,completion,independent_screening/IEEE8500_MAY01_MESS6_B2B3_20260913/actual_B3_energy_exception_20260914/B3/COMPLETE.json,48dbabe4ddaa123b053d7880075dc734c0160e5335afdbc0728044fce9b354e5,2149,True
B3,REALIZED_OPERATION_AC/CONTINUOUS_VERIFICATION,official_summary,independent_screening/IEEE8500_MAY01_MESS6_B2B3_20260913/actual_B3_energy_exception_20260914/B3/CONTINUOUS_VERIFICATION/AC_SUMMARY.json,,499,False
B3,REALIZED_OPERATION_AC/CONTINUOUS_VERIFICATION,phase_arrays,independent_screening/IEEE8500_MAY01_MESS6_B2B3_20260913/actual_B3_energy_exception_20260914/B3/CONTINUOUS_VERIFICATION/OPENDSS_PHASE_ARRAYS.npz,,19405587,False
B3,REALIZED_OPERATION_AC/CONTINUOUS_VERIFICATION,slot_extrema,independent_screening/IEEE8500_MAY01_MESS6_B2B3_20260913/actual_B3_energy_exception_20260914/B3/CONTINUOUS_VERIFICATION/SLOT_EXTREMA.json,,30858,False
B3,REALIZED_OPERATION_AC/ETA95_ACTUAL,official_summary,independent_screening/IEEE8500_MAY01_MESS6_B2B3_20260913/actual_B3_energy_exception_20260914/B3/ETA95_ACTUAL/AC_SUMMARY.json,,499,False
B3,REALIZED_OPERATION_AC/ETA95_ACTUAL,phase_arrays,independent_screening/IEEE8500_MAY01_MESS6_B2B3_20260913/actual_B3_energy_exception_20260914/B3/ETA95_ACTUAL/OPENDSS_PHASE_ARRAYS.npz,,19405587,False
B3,REALIZED_OPERATION_AC/ETA95_ACTUAL,slot_extrema,independent_screening/IEEE8500_MAY01_MESS6_B2B3_20260913/actual_B3_energy_exception_20260914/B3/ETA95_ACTUAL/SLOT_EXTREMA.json,,30858,False
B3,REALIZED_OPERATION_AC/FINAL_ACTUAL,official_summary,independent_screening/IEEE8500_MAY01_MESS6_B2B3_20260913/actual_B3_energy_exception_20260914/B3/FINAL_ACTUAL/AC_SUMMARY.json,6b735231f90705c73654c55ed9a18c23bcd87cce7af5e0719df65e9f879d0894,499,True
