slot,timestamp,B0_system_rho_max,B0_critical_line,B0_critical_phase,B0_critical_terminal,B3_system_rho_max,B3_critical_line,B3_critical_phase,B3_critical_terminal,B0_minus_B3
0,2025-05-01T00:00,0.6354234491627642,Line.tpx21459660c0,1,t2,0.6414744455443565,Line.tpx21459660c0,1,t2,-0.006050996381592344
1,2025-05-01T00:15,0.6186398638346137,Line.tpx21459660c0,1,t2,0.6248713936602078,Line.tpx21459660c0,1,t2,-0.006231529825594162
2,2025-05-01T00:30,0.6121691106233147,Line.tpx21459660c0,1,t2,0.6166441170337742,Line.tpx21459660c0,1,t2,-0.004475006410459503
3,2025-05-01T00:45,0.6024597256778431,Line.tpx21459660c0,1,t2,0.605916951995668,Line.tpx21459660c0,1,t2,-0.0034572263178248575
4,2025-05-01T01:00,0.5955363997082445,Line.tpx21459660c0,1,t2,0.5960822178265481,Line.tpx21459660c0,1,t2,-0.0005458181183036759
5,2025-05-01T01:15,0.5840085231586026,Line.tpx21459660c0,1,t2,0.5865175919699832,Line.tpx21459660c0,1,t2,-0.002509068811380577
6,2025-05-01T01:30,0.5705840133007587,Line.tpx21459660c0,1,t2,0.5738940271345656,Line.tpx21459660c0,1,t2,-0.003310013833806913
7,2025-05-01T01:45,0.5610583457186776,Line.tpx21459660c0,1,t2,0.5643701651783573,Line.tpx21459660c0,1,t2,-0.0033118194596796213
8,2025-05-01T02:00,0.5545941324607078,Line.tpx21459660c0,1,t2,0.5582103729152851,Line.tpx21459660c0,1,t2,-0.003616240454577313
9,2025-05-01T02:15,0.5515483362356025,Line.tpx21459660c0,1,t2,0.5591772928036236,Line.tpx21459660c0,1,t2,-0.007628956568021095
10,2025-05-01T02:30,0.545997533397855,Line.tpx21459660c0,1,t2,0.5507736193627246,Line.tpx21459660c0,1,t2,-0.00477608596486967
11,2025-05-01T02:45,0.5440217758393389,Line.tpx21459660c0,1,t2,0.5495655854092374,Line.tpx21459660c0,1,t2,-0.005543809569898528
12,2025-05-01T03:00,0.5424039738747551,Line.tpx21459660c0,1,t2,0.5498769308239231,Line.tpx21459660c0,1,t2,-0.0074729569491679415
13,2025-05-01T03:15,0.5428638258635946,Line.tpx21459660c0,1,t2,0.5466833620099664,Line.tpx21459660c0,1,t2,-0.0038195361463717603
14,2025-05-01T03:30,0.5473012383578642,Line.tpx21459660c0,1,t2,0.5499311579192945,Line.tpx21459660c0,1,t2,-0.0026299195614303272
15,2025-05-01T03:45,0.5454641825638563,Line.tpx21459660c0,1,t2,0.5492702854015706,Line.tpx21459660c0,1,t2,-0.0038061028377143202
16,2025-05-01T04:00,0.5525124625526092,Line.tpx21459660c0,1,t2,0.5547130496446395,Line.tpx21459660c0,1,t2,-0.002200587092030304
17,2025-05-01T04:15,0.5500906689659579,Line.tpx21459660c0,1,t2,0.553997190699941,Line.tpx21459660c0,1,t2,-0.003906521733983093
18,2025-05-01T04:30,0.5576704703801295,Line.tpx21459660c0,1,t2,0.5617341869097031,Line.tpx21459660c0,1,t2,-0.004063716529573602
19,2025-05-01T04:45,0.5682024840939698,Line.tpx21459660c0,1,t2,0.5728251623489118,Line.tpx21459660c0,1,t2,-0.004622678254942003
20,2025-05-01T05:00,0.5838479015877852,Line.tpx21459660c0,1,t2,0.5900145021725814,Line.tpx21459660c0,1,t2,-0.0061666005847962335
21,2025-05-01T05:15,0.5968141853245813,Line.tpx21459660c0,1,t2,0.5994036719127477,Line.tpx21459660c0,1,t2,-0.0025894865881663787
22,2025-05-01T05:30,0.6184425338776222,Line.tpx21459660c0,1,t2,0.6205714820463462,Line.tpx21459660c0,1,t2,-0.0021289481687239986
23,2025-05-01T05:45,0.6344437865008764,Line.tpx21459660c0,1,t2,0.6430556372921652,Line.tpx21459660c0,1,t2,-0.008611850791288789
24,2025-05-01T06:00,0.6692600158151435,Line.tpx21459660c0,1,t2,0.678550475427319,Line.tpx21459660c0,1,t2,-0.009290459612175561
25,2025-05-01T06:15,0.7062144481876411,Line.tpx21459660c0,1,t2,0.7132840933062331,Line.tpx21459660c0,1,t2,-0.007069645118591983
