rank,slot,timestamp,B0_system_rho_max,B3_system_rho_max,B0_minus_B3
1,73,2025-05-01T18:15,0.8537462147791017,0.838356609744188,0.015389605034913711
2,74,2025-05-01T18:30,0.8520744436154328,0.8420708410184574,0.010003602596975414
3,72,2025-05-01T18:00,0.8490698587036601,0.833925645530799,0.015144213172861187
4,75,2025-05-01T18:45,0.848630164744177,0.8387699787434959,0.00986018600068106
5,71,2025-05-01T17:45,0.8402044004411539,0.8358612190120142,0.0043431814291396975
6,76,2025-05-01T19:00,0.8381702119162453,0.8360223349030088,0.0021478770132364877
7,78,2025-05-01T19:30,0.836368688180039,0.8359059844946336,0.00046270368540535234
8,77,2025-05-01T19:15,0.8346261590592068,0.8325427332580801,0.002083425801126637
9,79,2025-05-01T19:45,0.8293740916728146,0.8289598596834001,0.0004142319894144819
10,70,2025-05-01T17:30,0.8249542854795485,0.8303056550236999,-0.005351369544151385
11,80,2025-05-01T20:00,0.8166291725862468,0.8259226514489824,-0.009293478862735571
12,29,2025-05-01T07:15,0.8086020167501489,0.8129126495031785,-0.004310632753029675
13,30,2025-05-01T07:30,0.8051168872463722,0.8096996734441361,-0.004582786197763866
14,69,2025-05-01T17:15,0.8021930458176576,0.8057364785467869,-0.00354343272912927
15,81,2025-05-01T20:15,0.7968097346767299,0.8068218503247525,-0.010012115648022624
16,28,2025-05-01T07:00,0.7944945785046899,0.7987958355245086,-0.0043012570198187605
17,82,2025-05-01T20:30,0.7927344861445293,0.802829809805777,-0.010095323661247657
18,31,2025-05-01T07:45,0.7867777819731102,0.7905364865898548,-0.003758704616744546
19,83,2025-05-01T20:45,0.7814101136452126,0.7915038089914245,-0.01009369534621185
20,68,2025-05-01T17:00,0.7768958688007996,0.7801773726903067,-0.003281503889507098
21,27,2025-05-01T06:45,0.7666253055678005,0.7704087751410204,-0.0037834695732198442
22,84,2025-05-01T21:00,0.7552054364741781,0.767322172115966,-0.012116735641787835
23,32,2025-05-01T08:00,0.7510240078690886,0.7541772551158603,-0.0031532472467716843
24,26,2025-05-01T06:30,0.7447903563819903,0.748237213179049,-0.003446856797058695
25,85,2025-05-01T21:15,0.7446455627726037,0.754917343730754,-0.01027178095815029
