day,aidc_id,slot,current_lower_bound_it_kw,current_upper_bound_it_kw,reference_it_kw,B3_solution_it_kw,distance_to_lower_bound_kw,distance_to_upper_bound_kw,lower_bound_active,upper_bound_active,flexible_workload_served_nodeh,residual_reference_it_kw,rack_headroom_gpu,critical_line_leverage_pu_per_kw,top10_grid_critical_slot,lower_bound_classification
2025-04-04,AIDC01,0,5.956945443386956,26.330667991889396,19.07722450101717,5.956945443386956,0.0,20.37372254850244,True,False,0.0,5.956945443386956,35.59550561797752,4.872683506684794e-08,False,RESIDUAL_REFERENCE_LIMITED
2025-04-04,AIDC02,0,10.590125232687921,46.81007643002559,33.91506577958609,10.590125232687921,0.0,36.219951197337664,True,False,0.0,10.590125232687921,63.28089887640449,6.807153141719091e-07,False,RESIDUAL_REFERENCE_LIMITED
2025-04-04,AIDC03,0,10.921066646209415,48.272891318463905,34.97491158519814,17.796209266127228,6.875142619917813,30.476682052336677,False,False,0.8481695089496274,10.921066646209415,51.687714823098105,5.475859880255118e-07,False,UNRESOLVED
2025-04-04,AIDC04,0,4.798650496061714,21.21081588235535,15.367764181374945,4.798650496061714,0.0,16.412165386293637,True,False,0.0,4.798650496061714,28.674157303370787,5.403161760508812e-07,False,RESIDUAL_REFERENCE_LIMITED
2025-04-04,AIDC05,0,7.446181804233697,32.91333498986175,23.846530626271466,7.446181804233697,0.0,25.467153185628057,True,False,0.0,7.446181804233697,44.49438202247191,0.00031235154526140785,False,RESIDUAL_REFERENCE_LIMITED
2025-04-04,AIDC06,0,9.597300992123428,42.4216317647107,30.73552836274989,9.597300992123428,0.0,32.824330772587274,True,False,0.0,9.597300992123428,57.348314606741575,4.1180573970289736e-07,False,RESIDUAL_REFERENCE_LIMITED
2025-04-04,AIDC07,0,2.978472721693478,13.165333995944698,9.538612250508585,2.9784727216934774,-4.440892098500626e-16,10.186861274251221,True,False,0.0,2.978472721693478,17.79775280898876,5.71112904163007e-07,False,RESIDUAL_REFERENCE_LIMITED
2025-04-04,AIDC08,0,8.769947458319685,38.76459454361495,28.085913848719727,37.913941883497984,29.1439944251783,0.8506526601169639,False,False,3.2752808988764044,8.769947458319685,0.0,5.806838585531438e-07,False,UNRESOLVED
2025-04-04,AIDC09,0,19.691014104529103,87.03748586207884,63.06082543391787,72.2815894703615,52.59057536583239,14.755896391717343,False,False,5.742654896615706,19.691014104529103,25.7804430024633,0.0003132198076757631,False,UNRESOLVED
2025-04-04,AIDC10,0,2.482060601411232,10.97111166328725,7.948843542090488,4.577795321263695,2.0957347198524627,6.393316342023555,False,False,0.22884482946325338,2.482060601411232,11.16994340274525,0.000311138923477533,False,UNRESOLVED
