time,interval_index,validation_scope,B0_rho_max,B0_critical_element,B0_critical_phase,B0_critical_terminal,B1_rho_max,B1_critical_element,B1_critical_phase,B1_critical_terminal,B2_rho_max,B2_critical_element,B2_critical_phase,B2_critical_terminal,B3_rho_max,B3_critical_element,B3_critical_phase,B3_critical_terminal
2025-05-01T00:00:00,0,DAY_AHEAD_AC,0.6291891294656234,Line.ln5710794-3,node1,t1,0.6291891294656234,Line.ln5710794-3,node1,t1,0.6567000495235397,Line.hvmv_sub_connector,node1,t1,0.6351916603453702,Line.tpx21459660c0,node1,t2
2025-05-01T00:15:00,1,DAY_AHEAD_AC,0.6291650732786932,Line.hvmv_sub_connector,node1,t1,0.6271996394830819,Line.tpx21459660c0,node1,t2,0.6590750977468868,Line.ln5710794-3,node1,t1,0.6320937129085902,Line.tpx21459660c0,node1,t2
2025-05-01T00:30:00,2,DAY_AHEAD_AC,0.6124235064398447,Line.ln5710794-3,node1,t1,0.6077089980737379,Line.hvmv_sub_connector,node1,t1,0.6137353354950826,Line.ln5775442-1,node1,t2,0.6124233081132626,Line.tpx21459660c0,node1,t2
2025-05-01T00:45:00,3,DAY_AHEAD_AC,0.6123587584756527,Line.ln5710794-3,node1,t1,0.6076385557753183,Line.ln5710794-3,node1,t1,0.6149212130425465,Line.tpx21459660c0,node1,t2,0.6115091021346173,Line.tpx21459660c0,node1,t2
2025-05-01T01:00:00,4,DAY_AHEAD_AC,0.5971679230072207,Line.ln5710794-3,node1,t1,0.5930210661108248,Line.ln5710794-3,node1,t1,0.6257213083882439,Line.ln5775442-1,node1,t2,0.5886066039656208,Line.tpx21459660c0,node1,t2
2025-05-01T01:15:00,5,DAY_AHEAD_AC,0.5971879173765027,Line.hvmv_sub_connector,node1,t1,0.5935442744849332,Line.ln5710794-3,node1,t1,0.5985189703259367,Line.ln5775442-1,node1,t2,0.5916804709270139,Line.ln5775442-1,node1,t2
2025-05-01T01:30:00,6,DAY_AHEAD_AC,0.5814651041106288,Line.ln6291242-1,node1,t2,0.5776981650515928,Line.hvmv_sub_connector,node1,t1,0.5745770339283283,Line.tpx21459660c0,node1,t2,0.5771933113404973,Line.ln5775442-1,node1,t2
2025-05-01T01:45:00,7,DAY_AHEAD_AC,0.5814760316701132,Line.ln6291242-1,node1,t2,0.577858507294124,Line.ln5710794-3,node1,t1,0.5822822711734462,Line.hvmv_sub_connector,node1,t1,0.5772669060283372,Line.ln5775442-1,node1,t2
2025-05-01T02:00:00,8,DAY_AHEAD_AC,0.5693520112994166,Line.hvmv_sub_connector,node1,t1,0.5662771729286544,Line.hvmv_sub_connector,node1,t1,0.5716067549908713,Line.ln5775442-1,node1,t2,0.5573853301963398,Line.tpx21459660c0,node1,t2
2025-05-01T02:15:00,9,DAY_AHEAD_AC,0.5693965715590759,Line.hvmv_sub_connector,node1,t1,0.5664240027851847,Line.ln5710794-3,node1,t1,0.5570524059974098,Line.tpx21459660c0,node1,t2,0.5670612090155913,Line.ln5775442-1,node1,t2
2025-05-01T02:30:00,10,DAY_AHEAD_AC,0.5635112035543215,Line.ln5710794-3,node1,t1,0.5606860292637367,Line.hvmv_sub_connector,node1,t1,0.5654986013589205,Line.ln5775442-1,node1,t2,0.5505934594908578,Line.tpx21459660c0,node1,t2
2025-05-01T02:45:00,11,DAY_AHEAD_AC,0.5634557734406588,Line.hvmv_sub_connector,node1,t2,0.5607532094881353,Line.ln5710794-3,node1,t1,0.5654923831743711,Line.ln5775442-1,node1,t2,0.5515035278024586,Line.tpx21459660c0,node1,t2
