job_id,qos,workload_class,requested_nodes,requested_gpus,FULL_PARTIAL_shared,requested_GPU_hours,predicted_power_W,predicted_total_job_IT_kW,predicted_kW_per_GPU,H0_proxy_job_kW,power_authority,prediction_status
7703706,standby,STANDBY_QUEUE_CONTROLLED,1,2.0,PARTIAL_SHARED,96.0,,,,1.3037692109417278,P1_AGGREGATE_PROXY_ONLY,UNAVAILABLE_LFS_MODEL_JOIN_AND_ATTRIBUTION_BLOCKED
7703707,standby,STANDBY_QUEUE_CONTROLLED,1,2.0,PARTIAL_SHARED,96.0,,,,1.3037692109417278,P1_AGGREGATE_PROXY_ONLY,UNAVAILABLE_LFS_MODEL_JOIN_AND_ATTRIBUTION_BLOCKED
7703708,standby,STANDBY_QUEUE_CONTROLLED,1,2.0,PARTIAL_SHARED,96.0,,,,1.3037692109417278,P1_AGGREGATE_PROXY_ONLY,UNAVAILABLE_LFS_MODEL_JOIN_AND_ATTRIBUTION_BLOCKED
7703709,standby,STANDBY_QUEUE_CONTROLLED,1,2.0,PARTIAL_SHARED,96.0,,,,1.3037692109417278,P1_AGGREGATE_PROXY_ONLY,UNAVAILABLE_LFS_MODEL_JOIN_AND_ATTRIBUTION_BLOCKED
7703710,standby,STANDBY_QUEUE_CONTROLLED,1,2.0,PARTIAL_SHARED,96.0,,,,1.3037692109417278,P1_AGGREGATE_PROXY_ONLY,UNAVAILABLE_LFS_MODEL_JOIN_AND_ATTRIBUTION_BLOCKED
7703711,standby,STANDBY_QUEUE_CONTROLLED,1,2.0,PARTIAL_SHARED,96.0,,,,1.3037692109417278,P1_AGGREGATE_PROXY_ONLY,UNAVAILABLE_LFS_MODEL_JOIN_AND_ATTRIBUTION_BLOCKED
7703712,standby,STANDBY_QUEUE_CONTROLLED,1,2.0,PARTIAL_SHARED,96.0,,,,1.3037692109417278,P1_AGGREGATE_PROXY_ONLY,UNAVAILABLE_LFS_MODEL_JOIN_AND_ATTRIBUTION_BLOCKED
7703713,standby,STANDBY_QUEUE_CONTROLLED,1,2.0,PARTIAL_SHARED,96.0,,,,1.3037692109417278,P1_AGGREGATE_PROXY_ONLY,UNAVAILABLE_LFS_MODEL_JOIN_AND_ATTRIBUTION_BLOCKED
7703715,standby,STANDBY_QUEUE_CONTROLLED,1,2.0,PARTIAL_SHARED,96.0,,,,1.3037692109417278,P1_AGGREGATE_PROXY_ONLY,UNAVAILABLE_LFS_MODEL_JOIN_AND_ATTRIBUTION_BLOCKED
7703716,standby,STANDBY_QUEUE_CONTROLLED,1,2.0,PARTIAL_SHARED,96.0,,,,1.3037692109417278,P1_AGGREGATE_PROXY_ONLY,UNAVAILABLE_LFS_MODEL_JOIN_AND_ATTRIBUTION_BLOCKED
7703717,standby,STANDBY_QUEUE_CONTROLLED,1,2.0,PARTIAL_SHARED,96.0,,,,1.3037692109417278,P1_AGGREGATE_PROXY_ONLY,UNAVAILABLE_LFS_MODEL_JOIN_AND_ATTRIBUTION_BLOCKED
7703718,standby,STANDBY_QUEUE_CONTROLLED,1,2.0,PARTIAL_SHARED,96.0,,,,1.3037692109417278,P1_AGGREGATE_PROXY_ONLY,UNAVAILABLE_LFS_MODEL_JOIN_AND_ATTRIBUTION_BLOCKED
7703719,standby,STANDBY_QUEUE_CONTROLLED,1,2.0,PARTIAL_SHARED,96.0,,,,1.3037692109417278,P1_AGGREGATE_PROXY_ONLY,UNAVAILABLE_LFS_MODEL_JOIN_AND_ATTRIBUTION_BLOCKED
7703720,standby,STANDBY_QUEUE_CONTROLLED,1,2.0,PARTIAL_SHARED,96.0,,,,1.3037692109417278,P1_AGGREGATE_PROXY_ONLY,UNAVAILABLE_LFS_MODEL_JOIN_AND_ATTRIBUTION_BLOCKED
7703721,standby,STANDBY_QUEUE_CONTROLLED,1,2.0,PARTIAL_SHARED,96.0,,,,1.3037692109417278,P1_AGGREGATE_PROXY_ONLY,UNAVAILABLE_LFS_MODEL_JOIN_AND_ATTRIBUTION_BLOCKED
7703722,standby,STANDBY_QUEUE_CONTROLLED,1,2.0,PARTIAL_SHARED,96.0,,,,1.3037692109417278,P1_AGGREGATE_PROXY_ONLY,UNAVAILABLE_LFS_MODEL_JOIN_AND_ATTRIBUTION_BLOCKED
7703723,standby,STANDBY_QUEUE_CONTROLLED,1,2.0,PARTIAL_SHARED,96.0,,,,1.3037692109417278,P1_AGGREGATE_PROXY_ONLY,UNAVAILABLE_LFS_MODEL_JOIN_AND_ATTRIBUTION_BLOCKED
7703724,standby,STANDBY_QUEUE_CONTROLLED,1,2.0,PARTIAL_SHARED,96.0,,,,1.3037692109417278,P1_AGGREGATE_PROXY_ONLY,UNAVAILABLE_LFS_MODEL_JOIN_AND_ATTRIBUTION_BLOCKED
7703725,standby,STANDBY_QUEUE_CONTROLLED,1,2.0,PARTIAL_SHARED,96.0,,,,1.3037692109417278,P1_AGGREGATE_PROXY_ONLY,UNAVAILABLE_LFS_MODEL_JOIN_AND_ATTRIBUTION_BLOCKED
7703726,standby,STANDBY_QUEUE_CONTROLLED,1,2.0,PARTIAL_SHARED,96.0,,,,1.3037692109417278,P1_AGGREGATE_PROXY_ONLY,UNAVAILABLE_LFS_MODEL_JOIN_AND_ATTRIBUTION_BLOCKED
7703727,standby,STANDBY_QUEUE_CONTROLLED,1,2.0,PARTIAL_SHARED,96.0,,,,1.3037692109417278,P1_AGGREGATE_PROXY_ONLY,UNAVAILABLE_LFS_MODEL_JOIN_AND_ATTRIBUTION_BLOCKED
7703728,standby,STANDBY_QUEUE_CONTROLLED,1,2.0,PARTIAL_SHARED,96.0,,,,1.3037692109417278,P1_AGGREGATE_PROXY_ONLY,UNAVAILABLE_LFS_MODEL_JOIN_AND_ATTRIBUTION_BLOCKED
7703729,standby,STANDBY_QUEUE_CONTROLLED,1,2.0,PARTIAL_SHARED,96.0,,,,1.3037692109417278,P1_AGGREGATE_PROXY_ONLY,UNAVAILABLE_LFS_MODEL_JOIN_AND_ATTRIBUTION_BLOCKED
7703730,standby,STANDBY_QUEUE_CONTROLLED,1,2.0,PARTIAL_SHARED,96.0,,,,1.3037692109417278,P1_AGGREGATE_PROXY_ONLY,UNAVAILABLE_LFS_MODEL_JOIN_AND_ATTRIBUTION_BLOCKED
