freeze_item,status,source,function,test
C0 Branch & Authority Snapshot,PASS,dayahead/authority.py,dayahead.cli.authority_snapshot,tests/dayahead/test_authority.py
C1 Raw Data Preflight,PASS_WITH_C2_COVERAGE_FINDING,dayahead/aidc_preflight.py,audit,tests/dayahead/test_preflight.py
C2 AIDC P/G/W Label & Alignment Gate,FAIL_STOP,dayahead/aidc_labels.py,dependency_firewall,tests/dayahead/test_label_gate.py
C3 Cohort/Split/Causality Freeze,NOT_RUN_BLOCKED_BY_C2_LABEL_ALIGNMENT_GATE,dayahead/aidc_labels.py; dayahead/input_contract.py,SPLIT_CONTRACT; issuance_cutoff,tests/dayahead/test_input_contract.py
C4,NOT_RUN_BLOCKED_BY_C2_LABEL_ALIGNMENT_GATE,,,
C5,NOT_RUN_BLOCKED_BY_C2_LABEL_ALIGNMENT_GATE,,,
C6,NOT_RUN_BLOCKED_BY_C2_LABEL_ALIGNMENT_GATE,,,
C7,NOT_RUN_BLOCKED_BY_C2_LABEL_ALIGNMENT_GATE,,,
C8,NOT_RUN_BLOCKED_BY_C2_LABEL_ALIGNMENT_GATE,,,
C9,NOT_RUN_BLOCKED_BY_C2_LABEL_ALIGNMENT_GATE,,,
C10,NOT_RUN_BLOCKED_BY_C2_LABEL_ALIGNMENT_GATE,,,
C11,NOT_RUN_BLOCKED_BY_C2_LABEL_ALIGNMENT_GATE,,,
C12,NOT_RUN_BLOCKED_BY_C2_LABEL_ALIGNMENT_GATE,,,
