site,mean,P10,P50,P90,P95,P99,max,min,GPU_hours,share,partial_known_site_component
AIDC01,64.04099462365592,10.0,64.0,118.0,134.0,189.0,415.0,0.0,47646.5,0.029076284168478475,True
AIDC02,32.41868279569893,0.0,32.0,64.0,69.0,95.0,164.0,0.0,24119.5,0.014718928693642063,True
AIDC03,64.84610215053763,4.0,64.0,98.0,128.0,192.0,636.0,0.0,48245.5,0.029441824013313217,True
AIDC04,32.32392473118279,4.0,32.0,64.0,68.0,87.0,230.0,0.0,24049.0,0.014675906057480377,True
AIDC05,83.0114247311828,32.0,80.0,144.0,164.0,224.0,566.0,0.0,61760.5,0.03768935490303201,True
AIDC06,63.46236559139785,26.0,64.0,98.0,115.0,172.0,260.0,0.0,47216.0,0.02881357147532095,True
AIDC07,31.28125,0.0,32.0,58.0,66.0,96.0,187.0,0.0,23273.25,0.01420250449716226,True
AIDC08,61.052083333333336,32.0,64.0,80.0,96.0,120.0,359.0,0.0,45422.75,0.027719240378910426,True
AIDC09,30.4502688172043,0.0,32.0,52.0,66.0,96.0,180.0,0.0,22655.0,0.013825217336779824,True
AIDC10,63.82224462365591,4.0,64.0,108.0,128.0,188.0,381.0,0.0,47483.75,0.028976965955211605,True
AIDC11,33.84206989247312,8.0,32.0,64.0,73.0,96.0,164.0,0.0,25178.5,0.015365183611304824,True
AIDC12,69.11088709677419,12.0,64.0,128.0,158.0,190.0,282.0,0.0,51418.5,0.03137814776566821,True
UNKNOWN_SITE,1572.8541666666667,0.0,375.0,4764.0,7736.0,9501.0,12441.0,0.0,1170203.5,0.7141168711436957,
