source_pu,alpha,slot,converged,control_actions_complete,solver_error,Vmin_pu,Vmin_node,Vmax_pu,Vmax_node,max_phase_line_loading_pu,line_witness,max_transformer_phase_current_pu,transformer_current_witness,max_transformer_winding_kva_pu,transformer_kva_witness,undervoltage_nodes,overvoltage_nodes,line_violations,transformer_current_violations,transformer_kva_violations,native_P_scheduled_kw,native_Q_scheduled_kvar,PV_scheduled_kw,AIDC_P_scheduled_kw,AIDC_Q_scheduled_kvar,MESS_P_scheduled_kw,MESS_Q_scheduled_kvar,feasible_slot
1.04,0.579,0,True,True,,0.9739704468493067,sx2748781a.2,1.0399999929772934,sourcebus.3,0.7339628554635353,Line.tpx21459660c0|t2|sx3101194c.1.2|node1,0.22106187582740727,Transformer.hvmv_sub|t2|regxfmr_hvmv_sub_lsb.1.2.3.0|node1,0.2256696048462579,Transformer.hvmv_sub|w1|hvmv_sub_hsb,0,0,0,0,0,4688.306898698409,1175.000467033166,0.0,1136.5149553661693,373.554401126925,0.0,0.0,True
1.04,0.579,1,True,True,,0.9739413456275089,sx2748781a.2,1.0399999929899342,sourcebus.3,0.7338803686259541,Line.tpx21459660c0|t2|sx3101194c.1.2|node1,0.2210952491740534,Transformer.hvmv_sub|t2|regxfmr_hvmv_sub_lsb.1.2.3.0|node1,0.22566947617403058,Transformer.hvmv_sub|w1|hvmv_sub_hsb,0,0,0,0,0,4688.306898698409,1175.000467033166,0.0,1136.5149551325344,373.55440105013287,0.0,0.0,True
1.04,0.579,2,True,True,,0.9771219945357336,sx2802481a.1,1.040001916895957,hvmv_sub_hsb.3,0.708050585060886,Line.tpx21459660c0|t2|sx3101194c.1.2|node1,0.21476775887587285,Transformer.hvmv_sub|t2|regxfmr_hvmv_sub_lsb.1.2.3.0|node1,0.21942440837423302,Transformer.hvmv_sub|w1|hvmv_sub_hsb,0,0,0,0,0,4536.203906526096,1136.8798638599335,0.0,1136.5149549020769,373.5544009743853,0.0,0.0,True
1.04,0.579,3,True,True,,0.9771141592882301,sx2802481a.1,1.0400017665802195,hvmv_sub_hsb.3,0.7080929863072991,Line.tpx21459660c0|t2|sx3101194c.1.2|node1,0.21478167055845213,Transformer.hvmv_sub|t2|regxfmr_hvmv_sub_lsb.1.2.3.0|node1,0.21942490323580435,Transformer.hvmv_sub|w1|hvmv_sub_hsb,0,0,0,0,0,4536.203906526096,1136.8798638599335,0.0,1136.5149546747543,373.55440089966777,0.0,0.0,True
1.04,0.579,4,True,True,,0.9803554709980674,sx2802481a.1,1.0400843041307426,hvmv_sub_hsb.3,0.6848766116621396,Line.tpx21459660c0|t2|sx3101194c.1.2|node1,0.20908411213901731,Transformer.hvmv_sub|t2|regxfmr_hvmv_sub_lsb.1.2.3.0|node1,0.21376757829222448,Transformer.hvmv_sub|w1|hvmv_sub_hsb,0,0,0,0,0,4396.9784412819145,1101.986673158139,0.0,1136.5149544505225,373.5544008259665,0.0,0.0,True
1.04,0.579,5,True,True,,0.980379720157552,sx2802481a.1,1.0400839922690233,hvmv_sub_hsb.3,0.6849969880218489,Line.tpx21459660c0|t2|sx3101194c.1.2|node1,0.20905610733705018,Transformer.hvmv_sub|t2|regxfmr_hvmv_sub_lsb.1.2.3.0|node1,0.21376903302640896,Transformer.hvmv_sub|w1|hvmv_sub_hsb,0,0,0,0,0,4396.9784412819145,1101.986673158139,0.0,1136.5149544375531,373.55440082170367,0.0,0.0,True
1.04,0.579,6,True,True,,0.9830202453155193,sx2802481a.1,1.0401547180089068,hvmv_sub_hsb.3,0.6629259205246212,Line.tpx21459660c0|t2|sx3101194c.1.2|node1,0.20374245495686685,Transformer.hvmv_sub|t2|regxfmr_hvmv_sub_lsb.1.2.3.0|node1,0.20849569411961533,Transformer.hvmv_sub|w1|hvmv_sub_hsb,0,0,0,0,0,4265.717351132573,1069.0895430083235,0.0,1136.5149544246508,373.5544008174629,0.0,0.0,True
1.04,0.579,7,True,True,,0.9830393900113752,sx2802481a.1,1.0401546333616853,hvmv_sub_hsb.3,0.6629529239451526,Line.tpx21459660c0|t2|sx3101194c.1.2|node1,0.20371651681437272,Transformer.hvmv_sub|t2|regxfmr_hvmv_sub_lsb.1.2.3.0|node1,0.20848957882203273,Transformer.hvmv_sub|w1|hvmv_sub_hsb,0,0,0,0,0,4265.717351132573,1069.0895430083235,0.0,1136.5149544118156,373.5544008132441,0.0,0.0,True
1.04,0.579,8,True,True,,0.9844414902476468,sx2802481a.1,1.0401863959207085,hvmv_sub_hsb.3,0.6515437263058368,Line.tpx21459660c0|t2|sx3101194c.1.2|node1,0.1998962155594039,Transformer.hvmv_sub|t2|regxfmr_hvmv_sub_lsb.1.2.3.0|node1,0.20463959494955578,Transformer.hvmv_sub|w1|hvmv_sub_hsb,0,0,0,0,0,4168.789833913492,1044.797217343294,0.0,1136.5149543990472,373.5544008090473,0.0,0.0,True
1.04,0.579,9,True,True,,0.984439730199168,sx2802481a.1,1.040186069851506,hvmv_sub_hsb.3,0.6516466730466294,Line.tpx21459660c0|t2|sx3101194c.1.2|node1,0.19990557979565593,Transformer.hvmv_sub|t2|regxfmr_hvmv_sub_lsb.1.2.3.0|node1,0.20464027202095092,Transformer.hvmv_sub|w1|hvmv_sub_hsb,0,0,0,0,0,4168.789833913492,1044.797217343294,0.0,1136.5149544206663,373.55440081615325,0.0,0.0,True
