issue_time,role,new_fit,Pending_R0_available
2025-03-14 08:00:00+00:00,TRAIN,False,False
2025-03-15 08:00:00+00:00,TRAIN,False,False
2025-03-16 08:00:00+00:00,TRAIN,False,False
2025-03-17 08:00:00+00:00,TRAIN,False,False
2025-03-18 08:00:00+00:00,TRAIN,False,False
2025-03-19 08:00:00+00:00,TRAIN,False,False
2025-03-20 08:00:00+00:00,TRAIN,False,False
2025-03-21 08:00:00+00:00,TRAIN,False,False
2025-03-22 08:00:00+00:00,DEVELOPMENT,True,False
2025-03-23 08:00:00+00:00,DEVELOPMENT,True,False
2025-03-24 08:00:00+00:00,DEVELOPMENT,True,False
2025-03-25 08:00:00+00:00,DEVELOPMENT,True,False
2025-03-26 08:00:00+00:00,DEVELOPMENT,True,False
2025-03-27 08:00:00+00:00,DEVELOPMENT,True,False
2025-03-28 08:00:00+00:00,DEVELOPMENT,True,False
2025-03-29 08:00:00+00:00,DEVELOPMENT,True,False
2025-03-30 08:00:00+00:00,DEVELOPMENT,True,False
2025-04-02 08:00:00+00:00,CALIBRATION,True,False
2025-04-03 08:00:00+00:00,CALIBRATION,True,False
2025-04-04 08:00:00+00:00,CALIBRATION,True,False
2025-04-05 08:00:00+00:00,CALIBRATION,True,False
2025-04-06 08:00:00+00:00,CALIBRATION,True,False
2025-04-07 08:00:00+00:00,CALIBRATION,True,False
2025-04-10 08:00:00+00:00,EXPOSED_EVALUATION,True,False
2025-04-11 08:00:00+00:00,EXPOSED_EVALUATION,True,False
2025-04-12 08:00:00+00:00,EXPOSED_EVALUATION,True,False
2025-04-13 08:00:00+00:00,EXPOSED_EVALUATION,True,False
2025-04-14 08:00:00+00:00,EXPOSED_EVALUATION,True,False
2025-04-16 08:00:00+00:00,EXPOSED_EVALUATION,True,False
2025-04-17 08:00:00+00:00,EXPOSED_EVALUATION,True,False
2025-04-18 08:00:00+00:00,EXPOSED_EVALUATION,True,False
2025-04-19 08:00:00+00:00,EXPOSED_EVALUATION,True,False
2025-04-20 08:00:00+00:00,EXPOSED_EVALUATION,True,False
2025-04-21 08:00:00+00:00,EXPOSED_EVALUATION,True,False
2025-04-22 08:00:00+00:00,EXPOSED_EVALUATION,True,False
2025-04-23 08:00:00+00:00,EXPOSED_EVALUATION,True,False
2025-04-30 08:00:00+00:00,MAY_HISTORICAL,True,True
2025-05-01 08:00:00+00:00,MAY_HISTORICAL,True,True
2025-05-02 08:00:00+00:00,MAY_HISTORICAL,True,True
2025-05-03 08:00:00+00:00,MAY_HISTORICAL,True,True
2025-05-04 08:00:00+00:00,MAY_HISTORICAL,True,True
2025-05-05 08:00:00+00:00,MAY_HISTORICAL,True,True
2025-05-06 08:00:00+00:00,MAY_HISTORICAL,True,True
2025-05-07 08:00:00+00:00,MAY_HISTORICAL,True,True
2025-05-08 08:00:00+00:00,MAY_HISTORICAL,True,True
2025-05-09 08:00:00+00:00,MAY_HISTORICAL,True,True
2025-05-10 08:00:00+00:00,MAY_HISTORICAL,True,True
2025-05-11 08:00:00+00:00,MAY_HISTORICAL,True,True
2025-05-12 08:00:00+00:00,MAY_HISTORICAL,True,True
2025-05-13 08:00:00+00:00,MAY_HISTORICAL,True,True
2025-05-14 08:00:00+00:00,MAY_HISTORICAL,True,True
2025-05-15 08:00:00+00:00,MAY_HISTORICAL,True,True
2025-05-16 08:00:00+00:00,MAY_HISTORICAL,True,True
2025-05-17 08:00:00+00:00,MAY_HISTORICAL,True,True
2025-05-18 08:00:00+00:00,MAY_HISTORICAL,True,True
2025-05-19 08:00:00+00:00,MAY_HISTORICAL,True,True
2025-05-20 08:00:00+00:00,MAY_HISTORICAL,True,True
2025-05-21 08:00:00+00:00,MAY_HISTORICAL,True,True
2025-05-22 08:00:00+00:00,MAY_HISTORICAL,True,True
2025-05-23 08:00:00+00:00,MAY_HISTORICAL,True,True
2025-05-24 08:00:00+00:00,MAY_HISTORICAL,True,True
2025-05-25 08:00:00+00:00,MAY_HISTORICAL,True,True
2025-05-26 08:00:00+00:00,MAY_HISTORICAL,True,True
2025-05-27 08:00:00+00:00,MAY_HISTORICAL,True,True
2025-05-28 08:00:00+00:00,MAY_HISTORICAL,True,True
2025-05-29 08:00:00+00:00,MAY_HISTORICAL,True,True
2025-05-30 08:00:00+00:00,MAY_HISTORICAL,True,True
