role,model,stratum,N_hours,coverage,positive_coverage,burst_coverage,Q90_pinball,requirement_ratio,actual_GPUh,predicted_GPUh,N_burst
DEVELOPMENT,C0,zero,451,1.0,,,16.5014665394011,,0.0,74421.61409269896,0
DEVELOPMENT,C0,positive,941,0.7247608926673751,0.7247608926673751,0.0,230.40853043617247,0.8723378926587603,329015.0525,287012.2975508614,83
DEVELOPMENT,C0,burst,83,0.0,0.0,0.0,1986.108732191061,0.14258306028690387,213622.27916666673,30458.91830904665,83
DEVELOPMENT,C0,high_risk,247,0.8137651821862348,0.7880184331797235,0.0,264.9262559793511,1.1411984144873268,100701.48861111113,114920.37913951362,29
DEVELOPMENT,C0,low_risk,1145,0.8139737991266376,0.7058011049723757,0.0,138.70725181031307,1.0797147935722955,228313.56388888886,246513.5325040467,54
DEVELOPMENT,C1,zero,451,1.0,,,17.23136870427943,,0.0,77713.47285630023,0
DEVELOPMENT,C1,positive,941,0.7258235919234857,0.7258235919234857,0.0,230.16178269974975,0.8990184045975569,329015.0525,295790.5875871314,83
DEVELOPMENT,C1,burst,83,0.0,0.0,0.0,1974.2104475033457,0.14771963245912406,213622.27916666673,31556.204563580406,83
DEVELOPMENT,C1,high_risk,73,0.8493150684931506,0.8135593220338984,0.0,502.8551311208618,1.0738477695594204,48576.6975,52163.97826293767,8
DEVELOPMENT,C1,low_risk,1319,0.8127369219105383,0.719954648526077,0.0,142.26319957109294,1.1458492622398029,280438.35500000004,321340.082180494,75
DEVELOPMENT,C2,zero,451,1.0,,,23.17673907060861,,0.0,104527.09320844481,0
DEVELOPMENT,C2,positive,941,0.7332624867162593,0.7332624867162593,0.04819277108433735,229.69908697439158,1.3136167473852418,329015.0525,432199.6831058346,83
DEVELOPMENT,C2,burst,83,0.04819277108433735,0.04819277108433735,0.04819277108433735,1829.629360860004,0.2317655495842517,213622.27916666673,49510.28493450295,83
DEVELOPMENT,C2,high_risk,73,0.9452054794520548,0.9322033898305084,0.5,533.6217798558268,4.433950952177955,48576.6975,215386.6941337855,8
DEVELOPMENT,C2,low_risk,1319,0.8127369219105383,0.719954648526077,0.0,142.26319957109294,1.1458492622398029,280438.35500000004,321340.082180494,75
CALIBRATION,C0,zero,123,1.0,,,22.371353699978325,,0.0,27516.765050973336,0
CALIBRATION,C0,positive,501,0.8143712574850299,0.8143712574850299,0.02631578947368421,344.23400971228597,0.8839525592304026,248575.19249999992,219728.6775715649,38
CALIBRATION,C0,burst,38,0.02631578947368421,0.02631578947368421,0.02631578947368421,3946.2844653113907,0.1090416703209048,185609.89972222215,20239.213493806747,38
CALIBRATION,C0,high_risk,262,0.8282442748091603,0.8051948051948052,0.043478260869565216,497.8670127648228,0.872127420863474,180260.7263888888,157210.32238851796,23
CALIBRATION,C0,low_risk,362,0.8674033149171271,0.8222222222222222,0.0,123.67888957615745,1.317951019152829,68314.46611111108,90035.12023402024,15
CALIBRATION,C1,zero,123,1.0,,,26.020407453835546,,0.0,32005.101168217716,0
CALIBRATION,C1,positive,501,0.8303393213572854,0.8303393213572854,0.10526315789473684,340.34869443698244,1.07854297889681,248575.19249999992,268099.02859879786,38
CALIBRATION,C1,burst,38,0.10526315789473684,0.10526315789473684,0.10526315789473684,3813.260506604301,0.14865644398337527,185609.89972222215,27592.10766081642,38
CALIBRATION,C1,high_risk,70,0.9142857142857143,0.90625,0.4,297.2470873900353,3.1387862260060153,36618.99444444444,114939.195372413,10
CALIBRATION,C1,low_risk,554,0.8574007220216606,0.8192219679633868,0.0,276.0070576036959,0.8735999989302945,211956.19805555546,185164.93439460255,28
CALIBRATION,C2,zero,123,1.0,,,36.198314790861176,,0.0,44523.92719275924,0
CALIBRATION,C2,positive,501,0.8403193612774451,0.8403193612774451,0.23684210526315788,358.8864285585836,1.5699201173409851,248575.19249999992,390243.19537765783,38
CALIBRATION,C2,burst,38,0.23684210526315788,0.23684210526315788,0.23684210526315788,3793.7808489346176,0.2664726216112138,185609.89972222215,49459.95657597504,38
CALIBRATION,C2,high_risk,70,0.9857142857142858,0.984375,0.9,447.8083359239828,6.816194490389187,36618.99444444444,249602.18817581446,10
CALIBRATION,C2,low_risk,554,0.8574007220216606,0.8192219679633868,0.0,276.0070576036959,0.8735999989302945,211956.19805555546,185164.93439460255,28
EXPOSED_EVALUATION,C0,zero,477,1.0,,,17.359133256204114,,0.0,82803.06563209363,0
EXPOSED_EVALUATION,C0,positive,1635,0.8195718654434251,0.8195718654434251,0.007575757575757576,257.21752735101785,1.0861678459048294,672290.9750000001,730220.8401370076,132
EXPOSED_EVALUATION,C0,burst,132,0.007575757575757576,0.007575757575757576,0.007575757575757576,2645.808292992002,0.1546177139468889,458577.43000000005,70904.19389423948,132
EXPOSED_EVALUATION,C0,high_risk,798,0.8671679197994987,0.8502824858757062,0.01639344262295082,231.47010250506096,1.4757727299340133,313111.95666666667,462082.0870649472,61
EXPOSED_EVALUATION,C0,low_risk,1314,0.8561643835616438,0.7961165048543689,0.0,185.7822085107191,0.9770665901716598,359179.0183333334,350941.81870415417,71
EXPOSED_EVALUATION,C1,zero,477,1.0,,,18.879717458022217,,0.0,90056.25227476598,0
EXPOSED_EVALUATION,C1,positive,1635,0.8305810397553517,0.8305810397553517,0.05303030303030303,257.5271198779547,1.2101115120427675,672290.9750000001,813547.0482899565,132
EXPOSED_EVALUATION,C1,burst,132,0.05303030303030303,0.05303030303030303,0.05303030303030303,2609.1950362786565,0.16961181885437143,458577.43000000005,77780.15198786321,132
EXPOSED_EVALUATION,C1,high_risk,184,0.9456521739130435,0.9408284023668639,0.4,189.40646541452162,3.1538395835034576,68349.9336111111,215564.7261525556,15
EXPOSED_EVALUATION,C1,low_risk,1928,0.8615145228215768,0.8178717598908595,0.008547008547008548,204.9853094355086,1.139247918687357,603941.0413888891,688038.5744121668,117
EXPOSED_EVALUATION,C2,zero,477,1.0,,,27.281275734976692,,0.0,130131.6852558388,0
EXPOSED_EVALUATION,C2,positive,1635,0.8342507645259939,0.8342507645259939,0.09090909090909091,268.7985222386634,1.6336484479775846,672290.9750000001,1098287.1078980872,132
EXPOSED_EVALUATION,C2,burst,132,0.09090909090909091,0.09090909090909091,0.09090909090909091,2552.9791931579607,0.2258306608693806,458577.43000000005,103560.84407668214,132
EXPOSED_EVALUATION,C2,high_risk,184,0.9782608695652174,0.9763313609467456,0.7333333333333333,311.3428032290109,7.906082569389852,68349.9336111111,540380.2187417591,15
EXPOSED_EVALUATION,C2,low_risk,1928,0.8615145228215768,0.8178717598908595,0.008547008547008548,204.9853094355086,1.139247918687357,603941.0413888891,688038.5744121668,117
MAY_HISTORICAL,C0,zero,105,1.0,,,40.15124019014965,,0.0,42158.802199657126,0
MAY_HISTORICAL,C0,positive,639,0.8560250391236307,0.8560250391236307,0.07246376811594203,351.7550338148552,1.2880186813468055,351588.466388889,452852.5128549625,69
MAY_HISTORICAL,C0,burst,69,0.07246376811594203,0.07246376811594203,0.07246376811594203,2745.374396740387,0.216006287354956,266380.71444444463,57539.90915010519,69
MAY_HISTORICAL,C0,high_risk,578,0.8719723183391004,0.8549019607843137,0.07692307692307693,373.14218348554743,1.332812439221966,328889.68722222233,438348.2662615996,65
MAY_HISTORICAL,C0,low_risk,166,0.891566265060241,0.8604651162790697,0.0,80.18773959645644,2.496303804577746,22698.779166666645,56663.048793020025,4
MAY_HISTORICAL,C1,zero,105,1.0,,,57.52553711461307,,0.0,60401.81397034373,0
MAY_HISTORICAL,C1,positive,639,0.8841940532081377,0.8841940532081377,0.2753623188405797,353.3345880130977,1.9790483182158902,351588.466388889,695810.5631110348,69
MAY_HISTORICAL,C1,burst,69,0.2753623188405797,0.2753623188405797,0.2753623188405797,2459.7099321234627,0.3301494126646211,266380.71444444463,87945.43641901555,69
MAY_HISTORICAL,C1,high_risk,387,0.9328165374677002,0.9277777777777778,0.4222222222222222,447.05139377592184,2.2797324500554703,258939.9955555557,590313.9104852196,45
MAY_HISTORICAL,C1,low_risk,357,0.865546218487395,0.8279569892473119,0.0,164.7397583924987,1.7906228252228378,92648.47083333331,165898.46659615898,24
MAY_HISTORICAL,C2,zero,105,1.0,,,83.19081053004746,,0.0,87350.35105654983,0
MAY_HISTORICAL,C2,positive,639,0.8982785602503912,0.8982785602503912,0.4057971014492754,375.9927543741455,2.7402527849081175,351588.466388889,963441.2741637272,69
MAY_HISTORICAL,C2,burst,69,0.4057971014492754,0.4057971014492754,0.4057971014492754,2328.0944382082885,0.45039211593586936,266380.71444444463,119975.77362314201,69
MAY_HISTORICAL,C2,high_risk,387,0.9560723514211886,0.9527777777777777,0.6222222222222222,491.4271612522271,3.417367628842273,258939.9955555557,884893.1586241181,45
