AIDC,node,AIDC_fixed_PF_dVpu_per_kW,nearby_MESS_extra_load_proxy_dVpu_dP,nearby_MESS_extra_load_proxy_dVpu_dQ,AIDC_pure_dV_dP,AIDC_pure_dV_dQ
AIDC01,1.1,-3.818774083690264e-09,-1.8115238520120738e-09,-2.451385141618414e-09,,
AIDC01,1.2,-9.688403794089468e-10,4.882150918970675e-10,-9.75421447472568e-09,,
AIDC01,1.3,-4.316177595890864e-09,-9.370764414938819e-10,-5.151930375145497e-09,,
AIDC01,10.1,-5.201020309580752e-09,-3.9805833354593326e-09,4.408083259465898e-09,,
AIDC01,100.1,-1.0054511784210104e-08,-1.1869504465284327e-08,2.8606186529837867e-08,,
AIDC01,100.2,8.747466150034662e-09,2.8432153435510123e-09,-1.7296256222335002e-08,,
AIDC01,100.3,-1.438797166995645e-08,-5.774143126353751e-09,1.0177841025619217e-08,,
AIDC01,101.1,-1.0074677183179557e-08,-1.1911158974547169e-08,2.8727432816608955e-08,,
AIDC01,101.2,8.715024109835532e-09,2.885251613210175e-09,-1.7427714269949133e-08,,
AIDC01,101.3,-1.4494124864917036e-08,-5.902073053352592e-09,1.0573776890163856e-08,,
AIDC01,102.3,-1.4689774698228702e-08,-6.077617344101939e-09,1.112659289639838e-08,,
AIDC01,103.3,-1.4917323197285055e-08,-6.283728267596615e-09,1.1774248871034325e-08,,
AIDC01,104.3,-1.516524719572776e-08,-6.511914048821354e-09,1.248863613740795e-08,,
AIDC01,105.1,-1.0212077177540384e-08,-1.2110238835512616e-08,2.933749675933649e-08,,
AIDC01,105.2,8.88446170520548e-09,2.92820229735791e-09,-1.7562298144287845e-08,,
AIDC01,105.3,-1.4585624846766985e-08,-5.902194357163437e-09,1.0576233931250566e-08,,
AIDC01,106.2,9.037070038276889e-09,2.8427689731698e-09,-1.7304571644821835e-08,,
AIDC01,107.2,9.232765215686481e-09,2.7288529405244482e-09,-1.6963529894865958e-08,,
AIDC01,108.1,-1.0386221100791814e-08,-1.2330904993877227e-08,3.0013682939484097e-08,,
AIDC01,108.2,8.981890903164527e-09,3.0350085925689636e-09,-1.789007773530711e-08,,
AIDC01,108.3,-1.4626651600018839e-08,-5.940837547507965e-09,1.069551700180339e-08,,
AIDC01,109.1,-1.0889600544141126e-08,-1.2951646906025143e-08,3.191746340718874e-08,,
AIDC01,11.1,-5.19082232619809e-09,-3.969462184198644e-09,4.375060786463438e-09,,
AIDC01,110.1,-1.1076163194204396e-08,-1.3182117594020524e-08,3.2624536997290094e-08,,
AIDC01,111.1,-1.1223825157057078e-08,-1.3364281050245065e-08,3.317967709006529e-08,,
AIDC01,112.1,-1.1121763556520362e-08,-1.3238505619973493e-08,3.279834421502217e-08,,
AIDC01,113.1,-1.1247798034772988e-08,-1.3394513543067798e-08,3.327985541401459e-08,,
AIDC01,114.1,-1.1332335702640236e-08,-1.3498849069888651e-08,3.359718973150493e-08,,
AIDC01,12.2,1.1719998529945603e-09,1.1853787692121806e-09,-1.2011616160492433e-08,,
AIDC01,13.1,-5.885482450113938e-09,-5.120101074673785e-09,7.988660819865516e-09,,
AIDC01,13.2,2.406402526233501e-09,1.5918832279374512e-09,-1.332213577229017e-08,,
AIDC01,13.3,-7.51686220726373e-09,-2.6322949116790348e-09,3.108258495359411e-10,,
AIDC01,135.1,-6.201960951936723e-09,-5.607131683291009e-09,9.63365316376994e-09,,
AIDC01,135.2,3.007850916253458e-09,1.7792379211469868e-09,-1.4018357756137825e-08,,
AIDC01,135.3,-8.319263266033616e-09,-3.1875539780173438e-09,2.1182263910488603e-09,,
AIDC01,14.1,-5.192831367502394e-09,-3.970998619035232e-09,4.376754187639837e-09,,
AIDC01,149.1,-2.6994752142661222e-09,-7.923286734000594e-11,-7.91827403747817e-09,,
AIDC01,149.2,-2.6969516446415765e-09,-7.769401008177858e-11,-7.922951847049178e-09,,
AIDC01,149.3,-2.6986651845341783e-09,-7.805938071933594e-11,-7.921829319611026e-09,,
AIDC01,15.3,-7.56286078647265e-09,-2.6739796979341617e-09,4.4353970235715565e-10,,
AIDC01,150.1,-1.912253943884671e-09,-1.56813438148375e-12,-5.774154155825407e-09,,
AIDC01,150.2,-1.9104370084259187e-09,-4.547923095041438e-13,-5.777498856930106e-09,,
AIDC01,150.3,-1.911665931691101e-09,-7.207469601594762e-13,-5.776699988368367e-09,,
AIDC01,150r.1,-2.6427105854330976e-09,-2.2483258472524204e-11,-7.918363502138628e-09,,
AIDC01,150r.2,-2.640222819771897e-09,-2.0965535692991962e-11,-7.922974250633895e-09,,
AIDC01,150r.3,-2.641909926311531e-09,-2.1324899753103074e-11,-7.921871587870473e-09,,
AIDC01,151.1,-6.619072924518437e-09,-6.22565620432262e-09,1.1688914868256506e-08,,
AIDC01,151.2,3.821112510392983e-09,1.9703175472245075e-09,-1.4766648623232892e-08,,
AIDC01,151.3,-9.169267821606016e-09,-3.6150557512654064e-09,3.543948022151603e-09,,
AIDC01,152.1,-5.8855007738390006e-09,-5.120123137746158e-09,7.988730258445301e-09,,
AIDC01,152.2,2.406412430379483e-09,1.5918770352346228e-09,-1.3322115942214199e-08,,
AIDC01,152.3,-7.516871780543315e-09,-2.632303980429672e-09,3.108554320589443e-10,,
AIDC01,16.3,-7.610697220594348e-09,-2.7164342487887077e-09,5.768158069581352e-10,,
AIDC01,160.1,-9.09159057335453e-09,-1.0418432799413615e-08,2.4427411505733203e-08,,
AIDC01,160.2,7.480724878254164e-09,2.6736755642900158e-09,-1.66235680539049e-08,,
AIDC01,160.3,-1.2904458272486598e-08,-5.1430676047027635e-09,8.355085919038417e-09,,
AIDC01,160r.1,-9.434088909922576e-09,-1.081111142263859e-08,2.534954596613926e-08,,
AIDC01,160r.2,7.621786644701467e-09,2.7232105759519318e-09,-1.693345669008873e-08,,
AIDC01,160r.3,-1.3228085417136542e-08,-5.272504533084181e-09,8.566645431255456e-09,,
AIDC01,17.3,-7.585045851122928e-09,-2.693562200163197e-09,5.050258209879724e-10,,
AIDC01,18.1,-6.2019576868198245e-09,-5.607128195121874e-09,9.633641765459855e-09,,
AIDC01,18.2,3.0078489442592782e-09,1.779238732108706e-09,-1.4018360079097474e-08,,
AIDC01,18.3,-8.319261186140672e-09,-3.1875522111825853e-09,2.11822063861497e-09,,
AIDC01,19.1,-6.289007075588707e-09,-5.704522814411633e-09,9.952142231611975e-09,,
AIDC01,197.1,-1.0006635277829478e-08,-1.1781679561113205e-08,2.8335107119706074e-08,,
AIDC01,197.2,8.583442052198768e-09,2.8704815020728884e-09,-1.738180674130301e-08,,
AIDC01,197.3,-1.4309004073742203e-08,-5.811310627030291e-09,1.0286218176029208e-08,,
AIDC01,2.2,-9.65126132329108e-10,4.871322671415999e-10,-9.752084252306457e-09,,
AIDC01,20.1,-6.3254756334600015e-09,-5.745540946768906e-09,1.008804038450742e-08,,
AIDC01,21.1,-6.188760890709987e-09,-5.608564607429433e-09,9.648163240095061e-09,,
AIDC01,21.2,3.0316239467461766e-09,1.7909030648691485e-09,-1.4060796617983911e-08,,
AIDC01,21.3,-8.423627625409222e-09,-3.2763766428076145e-09,2.40043685766215e-09,,
AIDC01,22.2,3.028775030787086e-09,1.7892200177541122e-09,-1.404758285338148e-08,,
AIDC01,23.1,-6.172664964101613e-09,-5.6018164116001895e-09,9.633956983494431e-09,,
