Paper,URL,Data_center,GPU,Job_level_state,Survival_residual_service,Unseen_arrivals,Known_innovation_decomposition,Scheduler_constraints,Random_feasible_set,Inner_safe_set,Trajectory_calibration,Intertemporal_conservation,Grid_use_output,Near_duplicate,Closest_overlap,Key_difference
"Harnessing Flexible Spatial and Temporal Data Center Workloads for Grid Regulation Services (Fan & Zhao, 2026)",https://arxiv.org/abs/2602.01508,YES,NO,PARTIAL_QUEUE_STATE,NO,PARTIAL_LOAD_FORECAST,NO,YES_SPACE_TIME,PARTIAL_CHANCE_CONSTRAINTS,NO,NO,YES,YES,NO,day-ahead queue-aware deliverable data-center regulation,co-optimization/VaR constraints rather than job residual survival propagated to a conformal inner random set
"Online Electricity Purchase for Data Center with Dynamic Virtual Battery (Gao et al., 2024)",https://arxiv.org/abs/2404.19387,YES,NO,NO,NO,AGGREGATE_UNCERTAINTY,NO,PARTIAL_FLEXIBLE_TASKS,DYNAMIC_VIRTUAL_BATTERY,NO,NO,YES,YES,NO,uncertain dynamic flexibility aggregation,"no observable GPU-job state, survival model, or trajectory-calibrated inner set"
"Truthful Online Scheduling of Cloud Workloads under Uncertainty (Babaioff et al., 2022)",https://arxiv.org/abs/2203.01213,CLOUD,NO,YES_STATEMENTS_OF_WORK,NO,YES_PROBABILISTIC,NO,YES,NO,NO,NO,YES,NO,NO,probabilistic future arrivals and durations in cloud scheduling,"mechanism-design scheduler, not day-ahead flexibility-set forecasting"
"Tiresias: A GPU Cluster Manager for Distributed Deep Learning (Gu et al., 2019)",https://rtcl.eecs.umich.edu/rtclweb/assets/publications/2019/gu-nsdi19.pdf,CLUSTER,YES,YES,POINT_OR_ASSUMED_REMAINING_SERVICE,ONLINE_ONLY,NO,YES,NO,NO,NO,YES,NO,NO,GPU job attained/remaining-service-aware scheduling,no probabilistic day-ahead flexibility envelope or conformal safety calibration
"RLSchert: HPC Scheduler Using DRL and Remaining Time Prediction (Fan et al., 2021)",https://www.mdpi.com/2079-9292/10/16/1928,HPC,PARTIAL,YES,POINT_REMAINING_RUNTIME,NO_EXPLICIT_FORECAST,NO,YES,NO,NO,NO,YES,NO,NO,remaining-runtime prediction embedded in scheduler,policy optimization rather than uncertainty propagation to a deliverable inner set
"UARP: uncertainty-aware runtime prediction for HPC (Choi & Oh, 2026)",https://link.springer.com/article/10.1007/s11227-026-08422-8,HPC,GENERAL_HPC,YES,MULTI_QUANTILE_RUNTIME,NO,NO,WALLCLOCK_BUFFER,NO,NO,NO,PARTIAL,NO,NO,job-specific runtime uncertainty for scheduling safety,no arrival innovation split or scheduler-feasible flexibility-set forecast
"Uncertain FlexOffers (Lilliu et al., ACM e-Energy 2023)",https://doi.org/10.1145/3575813.3576873,NO,NO,DEVICE_LEVEL,NO,GENERIC_UNCERTAINTY,NO,GENERIC_ENERGY,YES,PROBABILITY_DEPENDENT,NO,YES,YES,NO,scalable uncertainty-aware flexibility representation,not a GPU workload state forecaster and no blocked trajectory conformal calibration
"Improved Inner Approximation for Aggregating Power Flexibility (Wen et al., 2023)",https://arxiv.org/abs/2303.01691,NO,NO,NO,NO,NO,NO,GRID_DER,NO,YES_GEOMETRIC,NO,PARTIAL,YES,NO,feasible flexibility inner approximation,deterministic DER aggregation rather than learned job-state uncertainty
"Single Trajectory Conformal Prediction (Lee & Matni, 2024)",https://arxiv.org/abs/2406.01570,NO,NO,NO,NO,NO,NO,NO,GENERAL_PREDICTION_SET,RISK_CONTROLLING_SET,YES_BLOCKING_THEORY,NO,NO,NO,conformal control with temporally correlated single trajectories,"general theory, not workload/service-set construction"
"Redesigning Data Centers for Renewable Energy / Virtual Battery (Agarwal et al., HotNets 2021)",https://www.microsoft.com/en-us/research/wp-content/uploads/2021/10/VirtualBattery.pdf,YES,NO,APPLICATION_LEVEL,NO,NO_EXPLICIT_FORECAST,NO,YES_POWER_NETWORK_AWARE,NO,NO,NO,YES,YES,NO,computation as virtual battery with power-aware scheduling,architecture/scheduling concept without calibrated probabilistic deliverability set
