source_day,next_day,day_offset,job_uid,expected_repair_carry_GPU_h,independent_DA_GPU_h,matched_time_GPU_h,omitted_expected_carry_GPU_h,excess_vs_repair_timing_GPU_h,newly_added_post_repair_occupancy_GPU_h,newly_added_occupancy_not_matched_GPU_h,next_snapshot_present,next_snapshot_state,next_initial_RUNNING_present,next_initial_AIDC,expected_running_at_next_issue,independently_scheduled_same_job,next_raw_start_slot,next_raw_completion_slot,next_safe_duration_slots,next_DA_assignment_present,next_DA_AIDC,repair_AIDC,simultaneous_expected_and_DA_site_mismatch,site_mismatch_matched_GPU_h,prior_repaired_job_completed_but_independent_DA_executes_again,repeated_completed_job_GPU_h,exact_carry_time_GPU_match,next_day_Actual_executed,Actual_audit_basis
2025-05-17,2025-05-18,1,8772829,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,PENDING,False,,False,True,0,10,10,False,,AIDC10,False,0.0,False,0.0,True,False,PRODUCTION_LOADER_FIXED_DA_BINDING_NOT_NEW_ACTUAL_EXECUTION
2025-05-17,2025-05-18,1,8992205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,,False,,True,False,,,,False,,AIDC10,False,0.0,False,0.0,True,False,PRODUCTION_LOADER_FIXED_DA_BINDING_NOT_NEW_ACTUAL_EXECUTION
2025-05-17,2025-05-18,1,8992206,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,,False,,True,False,,,,False,,AIDC10,False,0.0,False,0.0,True,False,PRODUCTION_LOADER_FIXED_DA_BINDING_NOT_NEW_ACTUAL_EXECUTION
2025-05-17,2025-05-18,1,8992208,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,,False,,True,False,,,,False,,AIDC10,False,0.0,False,0.0,True,False,PRODUCTION_LOADER_FIXED_DA_BINDING_NOT_NEW_ACTUAL_EXECUTION
2025-05-17,2025-05-18,1,8992209,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,,False,,True,False,,,,False,,AIDC10,False,0.0,False,0.0,True,False,PRODUCTION_LOADER_FIXED_DA_BINDING_NOT_NEW_ACTUAL_EXECUTION
2025-05-17,2025-05-18,1,8992211,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,,False,,True,False,,,,False,,AIDC10,False,0.0,False,0.0,True,False,PRODUCTION_LOADER_FIXED_DA_BINDING_NOT_NEW_ACTUAL_EXECUTION
2025-05-17,2025-05-18,1,8992212,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,,False,,True,False,,,,False,,AIDC10,False,0.0,False,0.0,True,False,PRODUCTION_LOADER_FIXED_DA_BINDING_NOT_NEW_ACTUAL_EXECUTION
2025-05-17,2025-05-18,1,8992213,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,,False,,True,False,,,,False,,AIDC10,False,0.0,False,0.0,True,False,PRODUCTION_LOADER_FIXED_DA_BINDING_NOT_NEW_ACTUAL_EXECUTION
2025-05-17,2025-05-18,1,8992214,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,,False,,True,False,,,,False,,AIDC10,False,0.0,False,0.0,True,False,PRODUCTION_LOADER_FIXED_DA_BINDING_NOT_NEW_ACTUAL_EXECUTION
2025-05-17,2025-05-18,1,8992215,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,,False,,True,False,,,,False,,AIDC10,False,0.0,False,0.0,True,False,PRODUCTION_LOADER_FIXED_DA_BINDING_NOT_NEW_ACTUAL_EXECUTION
