day,job_uid,GPU_request,RSP_start_slot,repair_start_slot,safe_duration_slots,safe_duration_minutes,RSP_completion_slot,repair_completion_slot,RSP_start_AEST,repair_start_AEST,RSP_completion_AEST,repair_completion_AEST,RSP_start_at_or_after_day_boundary,repair_start_at_or_after_day_boundary,RSP_completion_exceeds_day_boundary,repair_completion_exceeds_day_boundary,newly_post_midnight_start,newly_post_midnight_completion,post_midnight_GPU_slots_before,post_midnight_GPU_slots_after,incremental_post_midnight_GPU_slots,in_domain_GPU_slots_before,in_domain_GPU_slots_after,pre_domain_GPU_slots_before,pre_domain_GPU_slots_after,repair_AIDC,RW_completion_slot,safe_runtime_unchanged,RW_completion_noninferiority
2025-05-17,8772829,1,0,97,10,150,10,107,2025-05-16T18:00:00+10:00,2025-05-17T18:15:00+10:00,2025-05-16T20:30:00+10:00,2025-05-17T20:45:00+10:00,False,False,False,False,False,False,0,0,0,0,10,10,0,AIDC10,159,True,True
2025-05-17,8992205,1,64,82,25,375,89,107,2025-05-17T10:00:00+10:00,2025-05-17T14:30:00+10:00,2025-05-17T16:15:00+10:00,2025-05-17T20:45:00+10:00,False,False,False,False,False,False,0,0,0,25,25,0,0,AIDC10,112,True,True
2025-05-17,8992206,1,64,82,25,375,89,107,2025-05-17T10:00:00+10:00,2025-05-17T14:30:00+10:00,2025-05-17T16:15:00+10:00,2025-05-17T20:45:00+10:00,False,False,False,False,False,False,0,0,0,25,25,0,0,AIDC10,112,True,True
2025-05-17,8992208,1,64,82,25,375,89,107,2025-05-17T10:00:00+10:00,2025-05-17T14:30:00+10:00,2025-05-17T16:15:00+10:00,2025-05-17T20:45:00+10:00,False,False,False,False,False,False,0,0,0,25,25,0,0,AIDC10,112,True,True
2025-05-17,8992209,1,64,82,25,375,89,107,2025-05-17T10:00:00+10:00,2025-05-17T14:30:00+10:00,2025-05-17T16:15:00+10:00,2025-05-17T20:45:00+10:00,False,False,False,False,False,False,0,0,0,25,25,0,0,AIDC10,112,True,True
2025-05-17,8992211,1,64,82,25,375,89,107,2025-05-17T10:00:00+10:00,2025-05-17T14:30:00+10:00,2025-05-17T16:15:00+10:00,2025-05-17T20:45:00+10:00,False,False,False,False,False,False,0,0,0,25,25,0,0,AIDC10,112,True,True
2025-05-17,8992212,1,64,82,25,375,89,107,2025-05-17T10:00:00+10:00,2025-05-17T14:30:00+10:00,2025-05-17T16:15:00+10:00,2025-05-17T20:45:00+10:00,False,False,False,False,False,False,0,0,0,25,25,0,0,AIDC10,112,True,True
2025-05-17,8992213,1,64,82,25,375,89,107,2025-05-17T10:00:00+10:00,2025-05-17T14:30:00+10:00,2025-05-17T16:15:00+10:00,2025-05-17T20:45:00+10:00,False,False,False,False,False,False,0,0,0,25,25,0,0,AIDC10,112,True,True
2025-05-17,8992214,1,64,82,25,375,89,107,2025-05-17T10:00:00+10:00,2025-05-17T14:30:00+10:00,2025-05-17T16:15:00+10:00,2025-05-17T20:45:00+10:00,False,False,False,False,False,False,0,0,0,25,25,0,0,AIDC10,112,True,True
2025-05-17,8992215,1,64,82,25,375,89,107,2025-05-17T10:00:00+10:00,2025-05-17T14:30:00+10:00,2025-05-17T16:15:00+10:00,2025-05-17T20:45:00+10:00,False,False,False,False,False,False,0,0,0,25,25,0,0,AIDC10,112,True,True
