mess_id,previous_origin,previous_destination,next_origin,next_destination,planned_next_departure,old_r2_previous_actual_arrival,old_r2_previous_connection_ready,old_r2_applied_departure,old_r2_departure_shift,old_r2_unnecessary_shift,corrected_previous_actual_arrival,corrected_previous_connection_ready,corrected_actual_next_departure,corrected_shift_slots,arrival_requires_departure_delay,next_departure_before_previous_connection_ready
MESS03,STA08,STA04,STA04,IDC04,5,3.5884490801196725,5,5,0,False,3.5884490801196725,5,5,0,False,False
MESS03,STA04,IDC04,IDC04,STA02,13,6.0973043754433105,7,13,0,False,6.0973043754433105,7,13,0,False,False
MESS03,IDC04,STA02,STA02,IDC06,19,14.615459820334074,16,19,0,False,14.615459820334074,16,19,0,False,False
MESS03,STA02,IDC06,IDC06,STA10,21,19.75752906186443,21,21,0,False,19.75752906186443,21,21,0,False,False
MESS03,IDC06,STA10,STA10,IDC02,24,22.418341091294426,24,24,0,False,22.418341091294426,24,24,0,False,False
MESS03,STA10,IDC02,IDC02,STA06,39,26.364080429261328,28,39,0,False,26.364080429261328,28,39,0,False,False
MESS03,IDC02,STA06,STA06,IDC07,84,40.98698764596472,42,84,0,False,40.98698764596472,42,84,0,False,False
MESS03,STA06,IDC07,IDC07,IDC04,90,85.19302964092431,86,90,0,False,85.19302964092431,86,90,0,False,False
MESS03,IDC07,IDC04,IDC04,IDC09,94,90.76701265088327,92,94,0,False,90.76701265088327,92,94,0,False,False
MESS04,STA06,IDC12,IDC12,STA06,10,6.324251475428843,7,10,0,False,6.324251475428843,7,10,0,False,False
MESS04,IDC12,STA06,STA06,IDC07,24,11.310870716189147,12,24,0,False,11.310870716189147,12,24,0,False,False
MESS04,STA06,IDC07,IDC07,STA07,27,25.264754099866774,26,27,0,False,25.264754099866774,26,27,0,False,False
MESS04,IDC07,STA07,STA07,STA08,36,27.428184383495335,29,36,0,False,27.428184383495335,29,36,0,False,False
MESS04,STA07,STA08,STA08,IDC05,38,36.86139630458943,38,38,0,False,36.86139630458943,38,38,0,False,False
MESS04,STA08,IDC05,IDC05,IDC12,41,40.505915300786874,42,42,1,True,40.505915300786874,42,41,0,False,True
MESS04,IDC05,IDC12,IDC12,STA03,43,42.99124335309637,44,44,1,True,42.036034189754474,43,43,0,False,False
MESS04,IDC12,STA03,STA03,STA05,45,44.43759088319795,46,46,1,True,43.4193232556995,45,45,0,False,False
MESS04,STA03,STA05,STA05,STA06,47,46.76698342251195,48,48,1,True,45.7569314464188,47,47,0,False,False
MESS04,STA05,STA06,STA06,STA04,85,49.98815801636482,51,85,0,False,49.192959625112145,50,85,0,False,False
