mess_id,visit_order,origin,destination,planned_departure,actual_departure,departure_shift_slots,planned_safe_arrival,actual_arrival,planned_connection_ready,actual_connection_ready,actual_eta_seconds,actual_travel_energy_kWh,route_links
MESS01,0,STA01,STA06,20,20,0,21.985288145277234,21.722113350276175,23,23,1549.902015248557,24.917796457220835,RL_43_19_01|RL_19_05_01|RL_05_41_01
MESS02,0,STA12,STA06,20,20,0,23.00346805996365,22.927780247717493,24,24,2635.0022229457454,44.99493704700917,RL_17_18_01|RL_18_07_01|RL_07_45_01|RL_45_41_01
MESS03,0,STA08,STA04,2,2,0,3.617393976847331,3.5884490801196725,5,5,1429.6041721077054,25.69512178574805,RL_47_25_01|RL_25_28_01
MESS03,1,STA04,IDC04,5,5,0,6.230852669609917,6.0973043754433105,7,7,987.5739378989797,13.544331660952482,RL_28_16_01|RL_16_04_01
MESS03,2,IDC04,STA02,13,13,0,14.715177688598633,14.615459820334074,16,16,1453.9138383006668,30.84048730614048,RL_04_14_01
MESS03,3,STA02,IDC06,19,19,0,19.852683859931098,19.75752906186443,21,21,681.776155677987,8.12812344645861,RL_14_06_01
MESS03,4,IDC06,STA10,21,21,0,22.554701139662,22.418341091294426,24,24,1276.5069821649836,16.291805109664477,RL_06_21_01|RL_21_24_01
MESS03,5,STA10,IDC02,24,24,0,26.5544969007704,26.364080429261328,28,28,2127.672386335195,41.309941511629475,RL_24_11_01|RL_11_18_01|RL_18_02_02
MESS03,6,IDC02,STA06,39,39,0,41.03388437906901,40.98698764596472,42,42,1788.2888813682441,23.170930805451086,RL_02_45_01|RL_45_41_01
MESS03,7,STA06,IDC07,84,84,0,85.39284686957465,85.19302964092431,87,86,1073.72667683188,23.58846815703514,RL_41_45_01|RL_45_07_01
MESS03,8,IDC07,IDC04,90,90,0,90.94671998257107,90.76701265088327,92,92,690.3113857949479,10.048914996424372,RL_07_20_01|RL_20_04_01
MESS03,9,IDC04,IDC09,94,94,0,94.79506331041124,94.620015175608,96,96,558.0136580472008,8.130935005251681,RL_04_36_01|RL_36_09_01
MESS04,0,STA06,IDC12,5,5,0,6.421132532755534,6.324251475428843,8,7,1191.8263278859592,31.645517655344932,RL_41_14_01|RL_14_23_01|RL_23_12_01
MESS04,1,IDC12,STA06,10,10,0,11.397107009887694,11.310870716189147,13,12,1179.7836445702326,33.04121746555046,RL_12_14_01|RL_14_41_01
MESS04,2,STA06,IDC07,24,24,0,25.501227722167968,25.264754099866774,27,26,1138.2786898800969,23.453742832425906,RL_41_45_01|RL_45_07_01
MESS04,3,IDC07,STA07,27,27,0,27.628750881618924,27.428184383495335,29,29,385.36594514580287,5.51541493471623,RL_07_32_01
MESS04,4,STA07,STA08,36,36,0,37.076079847547746,36.86139630458943,38,38,775.2566741304852,12.401653948887827,RL_32_07_01|RL_07_47_01
MESS04,5,STA08,IDC05,38,38,0,40.3128960164388,40.505915300786874,41,42,2255.3237707081844,29.64442581287424,RL_47_20_01|RL_20_04_01|RL_04_05_01
MESS04,6,IDC05,IDC12,41,41,0,42.22028554280599,42.036034189754474,43,43,932.4307707790247,22.76034366694658,RL_05_12_01
MESS04,7,IDC12,STA03,43,43,0,43.640030008951825,43.4193232556995,45,45,377.39093012955095,2.8726900624748297,RL_12_35_01
MESS04,8,STA03,STA05,45,45,0,45.879825524224174,45.7569314464188,47,47,681.2383017769167,9.174811957247881,RL_35_13_01|RL_13_37_01
MESS04,9,STA05,STA06,47,47,0,49.420298665364584,49.192959625112145,51,50,1973.6636626009326,32.99361027098011,RL_37_09_01|RL_09_05_01|RL_05_41_01
MESS04,10,STA06,STA04,85,85,0,86.36800573052301,86.19489395884992,88,87,1075.4045629649247,21.794801716063812,RL_41_05_01|RL_05_28_01
