role,model,stratum,N_hours,coverage,positive_coverage,burst_coverage,Q90_pinball,requirement_ratio,actual_GPUh,predicted_GPUh,N_burst
DEVELOPMENT,C0,zero,451,1.0,,,16.5014665394011,,0.0,74421.61409269896,0
DEVELOPMENT,C0,positive,941,0.7247608926673751,0.7247608926673751,0.0,230.40853043617247,0.8723378926587603,329015.0525,287012.2975508614,83
DEVELOPMENT,C0,burst,83,0.0,0.0,0.0,1986.108732191061,0.14258306028690387,213622.27916666673,30458.91830904665,83
DEVELOPMENT,C0,high_risk,49,0.7755102040816326,0.7441860465116279,0.0,287.52943422827343,1.2532545163754774,21211.77833333334,26583.756996605505,7
DEVELOPMENT,C0,low_risk,1343,0.8153387937453462,0.7238307349665924,0.0,156.4911736951026,1.0878706717903297,307803.2741666667,334850.1546469548,76
DEVELOPMENT,C1,zero,451,1.0,,,16.5014665394011,,0.0,74421.61409269896,0
DEVELOPMENT,C1,positive,941,0.7247608926673751,0.7247608926673751,0.0,230.40853043617247,0.8723378926587603,329015.0525,287012.2975508614,83
DEVELOPMENT,C1,burst,83,0.0,0.0,0.0,1986.108732191061,0.14258306028690387,213622.27916666673,30458.91830904665,83
DEVELOPMENT,C1,high_risk,49,0.7755102040816326,0.7441860465116279,0.0,287.52943422827343,1.2532545163754774,21211.77833333334,26583.756996605505,7
DEVELOPMENT,C1,low_risk,1343,0.8153387937453462,0.7238307349665924,0.0,156.4911736951026,1.0878706717903297,307803.2741666667,334850.1546469548,76
DEVELOPMENT,C2,zero,451,1.0,,,17.28459569898022,,0.0,77953.52660240079,0
DEVELOPMENT,C2,positive,941,0.7311370882040382,0.7311370882040382,0.024096385542168676,225.6074951887597,0.9898862341386706,329015.0525,325687.471294162,83
DEVELOPMENT,C2,burst,83,0.024096385542168676,0.024096385542168676,0.024096385542168676,1909.769139584271,0.18070524049064793,213622.27916666673,38602.66533097284,83
DEVELOPMENT,C2,high_risk,49,0.8979591836734694,0.8837209302325582,0.2857142857142857,202.53794612939137,3.243049317628703,21211.77833333334,68790.84324960799,7
DEVELOPMENT,C2,low_risk,1343,0.8153387937453462,0.7238307349665924,0.0,156.4911736951026,1.0878706717903297,307803.2741666667,334850.1546469548,76
CALIBRATION,C0,zero,123,1.0,,,22.371353699978325,,0.0,27516.765050973336,0
CALIBRATION,C0,positive,501,0.8143712574850299,0.8143712574850299,0.02631578947368421,344.23400971228597,0.8839525592304026,248575.19249999992,219728.6775715649,38
CALIBRATION,C0,burst,38,0.02631578947368421,0.02631578947368421,0.02631578947368421,3946.2844653113907,0.1090416703209048,185609.89972222215,20239.213493806747,38
CALIBRATION,C0,high_risk,59,0.8813559322033898,0.875,0.2,262.9124825319004,2.135098097137863,25801.718333333334,55089.199716387106,5
CALIBRATION,C0,low_risk,565,0.8477876106194691,0.8067415730337079,0.0,282.6567768169389,0.8625633892228597,222773.4741666666,192156.2429061511,33
CALIBRATION,C1,zero,123,1.0,,,24.834164952733392,,0.0,30546.022891862074,0
CALIBRATION,C1,positive,501,0.8223552894211577,0.8223552894211577,0.05263157894736842,350.95514964720303,1.0940925295832953,248575.19249999992,271964.26115397946,38
CALIBRATION,C1,burst,38,0.05263157894736842,0.05263157894736842,0.05263157894736842,3911.5900190711145,0.125362232130497,185609.89972222215,23268.47133469548,38
CALIBRATION,C1,high_risk,59,0.9491525423728814,0.9464285714285714,0.4,325.11954848922784,4.277003558988691,25801.718333333334,110354.04113969042,5
CALIBRATION,C1,low_risk,565,0.8477876106194691,0.8067415730337079,0.0,282.6567768169389,0.8625633892228597,222773.4741666666,192156.2429061511,33
CALIBRATION,C2,zero,123,1.0,,,24.94141247735756,,0.0,30677.9373471498,0
CALIBRATION,C2,positive,501,0.8243512974051896,0.8243512974051896,0.07894736842105263,351.4166026566377,1.111643654661295,248575.19249999992,276327.0354488349,38
CALIBRATION,C2,burst,38,0.07894736842105263,0.07894736842105263,0.07894736842105263,3911.3825155801956,0.13598689920908213,185609.89972222215,25240.514725733665,38
CALIBRATION,C2,high_risk,59,0.9661016949152542,0.9642857142857143,0.6,329.26157227322034,4.451204699086265,25801.718333333334,114848.72988983357,5
CALIBRATION,C2,low_risk,565,0.8477876106194691,0.8067415730337079,0.0,282.6567768169389,0.8625633892228597,222773.4741666666,192156.2429061511,33
EXPOSED_EVALUATION,C0,zero,477,1.0,,,17.359133256204114,,0.0,82803.06563209363,0
EXPOSED_EVALUATION,C0,positive,1635,0.8195718654434251,0.8195718654434251,0.007575757575757576,257.21752735101785,1.0861678459048294,672290.9750000001,730220.8401370076,132
EXPOSED_EVALUATION,C0,burst,132,0.007575757575757576,0.007575757575757576,0.007575757575757576,2645.808292992002,0.1546177139468889,458577.43000000005,70904.19389423948,132
EXPOSED_EVALUATION,C0,high_risk,169,0.8520710059171598,0.8387096774193549,0.047619047619047616,310.12207257471493,1.5660756197961514,89381.85416666669,139978.74266259174,21
EXPOSED_EVALUATION,C0,low_risk,1943,0.8610396294390118,0.8175675675675675,0.0,193.73151493412078,1.1546313808648538,582909.1208333333,673045.1631065096,111
EXPOSED_EVALUATION,C1,zero,477,1.0,,,18.610341790398458,,0.0,88771.33034020063,0
EXPOSED_EVALUATION,C1,positive,1635,0.8256880733944955,0.8256880733944955,0.045454545454545456,256.4319880870463,1.1630327127764128,672290.9750000001,781896.3964293497,132
EXPOSED_EVALUATION,C1,burst,132,0.045454545454545456,0.045454545454545456,0.045454545454545456,2606.6796362578907,0.16928793154428395,458577.43000000005,77631.62457759367,132
EXPOSED_EVALUATION,C1,high_risk,169,0.9112426035502958,0.9032258064516129,0.2857142857142857,306.05384638665146,2.210991990550364,89381.85416666669,197622.56366304072,21
EXPOSED_EVALUATION,C1,low_risk,1943,0.8610396294390118,0.8175675675675675,0.0,193.73151493412078,1.1546313808648538,582909.1208333333,673045.1631065096,111
EXPOSED_EVALUATION,C2,zero,477,1.0,,,20.80710642503725,,0.0,99249.89764742769,0
EXPOSED_EVALUATION,C2,positive,1635,0.8281345565749235,0.8281345565749235,0.07575757575757576,257.7718216842667,1.2740575305558957,672290.9750000001,856537.3794235155,132
EXPOSED_EVALUATION,C2,burst,132,0.07575757575757576,0.07575757575757576,0.07575757575757576,2572.5599166539887,0.18607173575911967,458577.43000000005,85328.2983800562,132
EXPOSED_EVALUATION,C2,high_risk,169,0.9349112426035503,0.9290322580645162,0.47619047619047616,325.2164775237991,3.163305534445683,89381.85416666669,282742.11396443367,21
EXPOSED_EVALUATION,C2,low_risk,1943,0.8610396294390118,0.8175675675675675,0.0,193.73151493412078,1.1546313808648538,582909.1208333333,673045.1631065096,111
MAY_HISTORICAL,C0,zero,105,1.0,,,40.15124019014965,,0.0,42158.802199657126,0
MAY_HISTORICAL,C0,positive,639,0.8560250391236307,0.8560250391236307,0.07246376811594203,351.7550338148552,1.2880186813468055,351588.466388889,452852.5128549625,69
MAY_HISTORICAL,C0,burst,69,0.07246376811594203,0.07246376811594203,0.07246376811594203,2745.374396740387,0.216006287354956,266380.71444444463,57539.90915010519,69
MAY_HISTORICAL,C0,high_risk,177,0.8757062146892656,0.8690476190476191,0.16,412.3757996424031,1.4723064642648689,121467.34388888898,178837.15560469506,25
MAY_HISTORICAL,C0,low_risk,567,0.8765432098765432,0.851380042462845,0.022727272727272728,275.1266848164953,1.3739467112582184,230121.1225,316174.1594499246,44
MAY_HISTORICAL,C1,zero,105,1.0,,,44.37494691649837,,0.0,46593.69426232328,0
MAY_HISTORICAL,C1,positive,639,0.865414710485133,0.865414710485133,0.14492753623188406,350.06329965401557,1.5311036488433132,351588.466388889,538318.3837792525,69
MAY_HISTORICAL,C1,burst,69,0.14492753623188406,0.14492753623188406,0.14492753623188406,2624.1705976760313,0.2633542539440747,266380.71444444463,70152.49431760631,69
MAY_HISTORICAL,C1,high_risk,177,0.9096045197740112,0.9047619047619048,0.36,408.77394132313793,2.212429365685946,121467.34388888898,268737.9185916513,25
MAY_HISTORICAL,C1,low_risk,567,0.8765432098765432,0.851380042462845,0.022727272727272728,275.1266848164953,1.3739467112582184,230121.1225,316174.1594499246,44
MAY_HISTORICAL,C2,zero,105,1.0,,,44.5897045143856,,0.0,46819.18974010488,0
MAY_HISTORICAL,C2,positive,639,0.86697965571205,0.86697965571205,0.15942028985507245,351.3677979403484,1.548349075248505,351588.466388889,544381.6768012764,69
MAY_HISTORICAL,C2,burst,69,0.15942028985507245,0.15942028985507245,0.15942028985507245,2630.128720991755,0.2702566082081248,266380.71444444463,71991.14837781264,69
MAY_HISTORICAL,C2,high_risk,177,0.9152542372881356,0.9107142857142857,0.4,413.6107998132218,2.2642028572143187,121467.34388888898,275026.7070914566,25
