"host_id","host_name","host_type","host_voltage","aidc_ids","dnsp","HOST_MAPPING_CLASS","confidence","ALTERNATIVE_CANDIDATES","pf","normal_mva","firm_mva","normal_mw","firm_mw","historical_mw","forecast_mw","DOCUMENT_PERIOD","VALUE_REFERENCE_PERIOD","APRIL_2025_APPLICABLE","source_url","authority_grade"
"HOST_LVN","Laverton North (LVN)","ZONE_SUBSTATION","66/22 kV (planning-map inference)","AIDC01","Powercor","GEOGRAPHICALLY_INFERRED","MEDIUM","1 LVN; 2 TNA; 3 LV","0.99","111","79.7","109.89","78.903","63.7956","71.5473","2024_DAPR","RATINGS_VALID_IN_2024_DAPR_AND_2025_FORECAST","true","https://www.powercor.com.au/network-planning-and-projects/network-data/","B"
"HOST_BWR","Bayswater (BWR)","ZONE_SUBSTATION","66/22 kV","AIDC02","AusNet","DIRECT_SERVICE_CONFIRMED","HIGH","BWR (official DAPR states it is a main source for Kilsyth South)","0.97","81","66.2","78.57","64.214","47.239","52.865","2024-2028","RATINGS_VALID_IN_2024_DAPR_AND_2025_FORECAST","true","https://dapr.ausnetservices.com.au/AusNet%20Services_DAPR%202025-2029_v2.pdf","A"
"HOST_NP","Noble Park (NP)","ZONE_SUBSTATION","66/11-22 kV (exact secondary voltage unresolved)","AIDC03","United Energy","GEOGRAPHICALLY_INFERRED","MEDIUM","1 NP; 2 SV; 3 LD","1","105.91","70.61","105.91","70.61","48.12","50.81","2024_DAPR","RATINGS_VALID_IN_2024_DAPR_AND_2025_FORECAST","true","https://media.unitedenergy.com.au/reports/2024-DAPR-Max-Demand-Template-United-Energy.xlsx","B"
"HOST_R","Richmond (R)","ZONE_SUBSTATION","66/11 kV (planning-map inference)","AIDC04","CitiPower","GEOGRAPHICALLY_INFERRED","MEDIUM","1 R; 2 JA; 3 FB","1","49.9","30.1","49.9","30.1","29.02","31.9","2024_DAPR","RATINGS_VALID_IN_2024_DAPR_AND_2025_FORECAST","true","https://www.powercor.com.au/network-planning-and-projects/network-data/","B"
"HOST_TMA","Tullamarine (TMA)","ZONE_SUBSTATION","66/22 kV (planning-map inference)","AIDC05","Jemena","GEOGRAPHICALLY_INFERRED","MEDIUM","1 Tullamarine; 2 Airport West",,,,,,"24.83","23.43","2024_DAPR","RATINGS_VALID_IN_2024_DAPR_AND_2025_FORECAST","true","https://www.jemena.com.au/siteassets/asset-folder/documents/electricity/2024-distribution-annual-planning-report.pdf","B"
"HOST_FW","Footscray West (FW)","ZONE_SUBSTATION","66/22 kV (planning-map inference)","AIDC06","Jemena","GEOGRAPHICALLY_INFERRED","MEDIUM","1 Footscray West; 2 Tottenham; 3 Yarraville",,,,,,"41.64","36.16","2024_DAPR","RATINGS_VALID_IN_2024_DAPR_AND_2025_FORECAST","true","https://www.jemena.com.au/siteassets/asset-folder/documents/electricity/2024-distribution-annual-planning-report.pdf","B"
"HOST_NW","Nunawading (NW)","ZONE_SUBSTATION","66/11-22 kV (exact secondary voltage unresolved)","AIDC07","United Energy","GEOGRAPHICALLY_INFERRED","MEDIUM","1 NW; 2 EB; 3 BH","1","132.44","88.29","132.44","88.29","57.65","56.47","2024_DAPR","RATINGS_VALID_IN_2024_DAPR_AND_2025_FORECAST","true","https://media.unitedenergy.com.au/reports/2024-DAPR-Max-Demand-Template-United-Energy.xlsx","B"
"HOST_PM","Port Melbourne (PM)","ZONE_SUBSTATION","66/11 kV (planning-map inference)","AIDC08","CitiPower","GEOGRAPHICALLY_INFERRED","MEDIUM","1 PM; 2 AP; 3 FB","0.97","34.8","17.4","33.756","16.878","13.4539","14.4336","2024_DAPR","RATINGS_VALID_IN_2024_DAPR_AND_2025_FORECAST","true","https://www.powercor.com.au/network-planning-and-projects/network-data/","B"
"HOST_VM","Victoria Market (VM)","ZONE_SUBSTATION","66/11 kV (planning-map inference)","AIDC09","CitiPower","GEOGRAPHICALLY_INFERRED","MEDIUM","1 VM; 2 NR; 3 Q","0.99","90.96","57.88","90.0504","57.3012","56.133","59.8554","2024_DAPR","RATINGS_VALID_IN_2024_DAPR_AND_2025_FORECAST","true","https://www.powercor.com.au/network-planning-and-projects/network-data/","B"
"HOST_TH","Tottenham (TH)","ZONE_SUBSTATION","66/22 kV (planning-map inference)","AIDC10","Jemena","GEOGRAPHICALLY_INFERRED","MEDIUM","1 Tottenham; 2 Footscray West; 3 Yarraville",,,,,,"20.46","25.47","2024_DAPR","RATINGS_VALID_IN_2024_DAPR_AND_2025_FORECAST","true","https://www.jemena.com.au/siteassets/asset-folder/documents/electricity/2024-distribution-annual-planning-report.pdf","B"
"HOST_CM","Cheltenham (CM)","ZONE_SUBSTATION","66/11-22 kV (exact secondary voltage unresolved)","AIDC11","United Energy","GEOGRAPHICALLY_INFERRED","MEDIUM","1 CM; 2 HT; 3 M","1","60.95","30.47","60.95","30.47","20.26","21.4","2024_DAPR","RATINGS_VALID_IN_2024_DAPR_AND_2025_FORECAST","true","https://media.unitedenergy.com.au/reports/2024-DAPR-Max-Demand-Template-United-Energy.xlsx","B"
"HOST_TNA","Truganina (TNA)","ZONE_SUBSTATION","66/22 kV","AIDC12","Powercor","GEOGRAPHICALLY_INFERRED","MEDIUM","1 TNA; 2 LVN; 3 LV","1","142.8","95.2","142.8","95.2","116.41","123.61","2024_DAPR","RATINGS_VALID_IN_2024_DAPR_AND_2025_FORECAST","true","https://www.powercor.com.au/network-planning-and-projects/network-data/","B"
