local_path,files,bytes,dataset_ids,classifications,coverage_status
C:\Users\kjw39\OneDrive\Desktop\4-2\Mobile ESS\raw데이터\2024 DISPATCHPRICE,12,22843428,PW07,UNRESOLVED,MAPPED_SUBSETS_SEE_AUDIT
C:\Users\kjw39\OneDrive\Desktop\4-2\Mobile ESS\raw데이터\2024 DISPATCHREGIONSUM,12,64042357,PW07,UNRESOLVED,MAPPED_SUBSETS_SEE_AUDIT
C:\Users\kjw39\OneDrive\Desktop\4-2\Mobile ESS\raw데이터\2024 ROOFTOP_PV_ACTUAL,12,2262448,PW07,UNRESOLVED,MAPPED_SUBSETS_SEE_AUDIT
C:\Users\kjw39\OneDrive\Desktop\4-2\Mobile ESS\raw데이터\AEMO\AEMO Rooftop PV — forecast + actual,16,283066115,"PW02,PW04",DIRECT_PRODUCTION_INPUT,MAPPED_SUBSETS_SEE_AUDIT
C:\Users\kjw39\OneDrive\Desktop\4-2\Mobile ESS\raw데이터\AEMO\Day-Ahead demand forecast,8,406331424,PW01,DIRECT_PRODUCTION_INPUT,MAPPED_SUBSETS_SEE_AUDIT
C:\Users\kjw39\OneDrive\Desktop\4-2\Mobile ESS\raw데이터\AEMO\Realized demand,8,49666020,PW03,DIRECT_PRODUCTION_INPUT,MAPPED_SUBSETS_SEE_AUDIT
C:\Users\kjw39\OneDrive\Desktop\4-2\Mobile ESS\raw데이터\AEMO\V29R1_JANMAR_TRUST_CERT,7,256659038,PW10,HISTORICAL_SUPERSEDED,MAPPED_SUBSETS_SEE_AUDIT
C:\Users\kjw39\OneDrive\Desktop\4-2\Mobile ESS\raw데이터\AEMO Generation Information,5,3875908,PW08,DOWNLOADED_ONLY_UNUSED,MAPPED_SUBSETS_SEE_AUDIT
C:\Users\kjw39\OneDrive\Desktop\4-2\Mobile ESS\raw데이터\AEMO rooftop PV 자료,19,18248548,"PW05,PW09",DOWNLOADED_ONLY_UNUSED | MODEL_PARAMETER_OR_VALIDATION,MAPPED_SUBSETS_SEE_AUDIT
C:\Users\kjw39\OneDrive\Desktop\4-2\Mobile ESS\raw데이터\EPRI IEEE 123-bus canonical OpenDSS case,2,1627438279,GR01,DIRECT_PRODUCTION_INPUT,MAPPED_SUBSETS_SEE_AUDIT
C:\Users\kjw39\OneDrive\Desktop\4-2\Mobile ESS\raw데이터\IEEE123_OpenDSS,21,173201,GR02,HISTORICAL_SUPERSEDED,MAPPED_SUBSETS_SEE_AUDIT
C:\Users\kjw39\OneDrive\Desktop\4-2\Mobile ESS\raw데이터\Jemena 2025 AMI voltage report,2,374415,GR06,MODEL_PARAMETER_OR_VALIDATION,MAPPED_SUBSETS_SEE_AUDIT
C:\Users\kjw39\OneDrive\Desktop\4-2\Mobile ESS\raw데이터\Jemena 2025 feeder 부하,2,65533864,GR04,DIRECT_PRODUCTION_INPUT,MAPPED_SUBSETS_SEE_AUDIT
C:\Users\kjw39\OneDrive\Desktop\4-2\Mobile ESS\raw데이터\Jemena 2025 zone-substation,2,224338810,GR07,DOWNLOADED_ONLY_UNUSED,MAPPED_SUBSETS_SEE_AUDIT
C:\Users\kjw39\OneDrive\Desktop\4-2\Mobile ESS\raw데이터\Jemena MW·MVAR 자료,2,55922322,GR05,DIRECT_PRODUCTION_INPUT,MAPPED_SUBSETS_SEE_AUDIT
C:\Users\kjw39\OneDrive\Desktop\4-2\Mobile ESS\raw데이터\Jemena subtransmission loops,2,27787030,GR08,DOWNLOADED_ONLY_UNUSED,MAPPED_SUBSETS_SEE_AUDIT
C:\Users\kjw39\OneDrive\Desktop\4-2\Mobile ESS\raw데이터\NLR_Dataset_312_GenAI_Power,2,1070866701,DC02,MODEL_PARAMETER_OR_VALIDATION,MAPPED_SUBSETS_SEE_AUDIT
C:\Users\kjw39\OneDrive\Desktop\4-2\Mobile ESS\raw데이터\NLR_ESIF_PUE_IT_POWER,1,101449152,DC04,MODEL_PARAMETER_OR_VALIDATION,MAPPED_SUBSETS_SEE_AUDIT
C:\Users\kjw39\OneDrive\Desktop\4-2\Mobile ESS\raw데이터\NLR_Kestrel_Jobs,1,14860,DC01,DIRECT_PRODUCTION_INPUT,MAPPED_SUBSETS_SEE_AUDIT
C:\Users\kjw39\OneDrive\Desktop\4-2\Mobile ESS\raw데이터\Vicmap Elevation DEM 10m,2,11920232112,TR05,DIRECT_PRODUCTION_INPUT,MAPPED_SUBSETS_SEE_AUDIT
C:\Users\kjw39\OneDrive\Desktop\4-2\Mobile ESS\raw데이터\WAN,123,1286813672,"WN01,WN02,WN03,WN04",DIRECT_PRODUCTION_INPUT | HISTORICAL_SUPERSEDED,MAPPED_SUBSETS_SEE_AUDIT
C:\Users\kjw39\OneDrive\Desktop\4-2\Mobile ESS\raw데이터\_download_logs,2,8372,NG01,DOWNLOADED_ONLY_UNUSED,MAPPED_SUBSETS_SEE_AUDIT
C:\Users\kjw39\OneDrive\Desktop\4-2\Mobile ESS\raw데이터\교통 장기 데이터 Victoria SCATS,24,18023935857,"TR01,TR07",DIRECT_PRODUCTION_INPUT | UNRESOLVED,MAPPED_SUBSETS_SEE_AUDIT
C:\Users\kjw39\OneDrive\Desktop\4-2\Mobile ESS\raw데이터\데이터 센터,2,1070866684,DC02,MODEL_PARAMETER_OR_VALIDATION,MAPPED_SUBSETS_SEE_AUDIT
C:\Users\kjw39\OneDrive\Desktop\4-2\Mobile ESS\raw데이터\데이터 센터\Alibaba GPU Cluster Trace v2026 Job execution summary,48,1191940028,DC11,DOWNLOADED_ONLY_UNUSED,MAPPED_SUBSETS_SEE_AUDIT
C:\Users\kjw39\OneDrive\Desktop\4-2\Mobile ESS\raw데이터\데이터 센터\Alibaba Network Hourly,1,203904100,DC13,DOWNLOADED_ONLY_UNUSED,MAPPED_SUBSETS_SEE_AUDIT
C:\Users\kjw39\OneDrive\Desktop\4-2\Mobile ESS\raw데이터\데이터 센터\Alibaba Server Hourly,1,3080121387,DC12,DOWNLOADED_ONLY_UNUSED,MAPPED_SUBSETS_SEE_AUDIT
C:\Users\kjw39\OneDrive\Desktop\4-2\Mobile ESS\raw데이터\데이터 센터\BurstGPT v2.0 장기 LLM 추론 요청 데이터,7,839903082,DC14,DOWNLOADED_ONLY_UNUSED,MAPPED_SUBSETS_SEE_AUDIT
C:\Users\kjw39\OneDrive\Desktop\4-2\Mobile ESS\raw데이터\데이터 센터\Eagle GPU 6개 node 상세 telemetry,3,1203057849,DC08,HISTORICAL_SUPERSEDED,MAPPED_SUBSETS_SEE_AUDIT
C:\Users\kjw39\OneDrive\Desktop\4-2\Mobile ESS\raw데이터\데이터 센터\Eagle GPU Node Metrics,3,1203057872,DC08,HISTORICAL_SUPERSEDED,MAPPED_SUBSETS_SEE_AUDIT
C:\Users\kjw39\OneDrive\Desktop\4-2\Mobile ESS\raw데이터\데이터 센터\Eagle Jobs + Additional Energy Metrics,2,1441621029,DC09,HISTORICAL_SUPERSEDED,MAPPED_SUBSETS_SEE_AUDIT
C:\Users\kjw39\OneDrive\Desktop\4-2\Mobile ESS\raw데이터\데이터 센터\Eagle 전체 node 전력,3,2303019707,DC10,DOWNLOADED_ONLY_UNUSED,MAPPED_SUBSETS_SEE_AUDIT
C:\Users\kjw39\OneDrive\Desktop\4-2\Mobile ESS\raw데이터\데이터 센터\EuroSys 2026 — Untangling GPU Power Consumption artifact,4,131654618,DC16,HISTORICAL_SUPERSEDED,MAPPED_SUBSETS_SEE_AUDIT
C:\Users\kjw39\OneDrive\Desktop\4-2\Mobile ESS\raw데이터\데이터 센터\H100B200 AI Training Power Dataset,1,209685111,"DC05,DC06",HISTORICAL_SUPERSEDED | MODEL_PARAMETER_OR_VALIDATION,MAPPED_SUBSETS_SEE_AUDIT
C:\Users\kjw39\OneDrive\Desktop\4-2\Mobile ESS\raw데이터\데이터 센터\Melbourne 장기 외기 데이터,1,125,WX03,DOWNLOADED_ONLY_UNUSED,MAPPED_SUBSETS_SEE_AUDIT
C:\Users\kjw39\OneDrive\Desktop\4-2\Mobile ESS\raw데이터\데이터 센터\Microsoft Azure LLM Inference Dataset 2024,2,1135195529,DC15,DOWNLOADED_ONLY_UNUSED,MAPPED_SUBSETS_SEE_AUDIT
C:\Users\kjw39\OneDrive\Desktop\4-2\Mobile ESS\raw데이터\데이터 센터\NLR Eagle Jobs + Energy Metrics,3,1441638939,DC09,HISTORICAL_SUPERSEDED,MAPPED_SUBSETS_SEE_AUDIT
C:\Users\kjw39\OneDrive\Desktop\4-2\Mobile ESS\raw데이터\데이터 센터\NLR ESIF PUE  IT Power,3,109687283,DC04,MODEL_PARAMETER_OR_VALIDATION,MAPPED_SUBSETS_SEE_AUDIT
C:\Users\kjw39\OneDrive\Desktop\4-2\Mobile ESS\raw데이터\데이터 센터\NLR HPC Eagle 장기 노드 전력 데이터,7,7635966422,DC10,DOWNLOADED_ONLY_UNUSED,MAPPED_SUBSETS_SEE_AUDIT
C:\Users\kjw39\OneDrive\Desktop\4-2\Mobile ESS\raw데이터\데이터 센터\NLR HPC Facility PUE,3,168550874,DC04,MODEL_PARAMETER_OR_VALIDATION,MAPPED_SUBSETS_SEE_AUDIT
C:\Users\kjw39\OneDrive\Desktop\4-2\Mobile ESS\raw데이터\데이터 센터\NLR HPC Facility PUE 및 외기 데이터,3,168550851,DC04,MODEL_PARAMETER_OR_VALIDATION,MAPPED_SUBSETS_SEE_AUDIT
C:\Users\kjw39\OneDrive\Desktop\4-2\Mobile ESS\raw데이터\데이터 센터\NLR HPC Kestrel Jobs Data,3,731154480,DC01,DIRECT_PRODUCTION_INPUT,MAPPED_SUBSETS_SEE_AUDIT
C:\Users\kjw39\OneDrive\Desktop\4-2\Mobile ESS\raw데이터\데이터 센터\NLR Kestrel Jobs,3,731154503,DC01,DIRECT_PRODUCTION_INPUT,MAPPED_SUBSETS_SEE_AUDIT
C:\Users\kjw39\OneDrive\Desktop\4-2\Mobile ESS\raw데이터\데이터 센터\NLR 데이터센터 PUE·외기 데이터,3,168550851,DC04,MODEL_PARAMETER_OR_VALIDATION,MAPPED_SUBSETS_SEE_AUDIT
C:\Users\kjw39\OneDrive\Desktop\4-2\Mobile ESS\raw데이터\데이터 센터\NLR_scheduler_authority,4431,4335737903,"DC01,DC02,DC05,DC06,DC09,DC17,DC18,DC19,DC20",DIRECT_PRODUCTION_INPUT | DOWNLOADED_ONLY_UNUSED | HISTORICAL_SUPERSEDED | MODEL_PARAMETER_OR_VALIDATION | UNRESOLVED,MAPPED_SUBSETS_SEE_AUDIT
C:\Users\kjw39\OneDrive\Desktop\4-2\Mobile ESS\raw데이터\데이터 센터\NOAANCEI Global Hourly,2,18051868,WX02,DIRECT_PRODUCTION_INPUT,MAPPED_SUBSETS_SEE_AUDIT
C:\Users\kjw39\OneDrive\Desktop\4-2\Mobile ESS\raw데이터\데이터 센터\NOAA_GFS_D1_2025_JAN_MAR_V29R1,18003,11342887940,PW10,HISTORICAL_SUPERSEDED,MAPPED_SUBSETS_SEE_AUDIT
C:\Users\kjw39\OneDrive\Desktop\4-2\Mobile ESS\raw데이터\데이터 센터\Scientific Data 2026 — H100B200 high-resolution workload dataset,3,209685616,"DC05,DC06",HISTORICAL_SUPERSEDED | MODEL_PARAMETER_OR_VALIDATION,MAPPED_SUBSETS_SEE_AUDIT
C:\Users\kjw39\OneDrive\Desktop\4-2\Mobile ESS\raw데이터\데이터 센터\University_Cordoba_DataCenter_PQ,4,27248022,DC07,MODEL_PARAMETER_OR_VALIDATION,MAPPED_SUBSETS_SEE_AUDIT
C:\Users\kjw39\OneDrive\Desktop\4-2\Mobile ESS\raw데이터\데이터 센터\기상,175,7339211,WX04,UNRESOLVED,MAPPED_SUBSETS_SEE_AUDIT
C:\Users\kjw39\OneDrive\Desktop\4-2\Mobile ESS\raw데이터\전력 데이터 AEMO Victoria,29,108064679,"PW05,PW06,PW09",DOWNLOADED_ONLY_UNUSED | HISTORICAL_SUPERSEDED | MODEL_PARAMETER_OR_VALIDATION,MAPPED_SUBSETS_SEE_AUDIT
