site_id,site_name,capacity_low_MW,capacity_central_MW,capacity_high_MW,capacity_boundary,operating_load_low_MW,operating_load_central_MW,operating_load_high_MW,engineering_equivalent_low_MW,engineering_equivalent_central_MW,engineering_equivalent_high_MW,engineering_label,authority_grade,notes
AIDC01,Equinix ME4,7.6,7.6,18.0,BUILT_CAPACITY,,,,,,,,A,AER + Equinix + contractor establish ME4 = former MEL2; 12 MW IT-capacity wording remains a separate boundary.
AIDC02,Micron21,2.0,2.0,2.0,FULLY_BUILT_OUT_POWER,,,,,,,,A,2 MW is directory evidence; official 2x1 MW values are generator nameplates only.
AIDC03,Fujitsu Noble Park,28.0,28.0,28.0,IT_CAPACITY,,,,,,,,A,"Official 28 MW IT Load is treated as rated IT capacity, not actual April load; 2x4 MVA feed evidence remains separate."
AIDC04,AAPT / TPG Richmond,,,,MVA_INPUT,,,,2.375,2.45,2.5,ENGINEERING_PF_SENSITIVITY_NOT_REAL_LOAD,B,Only 2.5 MVA directory evidence is available; active MW appears only in engineering PF sensitivity.
AIDC05,NEXTDC M2,42.0,42.0,42.0,BUILT_CAPACITY,,,,,,,,A,42 MW built at 31-Dec-2024; 18 MW in progress and 120 MW planned are excluded from April built capacity.
AIDC06,NEXTDC M3,13.5,13.5,13.5,BUILT_CAPACITY,,,,,,,,A,13.5 MW built at 31-Dec-2024; another 13.5 MW in progress and planned totals are excluded.
AIDC07,Vocus Mitcham,9.0,9.0,9.0,FULLY_BUILT_OUT_POWER,,,,,,,,A,"9 MW is directory fully-built-out power, not actual April demand."
AIDC08,NEXTDC M1,15.0,15.0,15.0,IT_CAPACITY,,,,,,,,A,15 MW operator evidence is April-compatible; later 16 MW current wording is not backcast.
AIDC09,Equinix ME5,,,,GENERATOR_NAMEPLATE,,,,,,3.05,GENERATOR_N_PLUS_1_ENGINEERING_UPPER_BOUND_NOT_REAL_LOAD,A,Identity is confirmed; 4.175 MW is generator nameplate only. N+1 upper-bound sensitivity is not real load.
AIDC10,CDC Brooklyn BK1,34.0,34.0,34.0,OPERATING_CAPACITY,,,,,,,,B,"34 MW is BK1 operating build capacity, not actual consumption; later/under-construction campus capacity is excluded."
AIDC11,IBM MEL01 / Digital Realty MEL11,6.7,,13.4,CONFLICT_UNRESOLVED,,,,,,,,A,"IBM MEL01 is a tenant/site code at Digital Realty MEL11 in Deer Park, not Cheltenham; 6.7/10/13.4 MW secondary values remain unresolved."
AIDC12,STACK MEL01A,36.0,36.0,36.0,BUILT_CAPACITY,,,,,,,,A,First 36 MW building completed in 2023; second building and later 180 MW campus values are not backcast.
