date,slot,timestamp_AEST,B3_1R_actual_rho_max,B3_2R_actual_rho_max,B3_1R_critical_line,B3_2R_critical_line,B0_actual_rho_max,B1_actual_rho_max,B2_actual_rho_max,B3_1R_critical_phase,B3_2R_critical_phase
2025-05-01,0,2025-05-01T00:00:00+10:00,0.6190004176286505,0.6190004176286505,line.sw2,line.sw2,0.5178217048215311,0.5178217048215311,0.5726038571734725,A,A
2025-05-01,1,2025-05-01T00:15:00+10:00,0.5972887267012952,0.5965236453634477,line.sw2,line.sw2,0.5093432231597766,0.5079896318116466,0.50864780223089,A,A
2025-05-01,2,2025-05-01T00:30:00+10:00,0.6124360420848276,0.612435965454278,line.sw2,line.sw2,0.5007318701400554,0.4979973538565468,0.5033261255298084,A,A
2025-05-01,3,2025-05-01T00:45:00+10:00,0.49640888165032965,0.49640888165032965,line.sw2,line.sw2,0.49429786220848215,0.4915738447794096,0.49489144370206023,A,A
2025-05-01,4,2025-05-01T01:00:00+10:00,0.580330525336171,0.5803305253352403,line.l10,line.l10,0.4914250898847103,0.4893499331917192,0.4951485006514289,A,A
2025-05-01,5,2025-05-01T01:15:00+10:00,0.4938413468202848,0.4938413457338547,line.sw2,line.sw2,0.4840263814162686,0.4819688690534532,0.48638654140030985,A,A
2025-05-01,6,2025-05-01T01:30:00+10:00,0.5780201605439608,0.5780201605482146,line.sw2,line.sw2,0.47251771252079694,0.47046313251696836,0.5262609081190102,A,A
2025-05-01,7,2025-05-01T01:45:00+10:00,0.612222185791579,0.6122221867543542,line.sw2,line.sw2,0.46534179721324626,0.46327707915711347,0.4712428897512862,A,A
2025-05-01,8,2025-05-01T02:00:00+10:00,0.5980544914998245,0.5980544912994055,line.sw2,line.sw2,0.4614478119989185,0.4594008251596087,0.46861540871002977,A,A
2025-05-01,9,2025-05-01T02:15:00+10:00,0.617867550442235,0.617867550442235,line.sw2,line.sw2,0.4595074261216132,0.4574756353010378,0.4657506868514727,A,A
2025-05-01,10,2025-05-01T02:30:00+10:00,0.5587083911738686,0.5587083911738686,line.sw2,line.sw2,0.4546647151836736,0.45261674935339824,0.462800917804263,A,A
2025-05-01,11,2025-05-01T02:45:00+10:00,0.552090680785326,0.552090680785326,line.sw2,line.sw2,0.45324544833780883,0.4512003594780507,0.4613884116225412,A,A
2025-05-01,12,2025-05-01T03:00:00+10:00,0.4628798737389961,0.46287987159559324,line.sw2,line.sw2,0.4507874572626206,0.4487479967448093,0.45883738700471394,A,A
2025-05-01,13,2025-05-01T03:15:00+10:00,0.5487939078190471,0.5487939078190471,line.sw2,line.sw2,0.4486677643800411,0.44663306496452004,0.4562258349048265,A,A
2025-05-01,14,2025-05-01T03:30:00+10:00,0.5572359147366357,0.5572359147366357,line.sw2,line.sw2,0.4515681558613446,0.44952238364473956,0.4597192029977314,A,A
2025-05-01,15,2025-05-01T03:45:00+10:00,0.5455561532879732,0.5455561532879732,line.sw2,line.sw2,0.45025629067551426,0.4482131226672425,0.5062963792079224,A,A
2025-05-01,16,2025-05-01T04:00:00+10:00,0.556017657181984,0.556017657181984,line.sw2,line.sw2,0.454380916321793,0.4523354084315929,0.4619560208315522,A,A
