date,slot,timestamp_AEST,MESS_id,station_or_location,connected,DA_P_kW,DA_Q_kvar,Actual_P_kW,Actual_Q_kvar,SOC_kWh,DA_SOC_kWh,route_or_leg,DA_station_or_location,DA_mode
2025-05-01,0,2025-05-01T00:00:00+10:00,MESS01,STA01,true,0,392.3141121612922,0,392.3141121612922,760,760,"{""connection_ready_slot"":null,""departure_slot"":null,""destination_service_id"":null,""origin_service_id"":null,""route_link_ids"":[]}",STA01,CONNECTED
2025-05-01,0,2025-05-01T00:00:00+10:00,MESS02,STA12,true,0,-392.3141121612922,0,-392.3141121612922,760,760,"{""connection_ready_slot"":null,""departure_slot"":null,""destination_service_id"":null,""origin_service_id"":null,""route_link_ids"":[]}",STA12,CONNECTED
2025-05-01,0,2025-05-01T00:00:00+10:00,MESS03,STA08,true,-45.178284095818405,-392.3141121612927,-45.178284095818405,-392.3141121612927,770.7298424727569,760,"{""connection_ready_slot"":null,""departure_slot"":null,""destination_service_id"":null,""origin_service_id"":null,""route_link_ids"":[]}",STA08,CONNECTED
2025-05-01,0,2025-05-01T00:00:00+10:00,MESS04,STA06,true,0,-392.3141121612922,0,-392.3141121612922,760,760,"{""connection_ready_slot"":null,""departure_slot"":null,""destination_service_id"":null,""origin_service_id"":null,""route_link_ids"":[]}",STA06,CONNECTED
2025-05-01,1,2025-05-01T00:15:00+10:00,MESS01,STA01,true,0,392.3141121612922,0,388.5747134619502,760,760,"{""connection_ready_slot"":null,""departure_slot"":null,""destination_service_id"":null,""origin_service_id"":null,""route_link_ids"":[]}",STA01,CONNECTED
2025-05-01,1,2025-05-01T00:15:00+10:00,MESS02,STA12,true,0,-392.3141121612922,0,-392.3141121612922,760,760,"{""connection_ready_slot"":null,""departure_slot"":null,""destination_service_id"":null,""origin_service_id"":null,""route_link_ids"":[]}",STA12,CONNECTED
2025-05-01,1,2025-05-01T00:15:00+10:00,MESS03,STA08,true,-256.63745886726315,-298.17847926159584,-256.63745886726315,-298.17847926159584,831.6812389537318,770.7298424727569,"{""connection_ready_slot"":null,""departure_slot"":null,""destination_service_id"":null,""origin_service_id"":null,""route_link_ids"":[]}",STA08,CONNECTED
2025-05-01,1,2025-05-01T00:15:00+10:00,MESS04,STA06,true,0,147.71695177642084,0,98.55055014017518,760,760,"{""connection_ready_slot"":null,""departure_slot"":null,""destination_service_id"":null,""origin_service_id"":null,""route_link_ids"":[]}",STA06,CONNECTED
2025-05-01,2,2025-05-01T00:30:00+10:00,MESS01,STA01,true,0,392.3141121612922,0,385.76757406168934,760,760,"{""connection_ready_slot"":null,""departure_slot"":null,""destination_service_id"":null,""origin_service_id"":null,""route_link_ids"":[]}",STA01,CONNECTED
2025-05-01,2,2025-05-01T00:30:00+10:00,MESS02,STA12,true,-13.10261542863725,-392.3141121612922,-13.10261542863725,-392.3141121612922,763.1118711643013,760,"{""connection_ready_slot"":null,""departure_slot"":null,""destination_service_id"":null,""origin_service_id"":null,""route_link_ids"":[]}",STA12,CONNECTED
2025-05-01,2,2025-05-01T00:30:00+10:00,MESS03,STA08,true,-300,254.815938128859,-300,172.26082108358273,902.9312389537318,831.6812389537318,"{""connection_ready_slot"":null,""departure_slot"":null,""destination_service_id"":null,""origin_service_id"":null,""route_link_ids"":[]}",STA08,CONNECTED
