date,slot,timestamp_AEST,AIDC_id,IT_power_kW,GPU_or_workload_quantity,flexible_workload,fixed_workload,stage
2025-05-01,0,2025-05-01T00:00:00+10:00,AIDC01,52.15076843766912,80,75,5,DA
2025-05-01,0,2025-05-01T00:00:00+10:00,AIDC02,26.07538421883456,40,19,21,DA
2025-05-01,0,2025-05-01T00:00:00+10:00,AIDC03,52.15076843766912,80,39,41,DA
2025-05-01,0,2025-05-01T00:00:00+10:00,AIDC04,26.07538421883456,40,12,28,DA
2025-05-01,0,2025-05-01T00:00:00+10:00,AIDC05,65.1884605470864,100,32,68,DA
2025-05-01,0,2025-05-01T00:00:00+10:00,AIDC06,52.15076843766912,80,18,62,DA
2025-05-01,0,2025-05-01T00:00:00+10:00,AIDC07,26.07538421883456,40,10,30,DA
2025-05-01,0,2025-05-01T00:00:00+10:00,AIDC08,52.15076843766912,80,16,64,DA
2025-05-01,0,2025-05-01T00:00:00+10:00,AIDC09,26.07538421883456,40,40,0,DA
2025-05-01,0,2025-05-01T00:00:00+10:00,AIDC10,52.15076843766912,80,20,60,DA
2025-05-01,0,2025-05-01T00:00:00+10:00,AIDC11,26.07538421883456,40,18,22,DA
2025-05-01,0,2025-05-01T00:00:00+10:00,AIDC12,52.15076843766912,80,72,8,DA
2025-05-01,1,2025-05-01T00:15:00+10:00,AIDC01,52.15076843766912,80,75,5,DA
2025-05-01,1,2025-05-01T00:15:00+10:00,AIDC02,26.07538421883456,40,27,13,DA
2025-05-01,1,2025-05-01T00:15:00+10:00,AIDC03,52.15076843766912,80,39,41,DA
2025-05-01,1,2025-05-01T00:15:00+10:00,AIDC04,26.07538421883456,40,12,28,DA
2025-05-01,1,2025-05-01T00:15:00+10:00,AIDC05,65.1884605470864,100,32,68,DA
2025-05-01,1,2025-05-01T00:15:00+10:00,AIDC06,52.15076843766912,80,18,62,DA
2025-05-01,1,2025-05-01T00:15:00+10:00,AIDC07,21.69359294667792,32,10,22,DA
2025-05-01,1,2025-05-01T00:15:00+10:00,AIDC08,52.15076843766912,80,16,64,DA
2025-05-01,1,2025-05-01T00:15:00+10:00,AIDC09,26.07538421883456,40,40,0,DA
2025-05-01,1,2025-05-01T00:15:00+10:00,AIDC10,45.578081529434165,68,20,48,DA
2025-05-01,1,2025-05-01T00:15:00+10:00,AIDC11,26.07538421883456,40,18,22,DA
2025-05-01,1,2025-05-01T00:15:00+10:00,AIDC12,52.15076843766912,80,72,8,DA
2025-05-01,2,2025-05-01T00:30:00+10:00,AIDC01,52.15076843766912,80,75,5,DA
2025-05-01,2,2025-05-01T00:30:00+10:00,AIDC02,26.07538421883456,40,27,13,DA
2025-05-01,2,2025-05-01T00:30:00+10:00,AIDC03,52.15076843766912,80,39,41,DA
2025-05-01,2,2025-05-01T00:30:00+10:00,AIDC04,23.88448858275624,36,12,24,DA
2025-05-01,2,2025-05-01T00:30:00+10:00,AIDC05,65.1884605470864,100,32,68,DA
2025-05-01,2,2025-05-01T00:30:00+10:00,AIDC06,52.15076843766912,80,18,62,DA
2025-05-01,2,2025-05-01T00:30:00+10:00,AIDC07,21.69359294667792,32,10,22,DA
2025-05-01,2,2025-05-01T00:30:00+10:00,AIDC08,51.60304452864954,79,16,63,DA
2025-05-01,2,2025-05-01T00:30:00+10:00,AIDC09,26.07538421883456,40,40,0,DA
2025-05-01,2,2025-05-01T00:30:00+10:00,AIDC10,45.578081529434165,68,20,48,DA
2025-05-01,2,2025-05-01T00:30:00+10:00,AIDC11,21.69359294667792,32,18,14,DA
2025-05-01,2,2025-05-01T00:30:00+10:00,AIDC12,52.15076843766912,80,72,8,DA
2025-05-01,3,2025-05-01T00:45:00+10:00,AIDC01,52.15076843766912,80,75,5,DA
2025-05-01,3,2025-05-01T00:45:00+10:00,AIDC02,26.07538421883456,40,27,13,DA
2025-05-01,3,2025-05-01T00:45:00+10:00,AIDC03,52.15076843766912,80,39,41,DA
2025-05-01,3,2025-05-01T00:45:00+10:00,AIDC04,23.88448858275624,36,12,24,DA
2025-05-01,3,2025-05-01T00:45:00+10:00,AIDC05,65.1884605470864,100,32,68,DA
2025-05-01,3,2025-05-01T00:45:00+10:00,AIDC06,52.15076843766912,80,18,62,DA
2025-05-01,3,2025-05-01T00:45:00+10:00,AIDC07,21.69359294667792,32,10,22,DA
2025-05-01,3,2025-05-01T00:45:00+10:00,AIDC08,51.60304452864954,79,16,63,DA
2025-05-01,3,2025-05-01T00:45:00+10:00,AIDC09,26.07538421883456,40,40,0,DA
2025-05-01,3,2025-05-01T00:45:00+10:00,AIDC10,45.578081529434165,68,20,48,DA
2025-05-01,3,2025-05-01T00:45:00+10:00,AIDC11,21.69359294667792,32,18,14,DA
2025-05-01,3,2025-05-01T00:45:00+10:00,AIDC12,52.15076843766912,80,72,8,DA
2025-05-01,4,2025-05-01T01:00:00+10:00,AIDC01,52.15076843766912,80,78,2,DA
2025-05-01,4,2025-05-01T01:00:00+10:00,AIDC02,26.07538421883456,40,27,13,DA
2025-05-01,4,2025-05-01T01:00:00+10:00,AIDC03,52.15076843766912,80,39,41,DA
2025-05-01,4,2025-05-01T01:00:00+10:00,AIDC04,23.88448858275624,36,12,24,DA
2025-05-01,4,2025-05-01T01:00:00+10:00,AIDC05,65.1884605470864,100,32,68,DA
2025-05-01,4,2025-05-01T01:00:00+10:00,AIDC06,52.15076843766912,80,18,62,DA
2025-05-01,4,2025-05-01T01:00:00+10:00,AIDC07,21.69359294667792,32,10,22,DA
2025-05-01,4,2025-05-01T01:00:00+10:00,AIDC08,51.60304452864954,79,16,63,DA
2025-05-01,4,2025-05-01T01:00:00+10:00,AIDC09,26.07538421883456,40,40,0,DA
2025-05-01,4,2025-05-01T01:00:00+10:00,AIDC10,47.76897716551248,72,44,28,DA
2025-05-01,4,2025-05-01T01:00:00+10:00,AIDC11,21.69359294667792,32,18,14,DA
2025-05-01,4,2025-05-01T01:00:00+10:00,AIDC12,52.15076843766912,80,72,8,DA
2025-05-01,5,2025-05-01T01:15:00+10:00,AIDC01,52.15076843766912,80,78,2,DA
2025-05-01,5,2025-05-01T01:15:00+10:00,AIDC02,26.07538421883456,40,27,13,DA
2025-05-01,5,2025-05-01T01:15:00+10:00,AIDC03,52.15076843766912,80,39,41,DA
2025-05-01,5,2025-05-01T01:15:00+10:00,AIDC04,23.88448858275624,36,12,24,DA
2025-05-01,5,2025-05-01T01:15:00+10:00,AIDC05,65.1884605470864,100,32,68,DA
2025-05-01,5,2025-05-01T01:15:00+10:00,AIDC06,52.15076843766912,80,18,62,DA
2025-05-01,5,2025-05-01T01:15:00+10:00,AIDC07,23.88448858275624,36,10,26,DA
2025-05-01,5,2025-05-01T01:15:00+10:00,AIDC08,51.60304452864954,79,16,63,DA
2025-05-01,5,2025-05-01T01:15:00+10:00,AIDC09,26.07538421883456,40,40,0,DA
2025-05-01,5,2025-05-01T01:15:00+10:00,AIDC10,47.76897716551248,72,44,28,DA
2025-05-01,5,2025-05-01T01:15:00+10:00,AIDC11,21.69359294667792,32,18,14,DA
2025-05-01,5,2025-05-01T01:15:00+10:00,AIDC12,52.15076843766912,80,72,8,DA
2025-05-01,6,2025-05-01T01:30:00+10:00,AIDC01,52.15076843766912,80,78,2,DA
2025-05-01,6,2025-05-01T01:30:00+10:00,AIDC02,26.07538421883456,40,27,13,DA
2025-05-01,6,2025-05-01T01:30:00+10:00,AIDC03,52.15076843766912,80,39,41,DA
2025-05-01,6,2025-05-01T01:30:00+10:00,AIDC04,23.88448858275624,36,12,24,DA
2025-05-01,6,2025-05-01T01:30:00+10:00,AIDC05,65.1884605470864,100,32,68,DA
2025-05-01,6,2025-05-01T01:30:00+10:00,AIDC06,52.15076843766912,80,18,62,DA
2025-05-01,6,2025-05-01T01:30:00+10:00,AIDC07,24.43221249177582,37,10,27,DA
2025-05-01,6,2025-05-01T01:30:00+10:00,AIDC08,51.60304452864954,79,16,63,DA
2025-05-01,6,2025-05-01T01:30:00+10:00,AIDC09,26.07538421883456,40,40,0,DA
2025-05-01,6,2025-05-01T01:30:00+10:00,AIDC10,47.76897716551248,72,44,28,DA
2025-05-01,6,2025-05-01T01:30:00+10:00,AIDC11,21.69359294667792,32,18,14,DA
2025-05-01,6,2025-05-01T01:30:00+10:00,AIDC12,52.15076843766912,80,72,8,DA
2025-05-01,7,2025-05-01T01:45:00+10:00,AIDC01,52.15076843766912,80,78,2,DA
2025-05-01,7,2025-05-01T01:45:00+10:00,AIDC02,26.07538421883456,40,27,13,DA
2025-05-01,7,2025-05-01T01:45:00+10:00,AIDC03,52.15076843766912,80,51,29,DA
2025-05-01,7,2025-05-01T01:45:00+10:00,AIDC04,23.88448858275624,36,12,24,DA
2025-05-01,7,2025-05-01T01:45:00+10:00,AIDC05,65.1884605470864,100,32,68,DA
2025-05-01,7,2025-05-01T01:45:00+10:00,AIDC06,52.15076843766912,80,18,62,DA
2025-05-01,7,2025-05-01T01:45:00+10:00,AIDC07,24.43221249177582,37,10,27,DA
2025-05-01,7,2025-05-01T01:45:00+10:00,AIDC08,51.60304452864954,79,16,63,DA
2025-05-01,7,2025-05-01T01:45:00+10:00,AIDC09,26.07538421883456,40,40,0,DA
2025-05-01,7,2025-05-01T01:45:00+10:00,AIDC10,47.76897716551248,72,44,28,DA
2025-05-01,7,2025-05-01T01:45:00+10:00,AIDC11,21.69359294667792,32,18,14,DA
2025-05-01,7,2025-05-01T01:45:00+10:00,AIDC12,52.15076843766912,80,72,8,DA
2025-05-01,8,2025-05-01T02:00:00+10:00,AIDC01,52.15076843766912,80,78,2,DA
2025-05-01,8,2025-05-01T02:00:00+10:00,AIDC02,26.07538421883456,40,27,13,DA
2025-05-01,8,2025-05-01T02:00:00+10:00,AIDC03,52.15076843766912,80,51,29,DA
2025-05-01,8,2025-05-01T02:00:00+10:00,AIDC04,23.88448858275624,36,12,24,DA
2025-05-01,8,2025-05-01T02:00:00+10:00,AIDC05,65.1884605470864,100,44,56,DA
2025-05-01,8,2025-05-01T02:00:00+10:00,AIDC06,52.15076843766912,80,18,62,DA
2025-05-01,8,2025-05-01T02:00:00+10:00,AIDC07,24.43221249177582,37,10,27,DA
2025-05-01,8,2025-05-01T02:00:00+10:00,AIDC08,51.60304452864954,79,16,63,DA
2025-05-01,8,2025-05-01T02:00:00+10:00,AIDC09,26.07538421883456,40,40,0,DA
2025-05-01,8,2025-05-01T02:00:00+10:00,AIDC10,47.76897716551248,72,44,28,DA
2025-05-01,8,2025-05-01T02:00:00+10:00,AIDC11,21.69359294667792,32,18,14,DA
2025-05-01,8,2025-05-01T02:00:00+10:00,AIDC12,52.15076843766912,80,72,8,DA
2025-05-01,9,2025-05-01T02:15:00+10:00,AIDC01,52.15076843766912,80,78,2,DA
2025-05-01,9,2025-05-01T02:15:00+10:00,AIDC02,26.07538421883456,40,31,9,DA
2025-05-01,9,2025-05-01T02:15:00+10:00,AIDC03,52.15076843766912,80,51,29,DA
2025-05-01,9,2025-05-01T02:15:00+10:00,AIDC04,23.88448858275624,36,12,24,DA
2025-05-01,9,2025-05-01T02:15:00+10:00,AIDC05,65.1884605470864,100,44,56,DA
2025-05-01,9,2025-05-01T02:15:00+10:00,AIDC06,52.15076843766912,80,18,62,DA
2025-05-01,9,2025-05-01T02:15:00+10:00,AIDC07,24.43221249177582,37,10,27,DA
2025-05-01,9,2025-05-01T02:15:00+10:00,AIDC08,51.60304452864954,79,16,63,DA
2025-05-01,9,2025-05-01T02:15:00+10:00,AIDC09,26.07538421883456,40,40,0,DA
2025-05-01,9,2025-05-01T02:15:00+10:00,AIDC10,47.76897716551248,72,44,28,DA
2025-05-01,9,2025-05-01T02:15:00+10:00,AIDC11,21.69359294667792,32,18,14,DA
2025-05-01,9,2025-05-01T02:15:00+10:00,AIDC12,52.15076843766912,80,72,8,DA
2025-05-01,10,2025-05-01T02:30:00+10:00,AIDC01,52.15076843766912,80,78,2,DA
2025-05-01,10,2025-05-01T02:30:00+10:00,AIDC02,26.07538421883456,40,31,9,DA
2025-05-01,10,2025-05-01T02:30:00+10:00,AIDC03,52.15076843766912,80,51,29,DA
2025-05-01,10,2025-05-01T02:30:00+10:00,AIDC04,23.88448858275624,36,12,24,DA
2025-05-01,10,2025-05-01T02:30:00+10:00,AIDC05,65.1884605470864,100,44,56,DA
2025-05-01,10,2025-05-01T02:30:00+10:00,AIDC06,52.15076843766912,80,18,62,DA
2025-05-01,10,2025-05-01T02:30:00+10:00,AIDC07,24.43221249177582,37,10,27,DA
2025-05-01,10,2025-05-01T02:30:00+10:00,AIDC08,51.60304452864954,79,16,63,DA
2025-05-01,10,2025-05-01T02:30:00+10:00,AIDC09,26.07538421883456,40,40,0,DA
2025-05-01,10,2025-05-01T02:30:00+10:00,AIDC10,47.76897716551248,72,44,28,DA
2025-05-01,10,2025-05-01T02:30:00+10:00,AIDC11,21.69359294667792,32,18,14,DA
2025-05-01,10,2025-05-01T02:30:00+10:00,AIDC12,52.15076843766912,80,72,8,DA
2025-05-01,11,2025-05-01T02:45:00+10:00,AIDC01,52.15076843766912,80,78,2,DA
2025-05-01,11,2025-05-01T02:45:00+10:00,AIDC02,26.07538421883456,40,31,9,DA
2025-05-01,11,2025-05-01T02:45:00+10:00,AIDC03,52.15076843766912,80,55,25,DA
2025-05-01,11,2025-05-01T02:45:00+10:00,AIDC04,23.88448858275624,36,12,24,DA
2025-05-01,11,2025-05-01T02:45:00+10:00,AIDC05,65.1884605470864,100,44,56,DA
2025-05-01,11,2025-05-01T02:45:00+10:00,AIDC06,52.15076843766912,80,18,62,DA
2025-05-01,11,2025-05-01T02:45:00+10:00,AIDC07,24.43221249177582,37,10,27,DA
2025-05-01,11,2025-05-01T02:45:00+10:00,AIDC08,51.60304452864954,79,16,63,DA
2025-05-01,11,2025-05-01T02:45:00+10:00,AIDC09,26.07538421883456,40,40,0,DA
2025-05-01,11,2025-05-01T02:45:00+10:00,AIDC10,47.76897716551248,72,44,28,DA
2025-05-01,11,2025-05-01T02:45:00+10:00,AIDC11,21.69359294667792,32,18,14,DA
2025-05-01,11,2025-05-01T02:45:00+10:00,AIDC12,52.15076843766912,80,72,8,DA
2025-05-01,12,2025-05-01T03:00:00+10:00,AIDC01,52.15076843766912,80,78,2,DA
2025-05-01,12,2025-05-01T03:00:00+10:00,AIDC02,26.07538421883456,40,31,9,DA
2025-05-01,12,2025-05-01T03:00:00+10:00,AIDC03,52.15076843766912,80,55,25,DA
2025-05-01,12,2025-05-01T03:00:00+10:00,AIDC04,23.88448858275624,36,12,24,DA
2025-05-01,12,2025-05-01T03:00:00+10:00,AIDC05,65.1884605470864,100,44,56,DA
2025-05-01,12,2025-05-01T03:00:00+10:00,AIDC06,52.15076843766912,80,18,62,DA
2025-05-01,12,2025-05-01T03:00:00+10:00,AIDC07,24.43221249177582,37,10,27,DA
2025-05-01,12,2025-05-01T03:00:00+10:00,AIDC08,51.60304452864954,79,16,63,DA
